rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
1.0,Ezekiel Elliott,at SEA,1.0,5.0,1.8,1.0,22.9,FLEX,1,DAL,RB,1
2.0,DeAndre Hopkins,vs. DET,2.0,9.0,2.1,0.8,21.5,FLEX,2,ARI,WR,1
3.0,Alvin Kamara,vs. GB,1.0,3.0,2.2,1.0,19.6,FLEX,3,NO,RB,1
4.0,Derrick Henry,at MIN,4.0,12.0,5.1,1.5,19.3,FLEX,4,TEN,RB,1
5.0,Dalvin Cook,vs. TEN,4.0,12.0,6.3,1.6,18.7,FLEX,5,MIN,RB,1
6.0,Tyreek Hill,at BAL,5.0,27.0,8.0,3.9,19.4,FLEX,6,KC,WR,1
7.0,Jonathan Taylor,vs. NYJ,3.0,30.0,8.1,3.9,18.5,FLEX,7,IND,RB,1
8.0,Miles Sanders,vs. CIN,3.0,36.0,8.4,4.5,18.7,FLEX,8,PHI,RB,1
9.0,Aaron Jones,at NO,4.0,17.0,9.4,3.6,17.5,FLEX,9,GB,RB,1
10.0,Austin Ekeler,vs. CAR,4.0,32.0,10.6,2.8,17.4,FLEX,10,LAC,RB,1
11.0,Calvin Ridley,vs. CHI,6.0,19.0,11.6,2.7,19.0,FLEX,11,ATL,WR,1
12.0,Kenyan Drake,vs. DET,7.0,16.0,11.7,1.8,17.3,FLEX,12,ARI,RB,1
13.0,Travis Kelce,at BAL,12.0,32.0,13.8,2.7,18.8,FLEX,13,KC,TE,1
14.0,Allen Robinson II,at ATL,6.0,40.0,15.9,4.4,17.1,FLEX,14,CHI,WR,1
15.0,Clyde Edwards-Helaire,at BAL,10.0,30.0,16.0,1.2,17.2,FLEX,15,KC,RB,1
16.0,Amari Cooper,at SEA,11.0,26.0,17.9,3.1,16.8,FLEX,16,DAL,WR,1
17.0,Adam Thielen,vs. TEN,6.0,27.0,19.1,3.6,16.8,FLEX,17,MIN,WR,1
18.0,Josh Jacobs,at NE,7.0,31.0,19.3,8.3,17.0,FLEX,18,LV,RB,1
19.0,Tyler Lockett,vs. DAL,18.0,33.0,23.2,3.4,16.7,FLEX,19,SEA,WR,2
20.0,JuJu Smith-Schuster,vs. HOU,18.0,35.0,23.3,3.6,16.2,FLEX,20,PIT,WR,2
21.0,D.J. Moore,at LAC,15.0,35.0,23.4,2.3,15.9,FLEX,21,CAR,WR,2
22.0,D.K. Metcalf,vs. DAL,14.0,45.0,23.7,5.1,16.5,FLEX,22,SEA,WR,2
23.0,Terry McLaurin,at CLE,18.0,35.0,25.0,3.6,15.8,FLEX,23,WAS,WR,2
24.0,James Conner,vs. HOU,12.0,83.0,25.3,10.9,15.4,FLEX,24,PIT,RB,3
25.0,Nick Chubb,vs. WAS,8.0,47.0,26.7,4.8,16.0,FLEX,25,CLE,RB,2
26.0,Chris Carson,vs. DAL,10.0,32.0,27.0,5.1,16.0,FLEX,26,SEA,RB,2
27.0,Mike Evans,at DEN,14.0,42.0,27.1,6.2,15.7,FLEX,27,TB,WR,2
28.0,Mark Andrews,vs. KC,13.0,54.0,29.3,4.8,16.2,FLEX,28,BAL,TE,3
29.0,Chris Godwin,at DEN,14.0,90.0,29.3,16.8,15.7,FLEX,29,TB,WR,3
30.0,Julio Jones,vs. CHI,2.0,124.0,30.9,24.8,15.3,FLEX,30,ATL,WR,4
31.0,Robert Woods,at BUF,22.0,73.0,31.2,6.3,15.2,FLEX,31,LAR,WR,3
32.0,Cooper Kupp,at BUF,25.0,54.0,32.9,5.8,14.8,FLEX,32,LAR,WR,3
33.0,Diontae Johnson,vs. HOU,21.0,44.0,33.1,6.1,15.1,FLEX,33,PIT,WR,3
34.0,Joe Mixon,at PHI,21.0,60.0,33.3,6.8,15.3,FLEX,34,CIN,RB,3
35.0,Keenan Allen,vs. CAR,21.0,48.0,34.0,5.0,15.1,FLEX,35,LAC,WR,3
36.0,Odell Beckham Jr.,vs. WAS,20.0,67.0,35.4,4.5,14.5,FLEX,36,CLE,WR,3
37.0,Stefon Diggs,vs. LAR,21.0,48.0,37.3,5.1,14.5,FLEX,37,BUF,WR,3
38.0,James Robinson,vs. MIA,28.0,104.0,38.9,6.5,14.6,FLEX,38,JAX,RB,3
39.0,Kareem Hunt,vs. WAS,14.0,62.0,38.9,9.3,15.2,FLEX,39,CLE,RB,3
40.0,Julian Edelman,vs. LV,22.0,50.0,39.7,4.0,14.4,FLEX,40,NE,WR,3
41.0,Marquise Brown,vs. KC,33.0,66.0,41.1,4.9,14.2,FLEX,41,BAL,WR,3
42.0,T.Y. Hilton,vs. NYJ,26.0,72.0,44.5,4.3,13.7,FLEX,42,IND,WR,3
43.0,Todd Gurley II,vs. CHI,17.0,64.0,46.0,8.9,13.9,FLEX,43,ATL,RB,3
44.0,CeeDee Lamb,at SEA,38.0,93.0,46.3,4.8,13.6,FLEX,44,DAL,WR,5
45.0,Zach Ertz,vs. CIN,27.0,83.0,47.3,4.2,14.2,FLEX,45,PHI,TE,3
46.0,Tyler Boyd,at PHI,38.0,99.0,48.2,6.5,13.6,FLEX,46,CIN,WR,5
47.0,Devin Singletary,vs. LAR,19.0,82.0,48.8,12.1,13.5,FLEX,47,BUF,RB,3
48.0,David Montgomery,at ATL,31.0,82.0,49.2,8.7,13.2,FLEX,48,CHI,RB,5
49.0,Michael Gallup,at SEA,39.0,94.0,50.7,5.9,13.2,FLEX,49,DAL,WR,5
50.0,Melvin Gordon III,vs. TB,20.0,62.0,51.6,6.0,13.1,FLEX,50,DEN,RB,3
51.0,A.J. Green,at PHI,33.0,80.0,52.6,6.8,13.5,FLEX,51,CIN,WR,5
52.0,Tyler Higbee,at BUF,44.0,104.0,53.3,8.5,12.1,FLEX,52,LAR,TE,6
53.0,Darren Waller,at NE,45.0,76.0,54.9,7.9,12.1,FLEX,53,LV,TE,7
54.0,DeVante Parker,at JAC,34.0,89.0,55.1,10.0,13.0,FLEX,54,MIA,WR,5
55.0,Darius Slayton,vs. SF,44.0,78.0,56.7,2.9,12.8,FLEX,55,NYG,WR,7
56.0,David Johnson,at PIT,24.0,75.0,57.1,9.7,12.0,FLEX,56,HOU,RB,3
57.0,Hunter Henry,vs. CAR,44.0,71.0,57.6,6.7,11.4,FLEX,57,LAC,TE,7
58.0,Marvin Jones Jr.,at ARI,50.0,90.0,61.2,7.4,12.8,FLEX,58,DET,WR,7
59.0,Kenny Golladay,at ARI,21.0,210.0,61.2,37.0,11.7,FLEX,59,DET,WR,8
60.0,John Brown,vs. LAR,43.0,78.0,61.6,6.5,12.7,FLEX,60,BUF,WR,7
61.0,Jarvis Landry,vs. WAS,49.0,113.0,62.8,8.6,12.6,FLEX,61,CLE,WR,6
62.0,Leonard Fournette,at DEN,46.0,125.0,62.8,11.4,11.6,FLEX,62,TB,RB,6
63.0,Will Fuller V,at PIT,40.0,90.0,64.1,12.9,11.9,FLEX,63,HOU,WR,7
64.0,Corey Davis,at MIN,48.0,79.0,64.7,6.2,11.8,FLEX,64,TEN,WR,7
65.0,Antonio Gibson,at CLE,40.0,103.0,66.5,11.3,11.3,FLEX,65,WAS,RB,6
66.0,DeSean Jackson,vs. CIN,48.0,89.0,66.8,8.8,11.8,FLEX,66,PHI,WR,7
67.0,Jonnu Smith,at MIN,50.0,85.0,68.3,3.9,11.1,FLEX,67,TEN,TE,7
68.0,Dallas Goedert,vs. CIN,47.0,88.0,68.9,6.3,11.1,FLEX,68,PHI,TE,7
69.0,Mike Gesicki,at JAC,49.0,116.0,69.9,8.8,11.0,FLEX,69,MIA,TE,6
70.0,Laviska Shenault Jr.,vs. MIA,55.0,90.0,70.1,10.6,11.6,FLEX,70,JAX,WR,7
71.0,Robby Anderson,at LAC,55.0,93.0,70.4,7.5,11.6,FLEX,71,CAR,WR,7
72.0,Jared Cook,vs. GB,51.0,113.0,72.0,13.7,10.9,FLEX,72,NO,TE,6
73.0,Mark Ingram II,vs. KC,42.0,104.0,73.5,11.7,11.3,FLEX,73,BAL,RB,6
74.0,Joshua Kelley,vs. CAR,46.0,116.0,76.6,12.9,11.3,FLEX,74,LAC,RB,6
75.0,Russell Gage,vs. CHI,51.0,88.0,76.8,6.5,11.3,FLEX,75,ATL,WR,7
76.0,Jerry Jeudy,vs. TB,60.0,94.0,76.8,9.6,11.2,FLEX,76,DEN,WR,7
77.0,Allen Lazard,at NO,42.0,105.0,77.1,9.6,11.3,FLEX,77,GB,WR,6
