rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
78.0,Hayden Hurst,vs. CHI,47.0,119.0,78.4,6.9,10.6,FLEX,78,ATL,TE,6
79.0,Jerick McKinnon,at NYG,31.0,150.0,78.7,18.0,10.5,FLEX,79,SF,RB,9
80.0,T.J. Hockenson,at ARI,63.0,120.0,79.4,9.6,10.9,FLEX,80,DET,TE,10
81.0,Emmanuel Sanders,vs. GB,48.0,97.0,82.0,10.5,11.1,FLEX,81,NO,WR,6
82.0,Preston Williams,at JAC,70.0,106.0,84.2,6.4,10.7,FLEX,82,MIA,WR,10
83.0,Marquez Valdes-Scantling,at NO,67.0,110.0,84.8,7.6,11.2,FLEX,83,GB,WR,10
84.0,Mike Williams,vs. CAR,73.0,109.0,85.5,6.3,10.7,FLEX,84,LAC,WR,10
85.0,Evan Engram,vs. SF,64.0,114.0,85.7,9.8,10.4,FLEX,85,NYG,TE,10
86.0,Brandin Cooks,at PIT,76.0,99.0,86.3,4.8,10.6,FLEX,86,HOU,WR,10
87.0,Noah Fant,vs. TB,69.0,112.0,86.4,11.8,9.6,FLEX,87,DEN,TE,10
88.0,Keelan Cole,vs. MIA,50.0,141.0,88.1,20.9,10.6,FLEX,88,JAX,WR,11
89.0,Golden Tate,vs. SF,64.0,120.0,88.4,7.8,10.4,FLEX,89,NYG,WR,10
90.0,Tre'Quan Smith,vs. GB,68.0,101.0,88.4,7.3,10.0,FLEX,90,NO,WR,10
91.0,Mike Davis,at LAC,36.0,118.0,89.1,19.6,9.8,FLEX,91,CAR,RB,6
92.0,N'Keal Harry,vs. LV,73.0,97.0,89.2,5.0,10.0,FLEX,92,NE,WR,10
93.0,Larry Fitzgerald,vs. DET,81.0,129.0,92.5,9.2,10.0,FLEX,93,ARI,WR,10
94.0,Logan Thomas,at CLE,77.0,113.0,93.6,12.0,9.1,FLEX,94,WAS,TE,10
95.0,Anthony Miller,at ATL,64.0,115.0,94.9,8.5,9.8,FLEX,95,CHI,WR,10
96.0,Tarik Cohen,at ATL,67.0,121.0,97.1,12.1,9.5,FLEX,96,CHI,RB,10
97.0,Curtis Samuel,at LAC,81.0,112.0,97.4,4.8,9.6,FLEX,97,CAR,WR,10
98.0,Darrell Henderson,at BUF,48.0,131.0,100.8,14.7,9.5,FLEX,98,LAR,RB,11
99.0,Adam Humphries,at MIN,80.0,127.0,102.4,10.8,9.3,FLEX,99,TEN,WR,12
100.0,Michael Pittman Jr.,vs. NYJ,84.0,145.0,103.0,11.4,9.5,FLEX,100,IND,WR,12
101.0,Nyheim Hines,vs. NYJ,52.0,139.0,105.1,21.5,9.4,FLEX,101,IND,RB,11
102.0,D'Andre Swift,at ARI,81.0,132.0,106.3,6.0,9.5,FLEX,102,DET,RB,12
103.0,Cole Beasley,vs. LAR,84.0,129.0,108.2,7.7,9.3,FLEX,103,BUF,WR,12
104.0,Brandon Aiyuk,at NYG,94.0,165.0,109.9,16.7,9.1,FLEX,104,SF,WR,12
105.0,Steven Sims,at CLE,92.0,143.0,110.2,10.1,9.3,FLEX,105,WAS,WR,12
106.0,Kendrick Bourne,at NYG,95.0,127.0,110.3,8.9,9.0,FLEX,106,SF,WR,12
107.0,J.K. Dobbins,vs. KC,73.0,140.0,111.8,14.2,8.7,FLEX,107,BAL,RB,12
108.0,Danny Amendola,at ARI,82.0,130.0,112.1,9.6,8.8,FLEX,108,DET,WR,12
109.0,Myles Gaskin,at JAC,88.0,149.0,112.4,13.6,9.1,FLEX,109,MIA,RB,12
110.0,Jordan Reed,at NYG,72.0,154.0,113.1,23.0,8.6,FLEX,110,SF,TE,12
111.0,KJ Hamler,vs. TB,95.0,165.0,115.9,15.5,8.8,FLEX,111,DEN,WR,12
112.0,Dion Lewis,vs. SF,74.0,211.0,116.1,18.5,8.3,FLEX,112,NYG,RB,13
113.0,Dalton Schultz,at SEA,88.0,154.0,116.2,18.0,8.2,FLEX,113,DAL,TE,12
114.0,Ronald Jones II,at DEN,37.0,138.0,116.4,16.6,8.3,FLEX,114,TB,RB,11
115.0,Scotty Miller,at DEN,80.0,141.0,118.1,11.9,8.5,FLEX,115,TB,WR,12
116.0,Mecole Hardman,at BAL,99.0,151.0,118.6,13.4,8.3,FLEX,116,KC,WR,12
117.0,Randall Cobb,at PIT,93.0,141.0,120.0,12.1,8.5,FLEX,117,HOU,WR,12
118.0,Sammy Watkins,at BAL,84.0,135.0,106.5,13.8,8.9,FLEX,118,KC,WR,12
119.0,Chris Herndon IV,at IND,110.0,152.0,123.4,12.3,7.9,FLEX,119,NYJ,TE,14
120.0,Bryan Edwards,at NE,98.0,161.0,123.7,18.3,8.2,FLEX,120,LV,WR,14
121.0,Malcolm Brown,at BUF,86.0,138.0,124.5,11.0,8.0,FLEX,121,LAR,RB,12
122.0,Latavius Murray,vs. GB,76.0,141.0,124.9,10.4,8.0,FLEX,122,NO,RB,12
123.0,Austin Hooper,vs. WAS,92.0,158.0,119.6,11.8,7.9,FLEX,123,CLE,TE,12
124.0,Sony Michel,vs. LV,104.0,149.0,130.7,8.4,7.6,FLEX,124,NE,RB,14
125.0,Chris Conley,vs. MIA,84.0,161.0,123.7,20.7,8.2,FLEX,125,JAX,WR,12
126.0,Eric Ebron,vs. HOU,111.0,152.0,125.2,11.4,7.8,FLEX,126,PIT,TE,14
127.0,Frank Gore,at IND,102.0,179.0,134.7,7.5,7.1,FLEX,127,NYJ,RB,15
128.0,Jeff Wilson Jr.,at NYG,58.0,237.0,135.7,39.3,7.4,FLEX,128,SF,RB,13
129.0,Adrian Peterson,at ARI,105.0,158.0,136.2,8.9,7.0,FLEX,129,DET,RB,14
130.0,James Washington,vs. HOU,114.0,172.0,136.4,14.4,8.1,FLEX,130,PIT,WR,15
131.0,Justin Jefferson,vs. TEN,105.0,160.0,129.8,11.5,8.2,FLEX,131,MIN,WR,14
132.0,Chase Edmonds,vs. DET,75.0,174.0,137.4,9.6,7.5,FLEX,132,ARI,RB,15
133.0,Drew Sample,at PHI,83.0,175.0,137.6,23.6,7.4,FLEX,133,CIN,TE,15
134.0,Hunter Renfrow,at NE,115.0,161.0,130.5,11.2,8.2,FLEX,134,LV,WR,14
135.0,Miles Boykin,vs. KC,112.0,153.0,132.9,8.5,7.6,FLEX,135,BAL,WR,14
136.0,Chase Claypool,vs. HOU,98.0,159.0,135.8,10.1,7.8,FLEX,136,PIT,WR,14
137.0,Tyler Eifert,vs. MIA,92.0,158.0,138.8,12.1,7.0,FLEX,137,JAX,TE,14
138.0,Rex Burkhead,vs. LV,60.0,183.0,145.9,26.7,7.0,FLEX,138,NE,RB,15
139.0,Boston Scott,vs. CIN,121.0,176.0,148.0,12.3,6.7,FLEX,139,PHI,RB,15
140.0,Demarcus Robinson,at BAL,125.0,162.0,141.3,11.4,8.0,FLEX,140,KC,WR,14
141.0,O.J. Howard,at DEN,113.0,168.0,142.0,15.6,6.9,FLEX,141,TB,TE,14
142.0,Jordan Akins,at PIT,114.0,155.0,145.8,9.7,6.9,FLEX,142,HOU,TE,14
143.0,Van Jefferson,at BUF,115.0,165.0,139.7,13.2,7.4,FLEX,143,LAR,WR,14
144.0,Zach Pascal,vs. NYJ,96.0,166.0,132.0,19.2,7.6,FLEX,144,IND,WR,14
145.0,Greg Olsen,vs. DAL,114.0,174.0,147.2,13.4,6.2,FLEX,145,SEA,TE,15
146.0,Kerryon Johnson,at ARI,125.0,200.0,154.1,14.8,6.3,FLEX,146,DET,RB,15
147.0,Mo Alie-Cox,vs. NYJ,112.0,177.0,143.7,18.7,6.7,FLEX,147,IND,TE,15
148.0,Alexander Mattison,vs. TEN,101.0,182.0,152.4,12.7,6.5,FLEX,148,MIN,RB,15
149.0,Damiere Byrd,vs. LV,115.0,164.0,146.1,14.7,7.5,FLEX,149,NE,WR,14
150.0,Carlos Hyde,vs. DAL,106.0,185.0,160.5,10.4,6.4,FLEX,150,SEA,RB,15
