rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
117,Brian Hill,vs. CAR,107,158,128.7,11.6,8.3,FLEX,117,ATL,RB,13
118,Darnell Mooney,vs. TB,88,132,112.7,9.5,8.9,FLEX,118,CHI,WR,11
119,Raheem Mostert,vs. MIA,42,216,122.3,61.2,6.9,FLEX,119,SF,RB,10
120,Gus Edwards,vs. CIN,111,160,139.9,13.9,8.1,FLEX,120,BAL,RB,14
121,David Moore,vs. MIN,88,161,125.2,11.7,8.3,FLEX,121,SEA,WR,12
122,Ke'Shawn Vaughn,at CHI,110,181,141.7,20.4,6.8,FLEX,122,TB,RB,14
123,Drew Sample,at BAL,104,145,126.0,13.3,7.3,FLEX,123,CIN,TE,13
124,Mo Alie-Cox,at CLE,94,174,135.8,14.7,7.2,FLEX,124,IND,TE,12
125,Frank Gore,vs. ARI,123,177,145.2,15.2,7.7,FLEX,125,NYJ,RB,14
126,Henry Ruggs III,at KC,77,178,123.9,25.1,8.3,FLEX,126,LV,WR,12
127,Chris Herndon IV,vs. ARI,123,156,141.9,6.7,6.6,FLEX,127,NYJ,TE,14
128,Nelson Agholor,at KC,111,151,126.2,11.2,8.2,FLEX,128,LV,WR,13
129,Andy Isabella,at NYJ,113,150,128.1,8.3,7.9,FLEX,129,ARI,WR,13
130,Jeff Wilson Jr.,vs. MIA,99,229,152.5,32.8,6.7,FLEX,130,SF,RB,15
131,Dontrelle Inman,vs. LAR,115,151,129.7,8.3,7.9,FLEX,131,WAS,WR,13
132,Jordan Akins,vs. JAC,108,180,138.7,15.0,6.8,FLEX,132,HOU,TE,14
133,Chris Thompson,at HOU,131,172,156.4,9.9,6.3,FLEX,133,JAX,RB,15
134,James Washington,vs. PHI,110,179,144.5,14.8,7.5,FLEX,134,PIT,WR,14
135,Travis Homer,vs. MIN,122,191,159.3,15.0,6.2,FLEX,135,SEA,RB,15
136,Kendrick Bourne,vs. MIA,104,142,128.4,7.1,7.9,FLEX,136,SF,WR,13
137,Tony Pollard,vs. NYG,119,183,160.7,16.4,5.9,FLEX,137,DAL,RB,15
138,Giovani Bernard,at BAL,117,184,161.3,14.1,6.0,FLEX,138,CIN,RB,15
139,Ian Thomas,at ATL,124,164,148.5,11.6,6.2,FLEX,139,CAR,TE,14
140,Miles Boykin,vs. CIN,117,151,134.6,7.1,7.5,FLEX,140,BAL,WR,13
141,Kenny Stills,vs. JAC,128,175,143.8,10.7,7.6,FLEX,141,HOU,WR,14
142,Tyler Eifert,at HOU,127,173,152.6,9.1,6.2,FLEX,142,JAX,TE,15
143,Cordarrelle Patterson,vs. TB,109,179,149.7,14.9,7.0,FLEX,143,CHI,WR,14
144,Jordan Howard,at SF,131,223,164.1,21.4,4.8,FLEX,144,MIA,RB,15
145,Chris Conley,at HOU,111,163,142.0,8.2,7.0,FLEX,145,JAX,WR,14
146,Boston Scott,at PIT,134,198,164.6,14.3,5.2,FLEX,146,PHI,RB,15
147,Jordan Wilkins,at CLE,126,198,171.3,18.9,5.4,FLEX,147,IND,RB,15
148,Gabriel Davis,at TEN,113,167,142.6,13.8,7.2,FLEX,148,BUF,WR,14
149,Dion Lewis,at DAL,136,177,165.7,10.5,5.8,FLEX,149,NYG,RB,15
150,Cedrick Wilson,vs. NYG,120,186,145.0,12.9,7.1,FLEX,150,DAL,WR,14
