,rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
134,135.0,Tevin Coleman,at NYJ,107.0,195.0,148.0,14.6,6.7,FLEX,135,SF,RB,15
135,136.0,Jordan Howard,vs. BUF,88.0,204.0,145.7,18.8,6.7,FLEX,136,MIA,RB,15
136,137.0,Peyton Barber,at ARI,107.0,196.0,150.7,18.2,6.5,FLEX,137,WAS,RB,15
137,138.0,Cole Beasley,at MIA,61.0,158.0,125.0,11.0,7.9,FLEX,138,BUF,WR,13
138,139.0,Darrel Williams,at LAC,102.0,208.0,146.2,15.5,6.6,FLEX,139,KC,RB,15
139,140.0,Jimmy Graham,vs. NYG,97.0,171.0,139.7,13.4,7.7,FLEX,140,CHI,TE,13
140,141.0,Jerick McKinnon,at NYJ,88.0,218.0,155.4,18.2,6.4,FLEX,141,SF,RB,15
141,142.0,Justin Jefferson,at IND,85.0,165.0,127.4,10.8,7.8,FLEX,142,MIN,WR,13
142,143.0,Greg Olsen,vs. NE,95.0,175.0,135.8,12.0,7.6,FLEX,143,SEA,TE,13
143,144.0,Hunter Renfrow,vs. NO,69.0,179.0,130.2,13.6,7.6,FLEX,144,LV,WR,13
144,145.0,Myles Gaskin,vs. BUF,84.0,236.0,154.7,26.0,6.2,FLEX,145,MIA,RB,15
145,146.0,Tony Pollard,vs. ATL,84.0,195.0,157.3,12.9,6.3,FLEX,146,DAL,RB,15
146,147.0,Adam Humphries,vs. JAC,79.0,168.0,132.7,23.8,7.3,FLEX,147,TEN,WR,13
147,148.0,Chris Thompson,at TEN,84.0,210.0,155.6,12.1,6.0,FLEX,148,JAX,RB,15
148,149.0,Ian Thomas,at TB,95.0,211.0,148.1,14.1,7.5,FLEX,149,CAR,TE,15
149,150.0,Olabisi Johnson,at IND,99.0,194.0,144.9,14.3,7.1,FLEX,150,MIN,WR,15
