rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
1.0,Alvin Kamara,at DET,1.0,2.0,1.0,0.0,22.5,FLEX,1,NO,RB,1
2.0,Ezekiel Elliott,vs. CLE,1.0,8.0,2.4,1.0,21.6,FLEX,2,DAL,RB,1
3.0,DeAndre Hopkins,at CAR,3.0,9.0,3.2,0.8,20.7,FLEX,3,ARI,WR,1
4.0,Dalvin Cook,at HOU,2.0,8.0,4.2,1.5,20.0,FLEX,4,MIN,RB,1
5.0,Aaron Jones,vs. ATL,3.0,8.0,5.6,1.2,18.6,FLEX,5,GB,RB,1
6.0,Calvin Ridley,at GB,4.0,22.0,7.2,3.3,20.0,FLEX,6,ATL,WR,1
7.0,Tyreek Hill,vs. NE,5.0,18.0,9.1,2.8,17.3,FLEX,7,KC,WR,1
8.0,Jonathan Taylor,at CHI,8.0,34.0,11.7,5.7,17.3,FLEX,8,IND,RB,1
9.0,Clyde Edwards-Helaire,vs. NE,6.0,27.0,12.2,5.2,16.5,FLEX,9,KC,RB,1
10.0,Kenyan Drake,at CAR,6.0,29.0,12.3,5.1,17.0,FLEX,10,ARI,RB,1
11.0,D.K. Metcalf,at MIA,5.0,35.0,12.8,4.0,16.7,FLEX,11,SEA,WR,1
12.0,Allen Robinson II,vs. IND,8.0,27.0,13.1,3.1,17.1,FLEX,12,CHI,WR,1
13.0,Tyler Lockett,at MIA,3.0,23.0,13.1,3.6,16.7,FLEX,13,SEA,WR,1
14.0,Travis Kelce,vs. NE,11.0,45.0,16.0,4.1,16.6,FLEX,14,KC,TE,2
15.0,Austin Ekeler,at TB,10.0,18.0,16.3,2.9,16.5,FLEX,15,LAC,RB,1
16.0,Amari Cooper,vs. CLE,7.0,24.0,16.6,3.6,16.2,FLEX,16,DAL,WR,1
17.0,Adam Thielen,at HOU,9.0,37.0,18.9,4.7,16.0,FLEX,17,MIN,WR,2
18.0,Miles Sanders,at SF,5.0,39.0,19.3,6.4,16.2,FLEX,18,PHI,RB,2
19.0,Keenan Allen,at TB,17.0,37.0,22.4,4.0,15.9,FLEX,19,LAC,WR,2
20.0,D.J. Moore,vs. ARI,20.0,36.0,22.6,2.6,15.7,FLEX,20,CAR,WR,2
21.0,Stefon Diggs,at LV,14.0,32.0,22.8,3.2,15.6,FLEX,21,BUF,WR,2
22.0,Robert Woods,vs. NYG,19.0,36.0,23.1,2.6,15.3,FLEX,22,LAR,WR,2
23.0,Cooper Kupp,vs. NYG,14.0,39.0,23.1,4.6,15.7,FLEX,23,LAR,WR,2
24.0,Mike Evans,vs. LAC,12.0,39.0,24.6,5.3,15.1,FLEX,24,TB,WR,2
25.0,Josh Jacobs,vs. BUF,6.0,34.0,25.8,8.4,16.1,FLEX,25,LV,RB,2
26.0,James Robinson,at CIN,11.0,36.0,28.7,2.5,15.6,FLEX,26,JAX,RB,2
27.0,Terry McLaurin,vs. BAL,17.0,48.0,29.0,6.2,15.0,FLEX,27,WAS,WR,3
28.0,Nick Chubb,at DAL,8.0,42.0,30.6,6.6,15.5,FLEX,28,CLE,RB,2
29.0,Joe Mixon,vs. JAC,26.0,42.0,31.9,3.2,15.3,FLEX,29,CIN,RB,3
