player_name,positive,negative,neutral,compound,num_tweets,pos,id,avg_sentiment
Christian McCaffrey,0.736,0.186,5.078,1.3517,6.0,RB,CHR_MCCAFFREY_RB,0.2252833333333333
Saquon Barkley,0.0,0.0,4.0,0.0,4.0,RB,SAQ_BARKLEY_RB,0.0
Alvin Kamara,0.0,0.0,0.0,0.0,0.0,RB,ALV_KAMARA_RB,
Michael Thomas,1.057,1.2570000000000001,6.6850000000000005,0.6506,9.0,WR,MIC_THOMAS_WR,0.07228888888888889
Dalvin Cook,0.0,0.0,8.0,0.0,8.0,RB,DAL_COOK_RB,0.0
Derrick Henry,1.06,0.5569999999999999,14.383,0.9918000000000001,16.0,RB,DER_HENRY_RB,0.06198750000000001
Joe Mixon,0.0,0.0,5.0,0.0,5.0,RB,JOE_MIXON_RB,0.0
Ezekiel Elliott,0.398,0.0,6.602,0.5106,7.0,RB,EZE_ELLIOTT_RB,0.07294285714285716
Kenyan Drake,0.175,0.37,3.4539999999999997,-0.3038,4.0,RB,KEN_DRAKE_RB,-0.07595
Julio Jones,0.6950000000000001,0.6910000000000001,8.613999999999999,0.3498000000000001,10.0,WR,JUL_JONES_WR,0.03498000000000001
Tyreek Hill,0.571,0.5609999999999999,14.868,-0.18860000000000002,16.0,WR,TYR_HILL_WR,-0.011787500000000001
Josh Jacobs,0.0,0.0,0.0,0.0,0.0,RB,JOS_JACOBS_RB,
DeAndre Hopkins,0.6579999999999999,0.086,6.256,1.124,7.0,WR,DEA_HOPKINS_WR,0.1605714285714286
Davante Adams,0.9680000000000001,0.651,17.380000000000003,0.5435999999999999,19.0,WR,DAV_ADAMS_WR,0.028610526315789465
Nick Chubb,0.0,0.0,2.0,0.0,2.0,RB,NIC_CHUBB_RB,0.0
Miles Sanders,0.0,0.0,1.0,0.0,1.0,RB,MIL_SANDERS_RB,0.0
Austin Ekeler,0.0,0.0,1.0,0.0,1.0,RB,AUS_EKELER_RB,0.0
Aaron Jones,0.6950000000000001,0.6910000000000001,8.613999999999999,0.3498000000000001,10.0,RB,AAR_JONES_RB,0.03498000000000001
Pat Mahomes,0.794,0.889,14.315,-0.20929999999999999,16.0,QB,PAT_MAHOMES_QB,-0.013081249999999999
Chris Godwin,0.0,0.0,1.0,0.0,1.0,WR,CHR_GODWIN_WR,0.0
Travis Kelce,1.406,0.6639999999999999,9.929999999999998,1.1300999999999997,12.0,TE,TRA_KELCE_TE,0.09417499999999997
Clyde Edwards-Helaire,0.0,0.0,0.0,0.0,0.0,RB,CLY_EDWARDSHELAIRE_RB,
Lamar Jackson,0.981,0.665,9.355,0.023599999999999913,11.0,QB,LAM_JACKSON_QB,0.0021454545454545376
Todd Gurley,0.141,0.0,2.859,0.2023,3.0,RB,TOD_GURLEY_RB,0.06743333333333333
Mike Evans,0.244,0.124,2.632,0.28800000000000003,3.0,WR,MIK_EVANS_WR,0.09600000000000002
Kenny Golladay,0.255,0.0,7.745,0.4084,8.0,WR,KEN_GOLLADAY_WR,0.05105
George Kittle,0.495,0.205,6.3,0.6406999999999999,7.0,TE,GEO_KITTLE_TE,0.09152857142857142
Leonard Fournette,0.2,0.085,2.715,0.30960000000000004,3.0,RB,LEO_FOURNETTE_RB,0.10320000000000001
Adam Thielen,0.0,0.0,0.0,0.0,0.0,WR,ADA_THIELEN_WR,
Melvin Gordon,0.768,0.0,5.232,1.0734,6.0,RB,MEL_GORDON_RB,0.17889999999999998
David Johnson,0.0,0.0,8.0,0.0,8.0,RB,DAV_JOHNSON_RB,0.0
Odell Beckham Jr,0.0,0.0,5.0,0.0,5.0,WR,ODE_BECKHAM_WR,0.0
LeVeon Bell,0.28700000000000003,0.168,6.5440000000000005,0.15300000000000002,7.0,RB,LEV_BELL_RB,0.02185714285714286
Amari Cooper,0.361,0.0,7.638999999999999,0.6344000000000001,8.0,WR,AMA_COOPER_WR,0.07930000000000001
James Conner,0.0,0.0,1.0,0.0,1.0,RB,JAM_CONNER_RB,0.0
JuJu Smith-Schuster,0.0,0.0,0.0,0.0,0.0,WR,JUJ_SMITHSCHUSTER_WR,
Allen Robinson,0.0,0.259,6.741,-0.2732,7.0,WR,ALL_ROBINSON_WR,-0.039028571428571426
Chris Carson,0.41600000000000004,0.7859999999999999,6.798,0.14950000000000002,8.0,RB,CHR_CARSON_RB,0.018687500000000003
D.J. Moore,0.501,0.0,6.4990000000000006,1.5152999999999999,7.0,WR,DJ_MOORE_WR,0.21647142857142856
Jonathan Taylor,0.623,0.455,5.922,-0.05970000000000003,7.0,RB,JON_TAYLOR_RB,-0.008528571428571432
Cooper Kupp,0.189,0.0,5.811,0.2732,6.0,WR,COO_KUPP_WR,0.045533333333333335
Devin Singletary,0.0,0.0,1.0,0.0,1.0,RB,DEV_SINGLETARY_RB,0.0
Calvin Ridley,0.167,0.444,6.389,-0.5885,7.0,WR,CAL_RIDLEY_WR,-0.08407142857142857
Mark Andrews,0.296,0.0,3.7039999999999997,0.7397,4.0,TE,MAR_ANDREWS_TE,0.184925
