rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
1,Dalvin Cook,vs. DET,1.0,1.0,1.0,0.0,23.0,FLEX,RB1,MIN,,RB,1
2,Derrick Henry,vs. CHI,2.0,3.0,2.04,0.19,18.8,FLEX,RB2,TEN,,RB,1
3,Alvin Kamara,at TB,3.0,6.0,3.74,0.97,22.5,FLEX,RB3,NO,,RB,1
4,James Conner,at DAL,3.0,12.0,5.22,1.79,18.3,FLEX,RB4,PIT,,RB,1
5,James Robinson,vs. HOU,3.0,12.0,5.59,2.45,17.2,FLEX,RB5,JAC,,RB,1
6,Davante Adams,at SF,2.0,10.0,7.11,0.57,23.2,FLEX,WR1,GB,,WR,1
7,Chase Edmonds,vs. MIA,2.0,16.0,7.7,2.42,17.9,FLEX,RB6,ARI,,RB,1
8,Josh Jacobs,at LAC,3.0,14.0,7.85,1.3,14.3,FLEX,RB7,LV,,RB,1
9,Christian McCaffrey,at KC,3.0,29.0,8.11,6.29,20.8,FLEX,RB8,CAR,,RB,1
10,Julio Jones,vs. DEN,7.0,23.0,11.07,1.7,21.2,FLEX,WR2,ATL,,WR,2
11,DeAndre Hopkins,vs. MIA,7.0,24.0,11.56,1.75,20.9,FLEX,WR3,ARI,,WR,2
12,Tyreek Hill,vs. CAR,8.0,17.0,13.15,1.8,19.1,FLEX,WR4,KC,,WR,2
13,Stefon Diggs,vs. SEA,9.0,18.0,13.81,2.14,19.3,FLEX,WR5,BUF,,WR,2
14,D.K. Metcalf,at BUF,10.0,21.0,14.96,1.93,17.4,FLEX,WR6,SEA,,WR,2
15,Tyler Lockett,at BUF,12.0,22.0,16.04,1.23,18.7,FLEX,WR7,SEA,,WR,2
16,David Montgomery,at TEN,8.0,50.0,16.33,7.91,14.3,FLEX,RB9,CHI,,RB,2
17,Todd Gurley II,vs. DEN,9.0,32.0,17.81,3.52,14.8,FLEX,RB10,ATL,,RB,2
18,A.J. Brown,vs. CHI,17.0,22.0,18.52,1.2,14.5,FLEX,WR8,TEN,,WR,2
19,David Johnson,at JAC,12.0,31.0,19.3,4.58,15.2,FLEX,RB11,HOU,,RB,2
20,Clyde Edwards-Helaire,vs. CAR,8.0,33.0,21.3,2.92,15.3,FLEX,RB12,KC,,RB,2
21,Adam Thielen,vs. DET,16.0,28.0,22.33,1.91,17.2,FLEX,WR9,MIN,,WR,2
22,Travis Kelce,vs. CAR,10.0,24.0,23.04,0.19,17.0,FLEX,TE1,KC,,TE,2
23,Terry McLaurin,vs. NYG,18.0,36.0,23.11,2.94,16.2,FLEX,WR10,WAS,,WR,2
24,JaMycal Hasty,vs. GB,12.0,55.0,25.48,7.9,12.1,FLEX,RB13,SF,,RB,3
25,Keenan Allen,vs. LV,6.0,39.0,25.63,5.68,17.5,FLEX,WR11,LAC,,WR,2
26,Will Fuller V,at JAC,20.0,30.0,25.89,2.08,15.9,FLEX,WR12,HOU,,WR,2
27,Justin Jackson,vs. LV,15.0,38.0,28.15,4.69,14.1,FLEX,RB14,LAC,,RB,2
28,Antonio Gibson,vs. NYG,26.0,41.0,29.78,2.85,17.0,FLEX,RB15,WAS,,RB,4
29,Mike Evans,vs. NO,21.0,59.0,30.48,8.49,14.1,FLEX,WR13,TB,,WR,3
30,J.K. Dobbins,at IND,12.0,66.0,30.81,5.66,13.1,FLEX,RB16,BAL,,RB,3
31,Robby Anderson,at KC,27.0,42.0,31.33,3.42,15.5,FLEX,WR14,CAR,,WR,4
32,Allen Robinson II,at TEN,15.0,43.0,32.11,4.18,17.2,FLEX,WR15,CHI,,WR,2
33,D'Andre Swift,at MIN,26.0,41.0,33.37,3.04,13.2,FLEX,RB17,DET,,RB,4
34,Aaron Jones,at SF,4.0,95.0,33.78,16.44,13.2,FLEX,RB18,GB,,RB,5
35,Justin Jefferson,vs. DET,28.0,44.0,36.04,4.43,15.0,FLEX,WR16,MIN,,WR,4
36,Darren Waller,at LAC,30.0,54.0,37.56,3.24,16.6,FLEX,TE2,LV,,TE,4
37,Leonard Fournette,vs. NO,20.0,58.0,37.59,6.26,13.0,FLEX,RB19,TB,,RB,4
38,Michael Thomas,at TB,21.0,70.0,40.52,5.15,16.8,FLEX,WR17,NO,,WR,4
39,Damien Harris,at NYJ,26.0,78.0,40.56,4.23,11.9,FLEX,RB20,NE,,RB,5
40,D.J. Moore,at KC,30.0,45.0,41.67,2.42,15.0,FLEX,WR18,CAR,,WR,4
41,Melvin Gordon III,at ATL,29.0,68.0,42.19,6.55,12.7,FLEX,RB21,DEN,,RB,4
42,Brandin Cooks,at JAC,34.0,49.0,42.19,3.26,14.3,FLEX,WR19,HOU,,WR,4
43,Chase Claypool,at DAL,36.0,50.0,44.04,2.13,14.5,FLEX,WR20,PIT,,WR,4
44,Marquise Brown,at IND,22.0,60.0,45.85,5.62,13.5,FLEX,WR21,BAL,,WR,4
45,Mike Williams,vs. LV,36.0,77.0,46.7,4.8,13.0,FLEX,WR22,LAC,,WR,6
46,DeeJay Dallas,at BUF,15.0,82.0,46.96,16.79,12.4,FLEX,RB22,SEA,,RB,5
47,JuJu Smith-Schuster,at DAL,34.0,60.0,47.96,2.73,13.6,FLEX,WR23,PIT,,WR,4
48,Marvin Jones Jr.,at MIN,42.0,75.0,52.0,4.79,13.3,FLEX,WR24,DET,,WR,6
49,Zack Moss,vs. SEA,40.0,78.0,52.37,8.71,10.0,FLEX,RB23,BUF,,RB,6
50,Jonathan Taylor,vs. BAL,40.0,78.0,52.63,10.39,9.7,FLEX,RB24,IND,,RB,6
51,Mark Andrews,at IND,37.0,63.0,53.33,4.74,12.2,FLEX,TE3,BAL,,TE,6
52,Diontae Johnson,at DAL,42.0,70.0,54.0,6.61,13.6,FLEX,WR25,PIT,,WR,6
53,D.J. Chark Jr.,vs. HOU,47.0,79.0,57.33,5.56,13.5,FLEX,WR26,JAC,,WR,6
54,Amari Cooper,vs. PIT,46.0,87.0,57.81,8.91,12.9,FLEX,WR27,DAL,,WR,6
55,Rob Gronkowski,vs. NO,43.0,90.0,58.52,7.33,12.1,FLEX,TE4,TB,,TE,6
56,T.J. Hockenson,at MIN,37.0,65.0,58.85,3.43,13.3,FLEX,TE5,DET,,TE,6
57,DeVante Parker,at ARI,46.0,89.0,60.63,7.66,12.4,FLEX,WR28,MIA,,WR,6
58,Ronald Jones II,vs. NO,41.0,89.0,60.74,12.05,9.9,FLEX,RB25,TB,,RB,6
59,Darius Slayton,at WAS,48.0,71.0,61.7,5.3,12.2,FLEX,WR29,NYG,,WR,6
60,Noah Fant,at ATL,52.0,103.0,62.33,7.76,12.1,FLEX,TE6,DEN,,TE,6
61,Jerick McKinnon,vs. GB,35.0,104.0,62.93,12.54,11.5,FLEX,RB26,SF,,RB,6
62,Antonio Brown,vs. NO,39.0,105.0,63.59,8.11,11.9,FLEX,WR30,TB,,WR,6
63,Corey Davis,vs. CHI,44.0,75.0,65.85,7.76,12.2,FLEX,WR31,TEN,,WR,6
64,Hunter Henry,vs. LV,47.0,92.0,66.44,7.62,11.6,FLEX,TE7,LAC,,TE,6
65,Gus Edwards,at IND,26.0,93.0,66.7,9.7,7.6,FLEX,RB27,BAL,,RB,6
66,Ezekiel Elliott,vs. PIT,20.0,84.0,46.44,22.6,9.6,FLEX,RB28,DAL,,RB,5
67,Jerry Jeudy,at ATL,51.0,95.0,68.26,6.4,12.2,FLEX,WR32,DEN,,WR,7
68,John Brown,vs. SEA,45.0,81.0,68.74,6.27,11.5,FLEX,WR33,BUF,,WR,6
69,Le'Veon Bell,vs. CAR,55.0,111.0,71.41,13.41,11.0,FLEX,RB29,KC,,RB,7
70,Hayden Hurst,vs. DEN,54.0,103.0,71.78,6.71,11.5,FLEX,TE8,ATL,,TE,7
71,Phillip Lindsay,at ATL,53.0,84.0,72.63,11.03,9.6,FLEX,RB30,DEN,,RB,7
72,Cole Beasley,vs. SEA,59.0,83.0,73.33,3.8,12.1,FLEX,WR34,BUF,,WR,7
73,Jared Cook,at TB,61.0,94.0,73.33,11.62,10.3,FLEX,TE9,NO,,TE,7
74,Mecole Hardman,vs. CAR,60.0,89.0,73.41,5.01,11.2,FLEX,WR35,KC,,WR,7
75,Christian Kirk,vs. MIA,48.0,83.0,74.48,4.52,11.6,FLEX,WR36,ARI,,WR,7
76,Sterling Shepard,at WAS,56.0,97.0,74.74,5.02,12.0,FLEX,WR37,NYG,,WR,7
77,Devin Singletary,vs. SEA,55.0,84.0,75.89,8.18,9.0,FLEX,RB31,BUF,,RB,7
78,Chris Godwin,vs. NO,28.0,162.0,67.77,39.22,10.7,FLEX,WR38,TB,,WR,8
79,Joshua Kelley,vs. LV,53.0,95.0,78.37,10.79,8.0,FLEX,RB32,LAC,,RB,7
80,Wayne Gallman,at WAS,48.0,95.0,78.74,10.22,8.8,FLEX,RB33,NYG,,RB,7
81,CeeDee Lamb,vs. PIT,70.0,123.0,78.85,10.53,11.2,FLEX,WR39,DAL,,WR,9
82,Henry Ruggs III,at LAC,70.0,109.0,80.48,7.58,11.0,FLEX,WR40,LV,,WR,9
83,Curtis Samuel,at KC,71.0,108.0,82.11,7.24,10.4,FLEX,WR41,CAR,,WR,9
84,Laviska Shenault Jr.,vs. HOU,60.0,99.0,82.26,6.74,10.8,FLEX,WR42,JAC,,WR,7
85,Jonnu Smith,vs. CHI,64.0,106.0,85.7,9.01,11.5,FLEX,TE10,TEN,,TE,9
86,Jakobi Meyers,at NYJ,69.0,110.0,87.93,7.18,10.6,FLEX,WR43,NE,,WR,9
87,Michael Gallup,vs. PIT,74.0,142.0,91.59,12.2,9.6,FLEX,WR44,DAL,,WR,10
88,Robert Tonyan,at SF,77.0,117.0,93.26,6.46,9.8,FLEX,TE11,GB,,TE,9
89,Lamical Perine,vs. NE,79.0,121.0,93.52,7.46,7.8,FLEX,RB34,NYJ,,RB,10
90,Evan Engram,at WAS,64.0,117.0,93.63,9.73,9.7,FLEX,TE12,NYG,,TE,9
91,Darnell Mooney,at TEN,76.0,110.0,93.85,7.71,11.2,FLEX,WR45,CHI,,WR,9
92,Eric Ebron,at DAL,62.0,117.0,96.22,7.37,9.5,FLEX,TE13,PIT,,TE,9
93,Keelan Cole Sr.,vs. HOU,73.0,112.0,96.41,7.42,9.7,FLEX,WR46,JAC,,WR,9
94,Russell Gage,vs. DEN,67.0,126.0,96.56,10.91,10.5,FLEX,WR47,ATL,,WR,10
95,Preston Williams,at ARI,87.0,114.0,97.22,6.23,9.8,FLEX,WR48,MIA,,WR,10
96,Adrian Peterson,at MIN,82.0,158.0,98.52,10.48,7.2,FLEX,RB35,DET,,RB,10
97,Randall Cobb,at JAC,71.0,132.0,99.11,9.3,10.1,FLEX,WR49,HOU,,WR,10
98,Tim Patrick,at ATL,63.0,139.0,102.3,22.18,10.1,FLEX,WR50,DEN,,WR,10
99,Zach Pascal,vs. BAL,73.0,130.0,102.44,10.02,8.8,FLEX,WR51,IND,,WR,10
100,Jordan Howard,at ARI,31.0,201.0,102.93,27.35,6.9,FLEX,RB36,MIA,,RB,11
101,Jamison Crowder,vs. NE,68.0,138.0,96.42,22.54,10.1,FLEX,WR52,NYJ,,WR,10
102,Denzel Mims,vs. NE,89.0,188.0,106.0,10.77,9.2,FLEX,WR53,NYJ,,WR,12
103,Anthony Miller,at TEN,89.0,126.0,106.19,7.2,9.0,FLEX,WR54,CHI,,WR,10
104,Latavius Murray,at TB,82.0,125.0,106.78,10.91,7.2,FLEX,RB37,NO,,RB,10
105,James White,at NYJ,95.0,136.0,108.44,8.16,8.9,FLEX,RB38,NE,,RB,10
106,J.D. McKissic,vs. NYG,95.0,125.0,110.07,8.9,8.5,FLEX,RB39,WAS,,RB,10
107,Emmanuel Sanders,at TB,75.0,152.0,102.62,23.45,9.2,FLEX,WR55,NO,,WR,10
108,Tony Pollard,vs. PIT,58.0,161.0,112.59,22.73,7.1,FLEX,RB40,DAL,,RB,11
109,Marquez Valdes-Scantling,at SF,97.0,141.0,112.67,6.72,8.2,FLEX,WR56,GB,,WR,13
110,Jimmy Graham,at TEN,102.0,156.0,113.96,6.71,8.8,FLEX,TE14,CHI,,TE,13
111,Mike Gesicki,at ARI,66.0,153.0,114.78,10.21,8.7,FLEX,TE15,MIA,,TE,10
112,Jordan Wilkins,vs. BAL,69.0,127.0,115.11,9.51,8.9,FLEX,RB41,IND,,RB,10
113,Nelson Agholor,at LAC,94.0,148.0,116.15,13.82,8.5,FLEX,WR57,LV,,WR,13
114,Hunter Renfrow,at LAC,102.0,138.0,117.48,10.05,9.0,FLEX,WR58,LV,,WR,13
115,Brian Hill,vs. DEN,99.0,150.0,117.89,9.25,6.9,FLEX,RB42,ATL,,RB,13
116,Demarcus Robinson,vs. CAR,94.0,178.0,118.15,15.71,8.2,FLEX,WR59,KC,,WR,12
117,Nyheim Hines,vs. BAL,104.0,131.0,118.93,5.42,8.4,FLEX,RB43,IND,,RB,13
118,Scotty Miller,vs. NO,89.0,170.0,119.78,19.67,8.3,FLEX,WR60,TB,,WR,12
119,Logan Thomas,vs. NYG,86.0,154.0,120.0,12.54,8.7,FLEX,TE16,WAS,,TE,13
120,Trent Taylor,vs. GB,87.0,179.0,107.12,21.13,8.7,FLEX,WR61,SF,,WR,12
121,Jordan Reed,vs. GB,65.0,187.0,124.37,27.3,8.1,FLEX,TE17,SF,,TE,11
122,Marcus Johnson,vs. BAL,92.0,149.0,124.67,12.21,8.0,FLEX,WR62,IND,,WR,13
123,Dexter Williams,at SF,82.0,185.0,125.15,21.89,5.5,FLEX,RB44,GB,,RB,12
124,Damiere Byrd,at NYJ,96.0,145.0,125.56,9.91,8.3,FLEX,WR63,NE,,WR,13
125,Frank Gore,vs. NE,101.0,173.0,126.33,11.28,6.8,FLEX,RB45,NYJ,,RB,12
126,Trey Burton,vs. BAL,87.0,145.0,126.96,7.39,8.8,FLEX,TE18,IND,,TE,13
127,Rex Burkhead,at NYJ,105.0,150.0,127.0,8.57,7.1,FLEX,RB46,NE,,RB,13
128,Marvin Hall,at MIN,91.0,147.0,119.92,14.52,7.3,FLEX,WR64,DET,,WR,13
129,Tre'Quan Smith,at TB,105.0,150.0,128.33,13.68,7.5,FLEX,WR65,NO,,WR,13
130,Mike Davis,at KC,78.0,173.0,124.46,19.73,6.8,FLEX,RB47,CAR,,RB,12
131,Danny Amendola,at MIN,97.0,145.0,126.38,11.17,8.5,FLEX,WR66,DET,,WR,13
132,KJ Hamler,at ATL,102.0,141.0,128.15,8.04,8.1,FLEX,WR67,DEN,,WR,13
133,Tyler Ervin,at SF,90.0,194.0,137.93,18.99,7.5,FLEX,RB48,GB,,RB,12
134,Alexander Mattison,vs. DET,124.0,164.0,136.04,12.03,6.4,FLEX,RB49,MIN,,RB,14
135,Michael Pittman Jr.,vs. BAL,100.0,149.0,130.6,11.39,7.4,FLEX,WR68,IND,,WR,13
136,Benny Snell Jr.,at DAL,121.0,182.0,150.67,17.87,5.1,FLEX,RB50,PIT,,RB,14
137,Irv Smith Jr.,vs. DET,120.0,187.0,151.07,11.18,6.3,FLEX,TE19,MIN,,TE,15
138,Dalton Schultz,vs. PIT,99.0,169.0,151.22,11.08,7.2,FLEX,TE20,DAL,,TE,15
139,David Moore,at BUF,114.0,159.0,139.92,7.72,7.1,FLEX,WR69,SEA,,WR,14
140,Ross Dwelley,vs. GB,120.0,180.0,150.35,15.26,7.1,FLEX,TE21,SF,,TE,14
141,Jalen Guyton,vs. LV,127.0,160.0,143.88,6.49,6.8,FLEX,WR70,LAC,,WR,14
142,Braxton Berrios,vs. NE,104.0,225.0,153.12,25.93,7.1,FLEX,WR71,NYJ,,WR,15
143,Greg Olsen,at BUF,135.0,167.0,154.08,7.09,6.6,FLEX,TE22,SEA,,TE,14
144,Jordan Akins,at JAC,120.0,176.0,154.46,9.01,6.0,FLEX,TE23,HOU,,TE,14
145,Albert Okwuegbunam,at ATL,129.0,194.0,160.85,10.14,6.0,FLEX,TE24,DEN,,TE,15
146,James Washington,at DAL,112.0,214.0,147.84,22.11,6.7,FLEX,WR72,PIT,,WR,15
147,Alfred Morris,at WAS,132.0,176.0,148.4,12.65,3.8,FLEX,RB51,NYG,,RB,14
148,Travis Homer,at BUF,104.0,199.0,156.0,26.8,5.9,FLEX,RB52,SEA,,RB,15
149,Jeremy McNichols,vs. CHI,121.0,173.0,149.36,14.1,4.0,FLEX,RB53,TEN,,RB,14
150,Patrick Laird,at ARI,107.0,197.0,157.12,25.35,5.7,FLEX,RB54,MIA,,RB,15
