rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
100,Malcolm Brown,vs. CHI,79.0,143.0,100.78,14.02,6.4,FLEX,36,LAR,,RB,11
101,Jonnu Smith,vs. PIT,51.0,174.0,101.19,28.94,9.0,FLEX,11,TEN,,TE,9
102,Corey Davis,vs. PIT,72.0,152.0,103.34,12.86,8.7,FLEX,55,TEN,,WR,11
103,Jimmy Graham,at LAR,89.0,129.0,104.38,5.07,9.3,FLEX,12,CHI,,TE,12
104,Hayden Hurst,vs. DET,74.0,121.0,104.88,7.22,8.5,FLEX,13,ATL,,TE,10
105,Darren Fells,vs. GB,69.0,147.0,104.91,9.32,8.4,FLEX,14,HOU,,TE,11
106,Eric Ebron,at TEN,89.0,121.0,105.59,5.06,8.1,FLEX,15,PIT,,TE,12
107,DeSean Jackson,vs. NYG,85.0,150.0,106.75,12.4,8.0,FLEX,56,PHI,,WR,11
108,Russell Gage,vs. DET,82.0,142.0,108.44,6.02,9.0,FLEX,57,ATL,,WR,11
109,Damiere Byrd,vs. SF,94.0,127.0,109.41,7.27,8.2,FLEX,58,NE,,WR,12
110,N'Keal Harry,vs. SF,93.0,124.0,109.44,6.41,8.1,FLEX,59,NE,,WR,12
111,Golden Tate,at PHI,94.0,124.0,109.56,6.6,8.7,FLEX,60,NYG,,WR,12
112,Zack Moss,at NYJ,79.0,141.0,110.09,11.8,6.4,FLEX,37,BUF,,RB,11
113,Dalton Schultz,at WAS,82.0,161.0,110.66,17.19,9.7,FLEX,16,DAL,,TE,11
114,J.D. McKissic,vs. DAL,79.0,143.0,113.91,13.49,10.7,FLEX,38,WAS,,RB,11
115,Adam Humphries,vs. PIT,94.0,160.0,114.34,6.77,8.3,FLEX,61,TEN,,WR,11
116,Hunter Renfrow,vs. TB,87.0,160.0,118.81,9.82,8.1,FLEX,62,LV,,WR,11
117,Le'Veon Bell,at DEN,83.0,165.0,121.41,16.66,7.0,FLEX,39,KC,,RB,11
118,Anthony Miller,at LAR,111.0,148.0,122.75,11.24,7.6,FLEX,63,CHI,,WR,13
119,Greg Ward,vs. NYG,103.0,142.0,123.06,8.14,7.9,FLEX,64,PHI,,WR,13
120,Lamical Perine,vs. BUF,87.0,141.0,123.69,10.5,6.7,FLEX,40,NYJ,,RB,11
121,Dontrelle Inman,vs. DAL,90.0,148.0,123.81,15.19,7.4,FLEX,65,WAS,,WR,13
122,Gabriel Davis,at NYJ,75.0,172.0,118.45,27.86,7.9,FLEX,66,BUF,,WR,11
123,Darnell Mooney,at LAR,109.0,142.0,125.25,8.45,8.0,FLEX,67,CHI,,WR,13
124,Tyler Higbee,vs. CHI,103.0,138.0,126.41,6.9,7.6,FLEX,17,LAR,,TE,13
125,Logan Thomas,vs. DAL,107.0,139.0,129.34,4.05,7.3,FLEX,18,WAS,,TE,13
126,Danny Amendola,at ATL,115.0,151.0,129.81,10.97,7.8,FLEX,68,DET,,WR,13
127,Brian Hill,vs. DET,117.0,147.0,130.22,4.75,6.2,FLEX,41,ATL,,RB,13
128,Rex Burkhead,vs. SF,97.0,154.0,130.81,8.67,6.7,FLEX,42,NE,,RB,13
129,Larry Fitzgerald,vs. SEA,111.0,150.0,130.81,9.59,7.5,FLEX,69,ARI,,WR,13
