rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13.0,1.0,4.0,1.1,0.3,1.0,0.0,29.262500000000003,10.010719254878744,377.26,1.0
2,1.0,Saquon Barkley,NYG,RB2,RB,11.0,1.0,6.0,2.2,0.6,2.0,0.0,18.700000000000003,10.579303694793277,312.28999999999996,0.8974039099264125
3,1.0,Ezekiel Elliott,DAL,RB3,RB,10.0,2.0,14.0,3.4,1.3,3.0,0.0,19.29375,6.128672368466111,306.1,0.8876290938950826
4,1.0,Alvin Kamara,NO,RB4,RB,6.0,2.0,8.0,4.0,1.6,6.0,2.0,17.465714285714288,8.435957575745636,299.91,0.8778542778637528
5,1.0,Michael Thomas,NO,WR1,WR,6.0,3.0,13.0,5.8,1.6,8.0,-3.5,23.35,8.438009243891596,338.22999999999996,0.7940182547452863
6,1.0,Dalvin Cook,MIN,RB5,RB,7.0,3.0,23.0,6.7,2.9,4.0,-0.5,20.599999999999998,7.418894796396564,292.67,0.8664213751065915
7,1.0,Davante Adams,GB,WR2,WR,5.0,5.0,16.0,9.3,1.9,11.0,-10.0,17.39166666666667,6.80834492413983,303.5,0.7391750623756436
8,1.0,Derrick Henry,TEN,RB6,RB,7.0,4.0,31.0,10.9,6.7,7.0,1.5,19.306666666666665,10.303360524374469,264.29,0.8216056596026909
9,1.0,Clyde Edwards-Helaire,KC,RB7,RB,10.0,4.0,28.0,11.4,6.0,5.0,-2.5,,,256.52,0.8093358178315384
10,1.0,Julio Jones,ATL,WR3,WR,10.0,5.0,24.0,11.6,2.0,15.0,-8.0,18.206666666666667,8.836326536896804,286.94,0.7130246660139595
11,1.0,Tyreek Hill,KC,WR4,WR,10.0,9.0,40.0,12.7,2.5,17.0,-18.0,15.691666666666665,9.697184064865366,259.92999999999995,0.6703723589047152
12,1.0,Austin Ekeler,LAC,RB8,RB,10.0,4.0,51.0,13.3,6.9,12.0,4.0,19.125,8.857576794285595,253.7,0.8048826706250198
13,1.0,Joe Mixon,CIN,RB9,RB,9.0,4.0,40.0,15.2,6.7,10.0,-2.0,14.0875,7.73674134676006,244.60999999999996,0.790528376969965
14,1.0,DeAndre Hopkins,ARI,WR5,WR,8.0,5.0,35.0,16.3,5.3,21.0,-13.0,17.969333333333335,7.318984576981648,261.19000000000005,0.6723620629757131
15,1.0,Miles Sanders,PHI,RB10,RB,9.0,6.0,44.0,16.8,7.1,14.0,5.0,13.41875,8.683564456297118,251.63000000000002,0.8016138710798093
16,1.0,Chris Godwin,TB,WR6,WR,13.0,11.0,45.0,16.9,5.5,24.0,-15.0,19.578571428571433,10.914505420376527,250.76,0.6558917348324543
17,1.0,Travis Kelce,KC,TE1,TE,10.0,9.0,38.0,17.3,1.4,20.0,-5.0,15.83125,5.5935342137149755,253.04000000000002,0.6973754855825413
18,1.0,Kenyan Drake,ARI,RB11,RB,8.0,4.0,59.0,17.3,8.9,13.0,3.0,15.014285714285716,10.593383794604074,248.20000000000002,0.7961974544420933
19,1.0,George Kittle,SF,TE2,TE,11.0,15.0,27.0,18.6,2.3,26.0,-10.0,15.821428571428571,6.532896468162973,233.3,0.6662034551369107
20,1.0,Josh Jacobs,LV,RB12,RB,6.0,4.0,51.0,22.0,6.3,9.0,-5.0,14.661538461538461,7.621082432036635,233.71,0.7733158576256198
21,2.0,Allen Robinson,CHI,WR7,WR,11.0,12.0,55.0,22.9,6.7,34.0,-19.0,15.931250000000002,7.552016838787725,234.1,0.6295834254492626
22,1.0,Aaron Jones,GB,RB13,RB,5.0,8.0,58.0,23.8,7.4,18.0,5.0,19.487500000000004,13.505350791445588,242.03,0.786454221015065
