rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,SF,RB1,RB,9,1,17,2.11,2.77,1.0,0.0,24.26875,9.794264903503478,352.2100000000001,1.0
2,1.0,Breece Hall,NYJ,RB2,RB,12,1,13,6.24,2.03,2.0,-2.0,16.852941176470587,11.255394131651878,302.72,0.8989981620413838
3,1.0,Bijan Robinson,ATL,RB3,RB,12,1,16,6.58,2.16,5.0,0.0,14.25294117647059,8.080773295843878,300.87000000000006,0.89522258313204
4,1.0,CeeDee Lamb,DAL,WR1,WR,7,1,9,2.43,0.94,4.0,2.0,23.423529411764708,10.722553882574145,333.71999999999997,0.9153445479365012
5,1.0,Tyreek Hill,MIA,WR2,WR,6,2,10,3.29,1.54,3.0,0.0,23.462500000000002,9.752324509230265,326.50000000000006,0.9006095859227369
6,1.0,Amon-Ra St. Brown,DET,WR3,WR,5,3,12,4.57,1.49,6.0,-1.0,20.618750000000002,6.927550673458357,298.15000000000003,0.8427513902038692
7,1.0,Ja'Marr Chase,CIN,WR4,WR,12,2,12,5.67,1.95,7.0,-1.0,16.357499999999998,12.467957598045745,296.79,0.8399758294921351
8,1.0,Justin Jefferson,MIN,WR5,WR,6,3,21,6.80,2.18,8.0,-3.0,20.119999999999997,10.374305867007307,294.06,0.834404299534022
9,1.0,Jahmyr Gibbs,DET,RB4,RB,5,10,38,13.60,3.79,9.0,-9.0,16.00666666666667,8.601035375105113,249.87,0.7911390564420132
10,1.0,A.J. Brown,PHI,WR6,WR,5,5,19,9.25,1.73,11.0,-8.0,16.91764705882353,10.345967529315324,272.77,0.7909545292745971
11,1.0,Jonathan Taylor,IND,RB5,RB,14,8,45,14.66,5.04,10.0,-5.0,15.540000000000001,6.707077522206591,261.05000000000007,0.8139557981752388
12,1.0,Garrett Wilson,NYJ,WR7,WR,12,5,22,9.81,2.35,13.0,-9.0,12.423529411764708,5.59492285601025,263.93,0.7729133846483259
13,1.0,Saquon Barkley,PHI,RB6,RB,5,7,48,15.27,5.46,12.0,0.0,15.657142857142857,7.880522657961041,267.38,0.8268744006055889
