rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13,1,4,1.08,0.37,1.0,0.0,25.700000000000003,9.529183245868103,322.40000000000003,1.0
2,1.0,Saquon Barkley,NYG,RB2,RB,11,1,6,2.35,0.72,25.0,22.0,16.77692307692308,10.39223699419859,275.71000000000004,0.9036842984166523
3,1.0,Ezekiel Elliott,DAL,RB3,RB,10,2,10,3.07,1.14,8.0,6.0,17.79375,5.892986650813547,277.1,0.9065516966861072
4,1.0,Alvin Kamara,NO,RB4,RB,6,1,27,5.32,2.37,9.0,4.0,14.847959185000002,7.639551728580311,258.37,0.8679140207243146
5,1.0,Dalvin Cook,MIN,RB5,RB,7,2,22,6.43,2.59,2.0,-2.0,18.992857142857144,7.126922335624403,265.88,0.8834062228851828
6,1.0,Derrick Henry,TEN,RB6,RB,4,2,21,6.51,2.64,4.0,-2.0,19.04,10.14085090822546,254.96,0.860879612020112
7,1.0,Michael Thomas,NO,WR1,WR,6,2,17,7.06,2.15,32.0,9.0,18.75625,7.468419623097423,267.76,0.7056069014144452
8,1.0,Davante Adams,GB,WR2,WR,5,3,21,10.37,2.66,15.0,-17.0,14.100000000000001,6.130104551978034,240.75,0.6498886084230933
9,2.0,Clyde Edwards-Helaire,KC,RB7,RB,10,1,52,11.15,6.15,,,,,233.48000000000002,0.8165690258129947
10,2.0,Joe Mixon,CIN,RB8,RB,9,4,38,11.66,5.90,65.0,54.0,12.99375,7.689080460844023,223.88000000000002,0.7967654118656797
11,1.0,Julio Jones,ATL,WR3,WR,10,6,25,12.99,2.92,40.0,5.0,14.973333333333333,7.577265494949506,232.27,0.6323954161029651
12,1.0,Tyreek Hill,KC,WR4,WR,10,5,46,14.01,3.84,10.0,-38.0,13.274999999999999,8.665619109183979,218.97000000000003,0.6049591592801224
13,3.0,Josh Jacobs,LV,RB9,RB,6,2,299,14.27,8.41,11.0,0.0,13.969230769230771,7.404096232872789,221.54,0.7919382809660216
14,2.0,Miles Sanders,PHI,RB10,RB,9,6,52,17.12,6.87,16.0,8.0,11.98125,8.10047066533791,226.42000000000002,0.8020051180559068
15,2.0,Austin Ekeler,LAC,RB11,RB,6,3,44,18.13,7.26,58.0,44.0,16.4375,8.505831333071841,219.83000000000004,0.7884107622316563
16,1.0,Travis Kelce,KC,TE1,TE,10,8,43,18.21,4.09,29.0,8.0,12.8625,4.811219526620391,209.52,0.7201089228779479
17,2.0,Nick Chubb,CLE,RB12,RB,9,6,57,18.47,7.75,31.0,17.0,14.825,8.862317228956918,219.81,0.7883695047025993
18,4.0,Kenyan Drake,ARI,RB13,RB,8,6,88,18.59,8.85,92.0,78.0,13.371428571428572,10.731078415333846,222.54000000000002,0.794001157418867
19,2.0,Chris Godwin,TB,WR5,WR,13,6,83,18.69,7.16,,,16.50714285714286,9.882888419712303,208.67000000000002,0.5837115318158158
20,2.0,DeAndre Hopkins,ARI,WR6,WR,8,8,75,19.30,6.09,23.0,-30.0,14.364761905333335,6.996373210090991,210.81,0.5881260874249048
21,4.0,Aaron Jones,GB,RB14,RB,5,7,69,20.53,6.87,6.0,-6.0,18.14375,12.673172123295203,221.18,0.7911956454429974
22,1.0,George Kittle,SF,TE2,TE,11,2,45,20.70,4.58,12.0,-13.0,12.857142857142858,5.735411498309867,188.94000000000003,0.6776549254783913
23,2.0,Kenny Golladay,DET,WR7,WR,5,12,48,24.37,6.65,24.0,-40.0,13.46875,7.649812089195394,198.13,0.5619688140028261
24,1.0,Patrick Mahomes II,KC,QB1,QB,10,4,61,26.90,8.80,5.0,-19.0,18.92653102357143,7.185924917555971,329.661435107,0.6800508118934234
25,2.0,Allen Robinson II,CHI,WR8,WR,11,10,59,27.23,7.31,66.0,-15.0,12.868750000000002,6.8288328675794485,188.84,0.5428046917558932
26,2.0,Mike Evans,TB,WR9,WR,13,13,73,30.90,8.85,34.0,-32.0,15.169230769230769,12.876618643584491,196.79,0.5592045595560133
27,4.0,James Conner,PIT,RB15,RB,4,9,71,30.96,10.28,,,12.85,8.687698838651759,196.95999999999998,0.7412327777550838
28,4.0,Chris Carson,SEA,RB16,RB,6,14,74,30.99,8.12,13.0,-2.0,14.273333333333335,6.707295246506562,206.67000000000002,0.7612633081122119
29,3.0,D.J. Moore,CAR,WR10,WR,13,10,113,31.35,11.72,,,12.466666666666667,6.218367570198407,198.06,0.561824412651127
30,1.0,Lamar Jackson,BAL,QB2,QB,7,3,77,31.54,11.13,3.0,-16.0,27.72952410733334,8.116657606298002,351.785719263,0.7256904767148945
31,2.0,Adam Thielen,MIN,WR11,WR,7,15,79,32.45,9.81,18.0,-55.0,9.940000000000001,9.117772632489679,192.00000000000003,0.5493233813468844
32,2.0,JuJu Smith-Schuster,PIT,WR12,WR,4,11,80,35.04,11.60,63.0,-30.0,7.683333333333334,6.223976123659119,182.84,0.5304274330388213
33,5.0,Todd Gurley II,ATL,RB17,RB,10,10,130,35.42,12.69,19.0,3.0,13.460000000000004,5.738939673095421,200.04,0.7475864372298473
34,3.0,Odell Beckham Jr.,CLE,WR13,WR,9,13,138,37.54,15.17,52.0,-36.0,10.254464287500001,5.711561774197386,184.47,0.5337899216569592
35,2.0,A.J. Brown,TEN,WR14,WR,4,15,87,38.33,10.71,44.0,-43.0,11.943750000000001,9.060240522929472,184.60000000000002,0.5340580955958291
36,2.0,Amari Cooper,DAL,WR15,WR,10,16,79,38.55,9.44,43.0,-32.0,12.937500000000004,9.67842101446994,191.42000000000002,0.5481269130042342
37,3.0,Robert Woods,LAR,WR16,WR,9,17,100,39.65,13.12,69.0,-3.0,12.526666666666667,6.6956773546890105,195.23000000000002,0.5559864722895747
38,2.0,Calvin Ridley,ATL,WR17,WR,10,12,94,40.39,11.63,22.0,-55.0,12.576923076923077,6.978915131326387,189.85000000000002,0.544888196973267
39,6.0,Jonathan Taylor,IND,RB18,RB,7,15,145,42.31,15.38,7.0,-19.0,,,165.91000000000003,0.6771804638942369
40,3.0,Cooper Kupp,LAR,WR18,WR,9,16,128,42.95,13.47,87.0,11.0,13.968750000000002,8.771447524021715,192.70000000000002,0.5507673948638762
41,4.0,David Johnson,HOU,RB19,RB,8,14,89,40.90,11.58,,,9.5,9.387491677759293,196.59,0.7404695134675311
42,4.0,Le'Veon Bell,KC,RB20,RB,10,17,79,44.40,10.49,95.0,71.0,12.0,3.733248298351298,187.94,0.7226256321504191
43,1.0,Mark Andrews,BAL,TE3,TE,7,18,93,44.81,8.44,33.0,-6.0,11.680000000000001,7.447741747862713,161.1,0.6202244450311777
