rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13,1,4,1.06,0.33,1.0,0.0,27.3,4.657252408878008,342.02,1.0
2,1.0,Dalvin Cook,MIN,RB2,RB,7,1,8,2.28,0.81,2.0,0.0,22.128571428571426,10.363948502932104,308.62,0.9321240702381004
3,1.0,Alvin Kamara,NO,RB3,RB,6,2,14,3.69,1.54,4.0,0.0,22.42,12.389753831291403,288.9,0.8920488206900566
4,1.0,Derrick Henry,TEN,RB4,RB,13,2,13,4.58,2.09,3.0,0.0,20.100000000000005,11.406021801370246,288.94000000000005,0.8921301092286937
5,1.0,Ezekiel Elliott,DAL,RB5,RB,7,3,19,6.29,3.01,5.0,-3.0,13.046666666666669,6.764916498974341,250.04000000000002,0.8130770054042059
6,1.0,Aaron Jones,GB,RB6,RB,13,3,19,7.72,3.33,7.0,2.0,16.814285714285717,8.955690682710944,257.99,0.8292331024583106
7,1.0,Davante Adams,GB,WR1,WR,13,4,15,7.98,2.07,6.0,-3.0,21.49285714285714,11.121874792547294,286.2,0.8083487220734866
8,1.0,Tyreek Hill,KC,WR2,WR,12,5,18,10.51,2.41,11.0,0.0,19.026666666666664,10.993664842383849,282.51,0.800849854384223
9,1.0,Saquon Barkley,NYG,RB7,RB,10,3,27,10.96,4.93,12.0,6.0,,,253.88000000000002,0.8208807051133584
10,1.0,Nick Chubb,CLE,RB8,RB,13,4,27,11.84,5.30,8.0,-2.0,16.64166666666667,7.233062765502382,244.38000000000002,0.8015746771870695
11,1.0,Jonathan Taylor,IND,RB9,RB,14,3,33,12.01,5.75,13.0,1.0,15.653333333333334,8.987917815971986,243.41000000000003,0.7996034301251222
12,1.0,Stefon Diggs,BUF,WR3,WR,7,6,19,12.13,2.60,16.0,0.0,16.56875,7.467147491958804,271.41,0.778292284912454
13,1.0,Austin Ekeler,LAC,RB10,RB,7,4,31,12.22,4.97,10.0,3.0,13.830000000000002,6.712848377055252,252.06,0.8171820766053747
14,1.0,Travis Kelce,KC,TE1,TE,12,5,24,13.52,4.24,9.0,-4.0,17.21428571466667,5.774433447293725,258.43,0.7965415618364617
15,1.0,Calvin Ridley,ATL,WR4,WR,6,7,27,14.44,3.37,17.0,-6.0,15.633333333333336,8.211287237409133,252.95,0.7407776243314758
16,1.0,DeAndre Hopkins,ARI,WR5,WR,12,6,24,15.59,3.08,19.0,-4.5,14.39375,7.044853322343436,250.95,0.7367131973996255
17,1.0,Antonio Gibson,WAS,RB11,RB,9,5,44,17.26,5.30,15.0,-4.0,13.157142857142857,8.371169781845516,222.45,0.7570082358793313
18,1.0,Najee Harris,PIT,RB12,RB,7,4,51,19.07,6.24,14.0,-1.0,,,238.48,0.7895846177381112
19,2.0,D.K. Metcalf,SEA,WR6,WR,9,9,32,20.06,4.32,21.0,-15.0,14.3625,8.479141072852446,229.25,0.6926141651890501
20,2.0,Justin Jefferson,MIN,WR7,WR,7,11,33,21.15,3.96,24.0,-7.0,14.137500000000001,8.952606696748532,238.10999999999999,0.7106195764971467
21,2.0,Joe Mixon,CIN,RB13,RB,10,8,47,21.44,7.01,18.0,4.0,14.850000000000001,12.268781520591194,240.35000000000002,0.7933848569193912
22,2.0,A.J. Brown,TEN,WR8,WR,13,9,39,21.80,4.66,26.0,-7.0,14.75,7.14387849840687,233.82999999999998,0.7019217028629872
23,1.0,Darren Waller,LV,TE2,TE,8,16,51,25.17,7.24,23.0,-6.0,13.943749999999998,9.40574071157255,219.35000000000002,0.7171226595881072
24,2.0,Keenan Allen,LAC,WR9,WR,7,15,47,25.80,5.14,29.0,-12.0,13.792857142857143,6.903562545829205,216.65,0.6670082755183934
25,2.0,Clyde Edwards-Helaire,KC,RB14,RB,12,10,50,25.85,6.56,20.0,-2.5,12.153846153846157,5.224719352050626,215.91000000000003,0.7437175598121809
26,2.0,Allen Robinson II,CHI,WR10,WR,10,15,41,27.33,4.08,35.0,-9.0,13.24375,6.42224973561965,214.43,0.6624967616240395
27,2.0,Terry McLaurin,WAS,WR11,WR,9,19,45,28.59,3.99,31.0,-21.0,12.02,5.95833150183122,202.2,0.637642790935775
28,1.0,Patrick Mahomes II,KC,QB1,QB,12,18,62,30.82,11.92,22.0,-3.0,23.481905213333327,7.917934592653833,360.165721518,0.7319336292335231
29,3.0,CeeDee Lamb,DAL,WR12,WR,7,15,72,31.38,7.10,32.0,-18.0,10.793749999999998,5.978234828665286,202.46,0.6381711664369155
30,2.0,Chris Carson,SEA,RB15,RB,9,18,54,31.40,6.40,25.0,8.0,14.108333333333336,6.02984370871378,223.10000000000002,0.7583291746321825
31,2.0,David Montgomery,CHI,RB16,RB,10,18,74,32.27,8.73,27.0,6.0,15.72,7.990458595814673,218.46000000000004,0.74889970415029
32,2.0,D'Andre Swift,DET,RB17,RB,9,9,64,34.61,9.61,36.0,18.0,12.83076923076923,6.971176923038726,222.67000000000002,0.7574553228418348
33,2.0,James Robinson,JAX,RB18,RB,7,17,84,36.22,10.60,28.0,1.0,15.992857142857146,6.77648244192474,204.26,0.7200422729341529
