rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
145,7.0,Derek Carr,NO,QB19,QB,11,125,202,153.22,15.93,153.0,-39.0,18.472,7.750383584977308,305.476,0.5594586773882796
146,5.0,Dalton Kincaid,BUF,TE15,TE,13,71,294,148.38,32.26,158.0,-4.0,,,120.27,0.5895027172353672
147,,Gerald Everett,LAC,TE16,TE,5,97,244,154.99,23.07,169.0,13.0,8.59375,4.697441679609587,124.95000000000002,0.5980738213816084
148,7.0,Matthew Stafford,LAR,QB20,QB,10,126,197,156.38,14.98,167.0,-41.0,14.597777777777777,6.127686712328272,298.126,0.5459976484406572
149,8.0,Ezekiel Elliott,NE,RB50,RB,11,88,323,155.71,42.25,,,12.386666666666665,5.333166664062418,110.01,0.6369185049161753
150,,Greg Dulcich,DEN,TE17,TE,9,78,273,158.08,35.17,138.0,-16.5,8.610000000000001,4.940411588791633,120.68,0.5902536045644182
151,,Tank Bigsby,JAX,RB51,RB,9,89,309,155.85,40.91,146.0,8.0,,,96.6,0.6123589949586768
152,7.0,Donovan Peoples-Jones,CLE,WR64,WR,5,91,224,157.01,25.11,174.0,-4.0,9.41764705882353,5.531188309725774,124.91000000000001,0.5766338514659397
153,,Kenny Pickett,PIT,QB21,QB,6,119,197,161.63,16.55,172.0,-56.0,12.68153846153846,4.737879001821115,288.856,0.5290202690740643
154,,Jordan Love,GB,QB22,QB,6,112,241,163.06,20.34,185.0,-17.5,,,301.668,0.5524845823906543
155,7.0,K.J. Osborn,MIN,WR65,WR,13,77,233,156.31,30.83,182.0,16.0,9.094117647058825,8.275601986278348,131.57000000000002,0.5888311919817443
156,,Alec Pierce,IND,WR66,WR,11,109,247,166.21,28.59,178.0,-10.0,6.95625,5.790102906396973,120.19,0.5679894900193033
157,,Juwan Johnson,NO,TE18,TE,11,105,352,165.91,34.62,,,,,113.76,0.5775800915960446
158,,Curtis Samuel,WAS,WR67,WR,14,109,256,168.06,27.17,200.0,34.0,10.311764705882355,6.559809672633533,133.91000000000003,0.5931167440548649
159,,Van Jefferson,LAR,WR68,WR,10,103,271,168.99,34.59,,,7.172727272727273,4.471038114149981,126.65000000000002,0.5798205440331319
160,,Isaiah Hodgins,NYG,WR69,WR,13,89,265,168.50,32.90,,,,,123.72000000000001,0.5744544467791818
161,,Brock Purdy,SF,QB23,QB,9,116,346,175.14,43.55,183.0,-34.5,15.139999999999999,11.097292462578428,292.694,0.5360493070469861
162,,Jonathan Mingo,CAR,WR70,WR,7,73,293,168.29,43.98,,,,,135.11,0.5953144630667215
163,,Sam LaPorta,DET,TE19,TE,9,116,351,170.81,43.12,177.0,4.0,,,114.73,0.5793565811306287
164,,Hunter Renfrow,LV,WR71,WR,13,91,247,170.72,30.92,181.0,30.0,7.6,5.484726266845249,141.35,0.6067426019283763
165,,Rashid Shaheed,NO,WR72,WR,11,119,242,168.89,25.57,,,8.291666666666666,5.3333357007570505,107.78000000000002,0.5452614125716854
166,,Kendre Miller,NO,RB52,RB,11,114,280,176.95,37.08,,,,,66.49,0.5572145620861726
167,,D'Onta Foreman,CHI,RB53,RB,13,113,272,185.73,36.81,150.0,7.0,7.529411764705882,9.18400543784426,94.89000000000001,0.6092272453667811
168,,Marvin Mims Jr.,DEN,WR73,WR,9,79,301,177.21,50.35,,,,,90.52,0.5136508874511465
169,1.0,San Francisco 49ers,SF,DST1,DST,9,155,210,161.63,7.89,,,,,,
170,,Jayden Reed,GB,WR74,WR,6,106,316,179.59,44.41,,,,,129.07,0.5842526107070428
171,,Roschon Johnson,CHI,RB54,RB,13,96,350,182.55,46.75,175.0,1.0,,,78.29,0.5788254657027635
172,,Marquez Valdes-Scantling,KC,WR75,WR,10,109,270,181.22,31.04,168.0,8.5,,,136.36,0.5976037537040723
172,,Marquez Valdes-Scantling,KC,WR75,WR,10,109,270,181.22,31.04,198.0,35.5,,,136.36,0.5976037537040723
173,,Chuba Hubbard,CAR,RB55,RB,7,129,272,189.84,31.37,189.0,58.0,5.713333333333334,6.293745950961008,106.39999999999999,0.6303070335555064
174,1.0,Dallas Cowboys,DAL,DST2,DST,7,156,201,167.75,8.45,,,,,,
175,,DeVante Parker,NE,WR76,WR,11,123,267,188.52,26.19,,,7.915384615384616,8.104406841738033,135.02000000000004,0.5951496341408323
176,,Darius Slayton,NYG,WR77,WR,13,119,315,185.89,32.32,,,7.9,6.424432530063129,103.19000000000001,0.5368551373513335
177,,Parris Campbell,NYG,WR78,WR,13,119,287,189.41,29.36,,,8.711764705882354,6.633050048143499,102.7,0.5359577354214919
178,,Bryce Young,CAR,QB24,QB,7,146,312,191.27,33.29,,,,,280.83,0.5143211917497628
179,,Rashee Rice,KC,WR79,WR,10,110,313,182.69,43.66,171.0,-53.0,,,101.34999999999998,0.5334853015331532
180,,Robert Woods,HOU,WR80,WR,7,89,306,190.23,35.97,,,6.747058823529413,4.653374803174952,123.53,0.5741064746023045
181,1.0,Philadelphia Eagles,PHI,DST3,DST,10,155,230,174.56,12.15,,,,,,
182,,Irv Smith Jr.,CIN,TE20,TE,7,138,299,193.28,37.71,,,6.7749999999999995,4.2764304206729635,109.03999999999999,0.5689357301494082
183,1.0,Justin Tucker,BAL,K1,K,13,173,253,174.72,8.34,,,,,,
184,,John Metchie III,HOU,WR81,WR,7,107,311,193.42,31.97,195.0,-20.0,,,106.25000000000001,0.5424593208315681
185,1.0,Buffalo Bills,BUF,DST4,DST,13,158,213,177.64,11.40,,,,,,
186,,Ryan Tannehill,TEN,QB25,QB,7,146,318,198.54,36.75,,,15.686666666666666,7.360466059025108,260.562,0.4772017176395033
187,,Sam Howell,WAS,QB26,QB,14,116,320,199.07,46.12,,,,,255.202,0.46738523938654336
188,,Hayden Hurst,CAR,TE21,TE,7,127,288,199.42,36.60,,,8.107692307692309,4.2121770971121215,105.69000000000001,0.5628004312413084
189,,Kyler Murray,ARI,QB27,QB,14,130,358,201.59,49.16,173.0,-234.0,19.956363636363637,8.969864294098626,236.79399999999998,0.43367222974466163
190,1.0,Tyler Bass,BUF,K2,K,13,176,233,182.84,10.18,,,,,,
191,,Chase Claypool,CHI,WR82,WR,13,125,283,199.02,24.42,197.0,-20.0,7.069333333333332,6.010879976778616,105.78000000000002,0.5415985475519243
192,2.0,New York Jets,NYJ,DST5,DST,7,158,330,188.84,21.34,,,,,,
193,3.0,New England Patriots,NE,DST6,DST,11,158,266,188.09,12.92,,,,,,
194,,Jerome Ford,CLE,RB56,RB,5,123,329,209.04,42.22,190.0,-6.0,,,68.29,0.5605111406039577
195,,Zamir White,LV,RB57,RB,13,118,393,209.63,43.78,156.0,-71.0,,,49.6,0.5262816669942897
196,1.0,Harrison Butker,KC,K3,K,10,173,224,190.84,10.64,,,,,,
197,,Jalin Hyatt,NYG,WR83,WR,13,87,330,196.29,38.52,179.0,-85.0,,,82.08,0.49819359706775446
