rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Justin Jefferson,MIN,WR1,WR,13,1,5,1.21,0.69,1.0,-2.0,21.568235294117653,11.9590155506704,317.83,0.9340244648318042
2,1.0,Ja'Marr Chase,CIN,WR2,WR,7,1,8,2.44,1.23,3.0,-1.0,20.03333333333333,8.624946200974067,309.02000000000004,0.9178593272171254
3,1.0,Christian McCaffrey,SF,RB1,RB,9,1,15,3.62,1.97,2.0,1.0,21.021176470588234,8.666061592754334,310.41999999999996,1.0
4,1.0,Tyreek Hill,MIA,WR3,WR,10,1,12,4.54,1.68,4.0,-5.0,20.011764705882353,9.839898522910511,302.82000000000005,0.9064831804281345
5,1.0,Travis Kelce,KC,TE1,TE,10,4,30,6.38,2.17,6.0,-2.0,18.429411764705883,8.036694337994504,287.61,0.9071987767584097
6,1.0,Stefon Diggs,BUF,WR4,WR,13,2,14,7.55,2.67,8.0,-9.0,19.725,10.065088176464227,276.3,0.8578226299694189
7,1.0,Austin Ekeler,LAC,RB2,RB,5,3,25,7.56,3.03,5.0,3.0,21.629411764705882,8.961986715140396,308.62,0.9966972477064221
8,1.0,CeeDee Lamb,DAL,WR5,WR,7,4,24,9.98,2.81,11.0,-3.0,17.741176470588236,8.663000261422814,285.46000000000004,0.8746299694189602
9,1.0,Amon-Ra St. Brown,DET,WR6,WR,9,4,23,10.62,3.08,14.0,-7.0,16.724999999999998,10.081170566953029,262.54,0.8325749235474006
10,1.0,A.J. Brown,PHI,WR7,WR,10,5,27,12.04,3.53,13.0,-14.0,17.505882352941175,9.433349788664371,250.74999999999997,0.8109418960244646
11,1.0,Cooper Kupp,LAR,WR8,WR,10,2,47,12.18,9.06,7.0,-6.0,22.155555555555555,8.983472478823419,287.22,0.8778593272171253
12,2.0,Saquon Barkley,NYG,RB3,RB,13,3,49,12.43,4.66,10.0,5.0,17.5625,7.131888482956904,265.55,0.9176697247706422
13,1.0,Davante Adams,LV,WR9,WR,13,5,27,12.52,3.84,16.0,-2.0,19.676470588235297,12.013717649616455,274.51000000000005,0.8545382262996942
14,1.0,Garrett Wilson,NYJ,WR10,WR,7,7,35,13.86,3.76,17.0,-15.0,12.570588235294121,8.592275943098716,243.58999999999997,0.7978042813455657
15,2.0,Bijan Robinson,ATL,RB4,RB,11,2,38,14.18,5.15,9.0,-1.0,,,258.42,0.9045871559633027
16,2.0,Tony Pollard,DAL,RB5,RB,7,4,38,16.45,4.88,15.0,9.0,15.549999999999999,10.43922091601348,265.46000000000004,0.9175045871559634
17,2.0,Nick Chubb,CLE,RB6,RB,5,6,58,18.13,6.12,12.0,1.0,16.376470588235293,7.107700877548652,256.28000000000003,0.9006605504587156
18,1.0,Jaylen Waddle,MIA,WR11,WR,10,11,34,19.05,5.30,20.0,-13.0,15.188235294117646,9.929997630471846,241.8,0.794519877675841
19,1.0,Chris Olave,NO,WR12,WR,11,12,47,20.02,5.91,21.0,-16.0,12.946666666666665,5.110055446535456,234.72,0.7815290519877675
20,2.0,Josh Jacobs,LV,RB7,RB,13,8,52,21.86,6.00,22.0,10.0,19.135294117647057,12.086094343111354,255.81,0.8997981651376147
21,2.0,Derrick Henry,TEN,RB8,RB,7,10,38,22.04,3.70,18.0,11.0,18.672500000000003,8.68475100391485,260.2,0.9078532110091743
22,1.0,DeVonta Smith,PHI,WR13,WR,10,13,45,24.14,6.84,23.0,-21.0,14.917647058823531,8.529378296080381,226.99,0.7673455657492353
23,1.0,Keenan Allen,LAC,WR14,WR,5,12,57,26.81,8.25,30.0,-15.5,16.3,7.562480486659858,226.56,0.7665565749235473
24,1.0,Patrick Mahomes II,KC,QB1,QB,10,22,46,26.98,4.66,19.0,-1.0,29.435294117647057,7.740169666783038,461.62000000000006,0.8479266055045873
