rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13,1,15,1.65,1.63,2.0,0.5,18.071428571428573,10.212527321173456,339.35,0.9965744752853422
2,1.0,Jonathan Taylor,IND,RB2,RB,14,1,4,1.93,0.62,1.0,0.0,21.711764705882352,11.14864803198919,341.28000000000003,1.0
3,1.0,Austin Ekeler,LAC,RB3,RB,8,2,10,3.78,1.67,3.0,-1.5,20.987499999999997,8.381795750315083,320.38000000000005,0.9629049396184713
4,1.0,Dalvin Cook,MIN,RB4,RB,7,1,19,6.49,3.52,7.0,-5.0,15.484615384615383,8.282697442444515,267.87,0.8697058190139696
5,1.0,Justin Jefferson,MIN,WR1,WR,7,2,11,7.32,2.46,5.0,-1.0,19.3764705882353,8.29928381034809,310.69000000000005,0.904901754294626
6,1.0,Cooper Kupp,LAR,WR2,WR,7,2,13,8.20,2.47,6.0,3.0,25.73529411764706,7.604270278638722,359.74,0.991959778778549
7,1.0,Najee Harris,PIT,RB5,RB,9,2,25,9.57,5.41,8.0,-1.0,17.68823529411765,7.551480182134923,276.21,0.8845083455011442
8,1.0,Derrick Henry,TEN,RB6,RB,6,2,31,10.55,6.49,4.0,-1.0,24.0375,13.7901556502145,294.33000000000004,0.9166692303869484
9,1.0,D'Andre Swift,DET,RB7,RB,6,2,32,10.65,5.80,13.0,-3.0,15.915384615384616,8.134376246712279,258.82000000000005,0.8536431254037861
10,1.0,Joe Mixon,CIN,RB8,RB,10,2,21,10.92,4.45,10.0,-1.0,17.868750000000006,9.129199946691203,271.66999999999996,0.8764503754469748
11,1.0,Travis Kelce,KC,TE1,TE,8,9,30,11.24,4.30,17.0,2.0,16.3625,9.289985647638716,273.43,0.8538620276739801
12,1.0,Ja'Marr Chase,CIN,WR3,WR,10,4,24,11.34,2.84,9.0,1.0,17.800000000000004,12.930003866975447,301.48999999999995,0.8885728281936658
13,1.0,Stefon Diggs,BUF,WR4,WR,7,7,23,13.19,2.44,14.0,-3.0,16.735294117647058,5.702514925064925,280.12,0.8506435726743705
14,1.0,Alvin Kamara,NO,RB9,RB,14,3,32,13.20,5.56,11.0,4.0,18.053846153846152,8.517101950841356,281.06,0.8931165293695852
15,1.0,Davante Adams,LV,WR5,WR,6,6,22,13.66,2.46,12.0,2.0,21.51875,9.684435536811977,294.76,0.8766278637741591
16,1.0,Saquon Barkley,NYG,RB10,RB,9,3,32,14.47,7.14,16.0,-4.0,11.276923076923076,7.696011287906857,252.58,0.8425678537874827
17,1.0,Aaron Jones,GB,RB11,RB,14,5,32,16.54,5.94,15.0,2.0,15.133333333333333,9.661607871708863,264.91,0.8644521645293128
18,2.0,CeeDee Lamb,DAL,WR6,WR,9,11,34,17.56,3.93,18.0,-7.0,14.549999999999999,9.278433775876904,265.0300000000001,0.8238605841022524
19,1.0,Mark Andrews,BAL,TE2,TE,10,9,30,19.53,4.35,26.0,8.0,17.41764705882353,9.496396375344021,268.45000000000005,0.8450231089801995
20,1.0,Leonard Fournette,TB,RB12,RB,11,7,42,20.49,6.68,23.0,9.0,18.185714285714283,9.970792510964378,262.46999999999997,0.8601214493460146
21,2.0,Tyreek Hill,MIA,WR7,WR,11,14,37,23.42,4.02,24.0,0.0,17.323529411764703,13.221692847918755,265.62,0.8249077652326399
22,1.0,Javonte Williams,DEN,RB13,RB,9,7,48,24.38,6.60,22.0,-0.5,11.935294117647059,6.462385509282795,244.32000000000005,0.8279073179620555
23,2.0,Mike Evans,TB,WR8,WR,11,13,39,24.64,4.76,27.0,1.0,16.40625,9.06689720907875,255.51999999999998,0.8069814441870207
