rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13,1,3,1.05,0.28,1.0,0.0,30.133333333333336,6.310573138260371,385.62000000000006,1.0
2,1.0,Dalvin Cook,MIN,RB2,RB,7,1,7,2.58,0.81,2.0,0.0,23.342857142857138,10.404637596595256,332.96999999999997,0.9159794839932803
3,1.0,Alvin Kamara,NO,RB3,RB,6,2,10,3.01,1.37,3.0,0.0,25.119999999999997,13.193245024849434,327.9,0.9078886194889296
4,1.0,Davante Adams,GB,WR1,WR,13,4,12,6.03,2.04,6.0,0.0,25.52857142857143,12.518873663480985,347.84999999999997,0.8513536372718092
5,1.0,Ezekiel Elliott,DAL,RB4,RB,7,2,22,7.02,3.75,4.0,-8.0,14.38,7.107661861882368,272.99,0.8202615248274109
6,1.0,Derrick Henry,TEN,RB5,RB,13,2,23,7.75,5.84,5.0,1.0,20.506250000000005,11.541430803847502,298.53999999999996,0.8610350136018017
7,1.0,Austin Ekeler,LAC,RB6,RB,7,3,28,7.98,3.90,7.0,0.0,16.43,8.271779332969015,291.56,0.8498961113847667
8,1.0,Aaron Jones,GB,RB7,RB,13,3,23,8.67,4.39,8.0,0.0,18.35,9.178884631420264,282.24,0.8350229640118773
9,1.0,Tyreek Hill,KC,WR2,WR,12,8,25,10.25,2.46,10.0,0.0,21.860000000000003,12.143828532574538,333.71000000000004,0.8287885832103657
10,1.0,Stefon Diggs,BUF,WR3,WR,7,5,17,10.91,2.18,14.0,3.5,20.537500000000005,8.017387354992895,328.96000000000004,0.8212083847102343
11,1.0,Saquon Barkley,NYG,RB8,RB,10,1,34,12.00,6.38,13.0,4.0,,,280.08000000000004,0.8315759684833965
12,1.0,DeAndre Hopkins,ARI,WR4,WR,12,5,24,12.69,2.53,17.0,0.0,17.8,8.078531219638052,308.9,0.789196009570732
13,1.0,Calvin Ridley,ATL,WR5,WR,6,5,25,13.23,2.86,18.0,-2.0,18.56666666666667,9.310720907079313,302.95000000000005,0.779700813554778
14,1.0,Travis Kelce,KC,TE1,TE,12,6,18,16.29,2.25,9.0,4.0,20.65066666666667,6.587645868991297,314.08,0.8524334830932316
15,2.0,Jonathan Taylor,IND,RB9,RB,14,4,40,17.33,8.02,15.0,0.5,16.78666666666667,8.947774397394399,261.91,0.8025797144313149
16,1.0,Justin Jefferson,MIN,WR6,WR,7,11,33,18.86,4.84,23.0,-2.0,16.825,10.00383259889262,284.85999999999996,0.7508322260037512
17,2.0,Nick Chubb,CLE,RB10,RB,13,4,44,19.46,7.69,11.0,-5.0,17.225,7.6027656451153,257.58,0.7956697650617214
18,2.0,Antonio Gibson,WAS,RB11,RB,9,3,42,19.62,6.49,16.0,-6.0,14.299999999999999,8.770931009261831,243.54999999999998,0.773280252439228
19,1.0,D.K. Metcalf,SEA,WR7,WR,9,11,36,20.01,5.59,19.0,-15.0,16.89375,9.605239455630453,271.5,0.7295119203275923
20,1.0,Darren Waller,LV,TE2,TE,8,16,46,20.18,4.05,22.0,3.0,17.1625,10.734671241666726,270.34999999999997,0.7826477819541272
21,1.0,A.J. Brown,TEN,WR8,WR,13,5,39,21.52,6.37,25.0,-7.0,17.107142857142858,8.100661348662484,276.53,0.7375389515814156
22,1.0,Keenan Allen,LAC,WR9,WR,7,11,46,21.84,5.87,27.0,-9.0,17.150000000000002,8.641380765737704,269.15,0.7257617168591062
23,2.0,Najee Harris,PIT,RB12,RB,7,4,65,22.50,7.94,12.0,-3.0,,,260.43,0.8002178841618003
24,2.0,Joe Mixon,CIN,RB13,RB,10,8,57,24.01,8.21,20.0,7.0,16.433333333333337,13.177809630840272,263.40000000000003,0.8049575030134614
25,1.0,Allen Robinson II,CHI,WR10,WR,10,13,36,24.76,4.65,34.0,-4.0,16.431250000000002,7.4411216672398695,263.22999999999996,0.7163143957810476
26,1.0,Patrick Mahomes II,KC,QB1,QB,12,19,56,27.08,11.74,24.0,-6.0,29.69333333333333,9.386709956610133,463.824,0.7401848398157773
27,1.0,George Kittle,SF,TE3,TE,6,18,53,27.45,8.13,31.0,4.0,15.6375,11.27423579925233,248.57999999999998,0.7479065353545777
28,1.0,Terry McLaurin,WAS,WR11,WR,9,16,41,27.90,4.22,30.0,-14.0,14.853333333333333,6.874161420718547,245.8,0.6884990568637235
29,2.0,Clyde Edwards-Helaire,KC,RB14,RB,12,8,57,28.41,8.54,21.0,-2.0,13.538461538461538,5.2178441367961,239.06000000000003,0.766114970067525
30,1.0,CeeDee Lamb,DAL,WR12,WR,7,12,62,30.95,6.84,32.0,-14.0,12.981249999999998,6.349091142307954,244.46,0.6863606429710548
31,2.0,D'Andre Swift,DET,RB15,RB,9,8,66,33.52,10.77,36.0,18.0,14.369230769230768,7.224770424886017,249.87,0.7833659060225608
32,2.0,Robert Woods,LAR,WR13,WR,11,20,50,33.81,5.60,37.0,-3.0,15.19375,7.542189668789827,251.53,0.6976431700017767
33,2.0,Amari Cooper,DAL,WR14,WR,7,24,54,35.21,5.03,41.0,0.0,14.674999999999999,7.673634514795883,251.17000000000002,0.6970686707470299
34,2.0,Chris Carson,SEA,RB16,RB,9,21,59,36.90,6.97,29.0,8.0,15.56666666666667,6.3994791454721796,243.65000000000003,0.7734398355655466
