rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Jonathan Taylor,IND,RB1,RB,14,1,4,1.42,0.62,1.0,-2.0,20.77058823529412,11.052701293455502,322.28000000000003,0.8826642998053476
2,1.0,Christian McCaffrey,CAR,RB2,RB,13,1,16,2.29,1.75,2.0,-9.0,15.571428571428571,8.494844374818232,296.25,0.8139537781044164
3,1.0,Austin Ekeler,LAC,RB3,RB,8,2,18,5.02,2.58,,,19.05,8.069200703911138,285.33000000000004,0.7851286187892352
4,1.0,Justin Jefferson,MIN,WR1,WR,7,1,11,5.79,2.64,4.0,-17.0,16.235294120588236,7.429114190814647,259.84000000000003,0.7291324912306839
5,1.0,Dalvin Cook,MIN,RB4,RB,7,1,15,6.14,2.51,5.0,-22.0,14.407692307692306,8.34680193631684,247.92000000000002,0.6863786911353035
6,1.0,Cooper Kupp,LAR,WR2,WR,7,1,15,6.75,2.89,6.0,-2.0,21.47058823529412,7.147006777830349,298.7900000000001,0.8319475054547052
7,1.0,Derrick Henry,TEN,RB5,RB,6,2,27,7.12,4.07,3.0,-11.0,22.905357143750003,13.201059983216677,282.63,0.7780015189585584
8,1.0,Ja'Marr Chase,CIN,WR3,WR,10,4,21,9.77,3.57,8.0,-15.0,15.535294117647064,11.928481733673747,256.29,0.719761674786646
9,1.0,Joe Mixon,CIN,RB6,RB,10,2,21,9.93,3.74,9.0,-17.0,16.681250000000002,8.395968774755339,249.92,0.6916580243432122
10,1.0,Najee Harris,PIT,RB7,RB,9,2,29,11.31,5.49,7.0,-21.0,15.511764705882353,6.986583781876267,247.45999999999998,0.6851644444974845
11,1.0,Stefon Diggs,BUF,WR4,WR,7,6,21,13.16,3.56,14.0,-20.0,13.76470588235294,5.0460307639359705,229.82000000000002,0.6498896997799749
