rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,SF,RB1,RB,9,1,8,1.89,2.08,1.0,0.0,24.26875,9.794264903503478,352.38000000000005,1.0
2,1.0,CeeDee Lamb,DAL,WR1,WR,7,2,7,2.72,1.06,4.0,2.0,23.423529411764708,10.722553882574145,333.61999999999995,0.9173167654644265
3,1.0,Tyreek Hill,MIA,WR2,WR,6,2,7,3.00,1.15,3.0,0.0,23.462500000000002,9.752324509230265,326.4700000000001,0.9027048696782387
4,1.0,Ja'Marr Chase,CIN,WR3,WR,12,2,8,4.62,1.53,7.0,-1.0,16.357499999999998,12.467957598045745,298.18,0.8448908092878522
5,1.0,Amon-Ra St. Brown,DET,WR4,WR,5,2,10,4.98,1.45,6.0,-1.0,20.618750000000002,6.927550673458357,298.43000000000006,0.845401714734922
6,1.0,Breece Hall,NYJ,RB2,RB,12,1,11,6.28,2.06,2.0,-2.0,16.852941176470587,11.255394131651878,302.65,0.898370688468932
7,1.0,Justin Jefferson,MIN,WR5,WR,6,3,10,6.62,1.70,8.0,-3.0,20.119999999999997,10.374305867007307,292.62,0.8335282721450263
8,1.0,Bijan Robinson,ATL,RB3,RB,12,1,11,6.75,1.90,5.0,0.0,14.25294117647059,8.080773295843878,298.22999999999996,0.889337880164743
9,1.0,A.J. Brown,PHI,WR6,WR,5,6,12,9.10,1.28,11.0,-6.0,16.91764705882353,10.345967529315324,275.03999999999996,0.797601401107098
10,1.0,Garrett Wilson,NYJ,WR7,WR,12,4,20,10.25,2.01,13.0,-10.0,12.423529411764708,5.59492285601025,263.75,0.7745289111174388
11,1.0,Jahmyr Gibbs,DET,RB4,RB,5,8,33,13.39,3.48,10.0,-9.0,16.00666666666667,8.601035375105113,249.85000000000002,0.7904674580478506
12,2.0,Puka Nacua,LAR,WR8,WR,6,9,31,14.70,4.89,15.0,-3.0,17.5,8.877429245001053,273.51000000000005,0.7944746597710327
13,2.0,Jonathan Taylor,IND,RB5,RB,14,8,45,14.90,5.69,9.0,-6.0,15.540000000000001,6.707077522206591,260.83000000000004,0.8129064252831437
14,2.0,Marvin Harrison Jr.,ARI,WR9,WR,11,9,39,16.47,5.71,14.0,-27.0,,,245.72000000000003,0.7376824102747855
15,2.0,Saquon Barkley,PHI,RB6,RB,5,8,48,16.96,7.27,12.0,0.0,15.657142857142857,7.880522657961041,267.17,0.8258629874208266
16,2.0,Davante Adams,LV,WR10,WR,10,9,43,17.34,5.73,21.0,-21.0,15.611764705882354,11.1086611678085,244.7,0.7355979160507417
17,2.0,Drake London,ATL,WR11,WR,12,12,36,19.68,4.91,22.0,-22.0,10.77375,7.238385524410813,243.67000000000002,0.7334929856088154
18,2.0,Chris Olave,NO,WR12,WR,12,12,39,20.89,5.13,27.0,-11.0,14.331250000000002,5.594964253683844,248.8,0.7439767653826818
19,1.0,Josh Allen,BUF,QB1,QB,12,18,41,22.01,5.27,28.0,22.0,26.802352941176473,8.96984638205399,420.27000000000004,0.8535595123100964
20,2.0,Travis Etienne Jr.,JAX,RB7,RB,12,11,49,25.73,10.08,18.0,-8.0,16.376470588235293,8.11846116974799,239.5,0.7693159725391726
21,3.0,Jaylen Waddle,MIA,WR13,WR,6,14,44,26.64,6.88,30.0,-27.0,14.185714285714287,6.426729894966581,229.29,0.7041057042933769
22,3.0,Michael Pittman Jr.,IND,WR14,WR,14,9,59,27.17,9.37,46.0,-7.5,15.2625,6.366042726843732,231.96,0.7095621744680793
23,1.0,Jalen Hurts,PHI,QB2,QB,5,18,51,27.31,7.05,39.0,30.0,24.048235294117646,9.338816999019548,413.13599999999997,0.8389803144725205
24,3.0,Mike Evans,TB,WR15,WR,11,19,44,27.92,5.68,36.0,-13.0,16.61764705882353,8.635626446161684,237.51000000000002,0.7209042753930226
25,3.0,Cooper Kupp,LAR,WR16,WR,6,12,59,28.29,9.42,19.0,-31.0,13.533333333333333,9.12113762176361,237.39000000000001,0.7206590407784292
26,3.0,Nico Collins,HOU,WR17,WR,14,12,61,28.75,8.08,34.0,-12.0,17.160000000000004,11.158072030085279,238.07000000000002,0.7220487035944583
27,3.0,Brandon Aiyuk,SF,WR18,WR,9,12,50,28.80,7.88,51.0,-9.0,15.512500000000001,7.569048817387823,228.0,0.7014694321864983
28,1.0,Sam LaPorta,DET,TE1,TE,5,23,73,29.24,9.69,31.0,17.0,13.841176470588236,7.791666928803603,221.46,0.8202958210659259
29,2.0,Kyren Williams,LAR,RB8,RB,6,11,55,30.77,12.44,16.0,-5.0,20.833333333333332,8.946338340179725,247.75,0.7861758522924666
30,1.0,Patrick Mahomes II,KC,QB3,QB,6,18,55,31.60,7.19,33.0,20.0,21.451249999999998,8.15636183192809,405.188,0.8227376084992866
31,1.0,Travis Kelce,KC,TE2,TE,6,24,78,32.06,11.97,26.0,16.0,14.560000000000002,8.000696398260772,230.35,0.8384636187637178
32,1.0,Lamar Jackson,BAL,QB4,QB,14,18,54,32.44,6.48,47.0,30.5,23.32625,11.340710662623104,393.694,0.7992482196648186
33,2.0,Isiah Pacheco,KC,RB9,RB,6,11,56,32.82,11.28,20.0,-8.0,15.207142857142857,7.554974345597565,236.54999999999998,0.7632872882637524
34,3.0,Deebo Samuel Sr.,SF,WR19,WR,9,12,59,33.31,8.43,24.0,-31.0,16.18,10.73360543872774,231.91,0.7094599933786654
35,3.0,DJ Moore,CHI,WR20,WR,7,21,59,34.57,7.75,45.0,-19.0,16.794117647058822,11.760392775553635,223.00999999999996,0.6912717594629906
36,2.0,De'Von Achane,MIA,RB10,RB,6,11,66,34.76,13.78,23.0,-11.0,17.245454545454542,14.617069722510298,231.45000000000002,0.7528648171435344
37,3.0,DeVonta Smith,PHI,WR21,WR,5,20,59,35.26,6.27,40.0,-12.0,14.1625,7.090545348090888,234.75,0.7152638792573751
38,3.0,DK Metcalf,SEA,WR22,WR,10,23,59,35.82,7.51,43.0,-15.0,14.087499999999999,7.747332874394043,228.78,0.7030634571813551
