rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Jonathan Taylor,IND,RB1,RB,14,1,15,1.84,1.72,1.0,0.0,21.711764705882352,11.14864803198919,337.67,1.0
2,1.0,Christian McCaffrey,CAR,RB2,RB,13,1,12,2.13,1.49,2.0,0.0,18.071428571428573,10.212527321173456,337.26,0.9992878911388182
3,1.0,Austin Ekeler,LAC,RB3,RB,8,2,15,3.64,1.97,5.0,2.0,20.987499999999997,8.381795750315083,325.9200000000001,0.9795920021490635
4,1.0,Dalvin Cook,MIN,RB4,RB,7,2,25,5.77,3.37,8.0,0.0,15.484615384615383,8.282697442444515,269.38,0.8813904533412379
5,1.0,Najee Harris,PIT,RB5,RB,9,1,25,7.47,5.13,7.0,1.0,17.68823529411765,7.551480182134923,276.95000000000005,0.8945384145098838
6,1.0,Cooper Kupp,LAR,WR1,WR,7,2,14,7.51,2.49,3.0,-1.0,25.73529411764706,7.604270278638722,358.26,0.9513797543398114
7,1.0,Derrick Henry,TEN,RB6,RB,6,2,27,7.96,4.34,4.0,-1.0,24.0375,13.7901556502145,298.94000000000005,0.9327317653815513
8,1.0,Justin Jefferson,MIN,WR2,WR,7,3,13,8.38,2.32,6.0,-4.0,19.3764705882353,8.29928381034809,311.22,0.8696782889008282
9,1.0,Travis Kelce,KC,TE1,TE,8,9,19,10.22,3.06,15.0,0.0,16.3625,9.289985647638716,278.51,0.8468560683253977
10,1.0,Joe Mixon,CIN,RB7,RB,10,3,25,10.49,5.28,10.0,3.0,17.868750000000006,9.129199946691203,275.28,0.8916378735387293
11,1.0,Ja'Marr Chase,CIN,WR3,WR,10,4,20,11.30,2.33,9.0,-5.0,17.800000000000004,12.930003866975447,301.4,0.852622413250088
12,1.0,D'Andre Swift,DET,RB8,RB,6,3,31,11.43,5.12,12.0,-1.0,15.915384615384616,8.134376246712279,254.92,0.856275589602979
13,1.0,Stefon Diggs,BUF,WR4,WR,7,8,23,13.36,2.27,13.0,-11.0,16.735294117647058,5.702514925064925,276.02000000000004,0.8085411378920652
14,1.0,Davante Adams,LV,WR5,WR,6,9,22,13.74,2.15,11.0,-5.0,21.51875,9.684435536811977,294.73,0.8410376178742799
