rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Arian Foster ,RB,2010,24,HOU,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,0,3,2,1,1
2,Peyton Hillis,RB,2010,24,CLE,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,0,8,5,2,2
3,Adrian Peterson,RB,2010,25,MIN,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,0,1,1,3,3
4,Jamaal Charles,RB,2010,24,KAN,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,0,3,2,4,4
5,Chris Johnson ,RB,2010,25,TEN,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,0,3,2,5,5
6,Brandon Lloyd,WR,2010,29,DEN,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,0,0,1,6
7,Dwayne Bowe,WR,2010,26,KAN,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,0,1,0,2,7
8,Darren McFadden,RB,2010,23,OAK,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,0,4,3,6,8
9,Roddy White,WR,2010,29,ATL,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,2,1,1,3,9
10,Michael Vick,QB,2010,30,PHI,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,0,0,0,11,3,1,10
11,Rashard Mendenhall,RB,2010,23,PIT,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,0,2,2,7,11
12,LeSean McCoy,RB,2010,22,PHI,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,0,2,1,8,12
13,Greg Jennings,WR,2010,27,GNB,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,0,2,0,4,13
14,Matt Forte,RB,2010,25,CHI,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,1,3,2,10,14
15,Michael Turner,RB,2010,28,ATL,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,0,2,2,9,15
16,Ray Rice,RB,2010,23,BAL,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,0,0,11,16
17,Aaron Rodgers,QB,2010,27,GNB,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,0,0,0,4,1,2,17
18,Mike Wallace,WR,2010,24,PIT,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,0,1,0,5,18
19,Calvin Johnson ,WR,2010,25,DET,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,1,0,6,19
20,Tom Brady ,QB,2010,33,NWE,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,0,0,0,3,1,3,20
21,Ahmad Bradshaw,RB,2010,24,NYG,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,1,7,6,12,21
22,Maurice Jones-Drew,RB,2010,25,JAX,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,0,2,2,13,22
23,Steven Jackson,RB,2010,27,STL,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,0,1,1,14,23
24,Jason Witten,TE,2010,28,DAL,16,16,0,0,0,0,0,0,0,0,0,128,94,1002,10.66,9,1,1,1,1,24
25,Philip Rivers,QB,2010,29,SDG,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,0,0,0,7,4,4,25
26,Peyton Manning,QB,2010,34,IND,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,0,0,0,3,1,5,26
27,Reggie Wayne,WR,2010,32,IND,16,16,0,0,0,0,0,0,0,0,0,175,111,1355,12.21,6,0,1,1,7,27
28,Hakeem Nicks,WR,2010,22,NYG,13,12,0,0,0,0,0,0,0,0,0,128,79,1052,13.32,11,0,1,0,8,28
29,Andre Johnson ,WR,2010,29,HOU,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,0,1,0,9,29
30,Steve Johnson,WR,2010,24,BUF,16,13,0,0,0,0,0,0,0,0,0,141,82,1073,13.09,10,0,1,1,10,30
31,BenJarvus Green-Ellis,RB,2010,25,NWE,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,0,0,0,15,31
32,Mike Williams,WR,2010,23,TAM,16,16,0,0,0,0,0,0,0,0,0,129,65,964,14.83,11,0,3,2,11,32
33,Miles Austin,WR,2010,26,DAL,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,0,1,1,12,33
34,Jeremy Maclin,WR,2010,22,PHI,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,0,1,1,13,34
35,Drew Brees,QB,2010,31,NOR,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,0,9,2,6,35
36,Antonio Gates,TE,2010,30,SDG,10,10,0,0,0,0,0,0,0,0,0,65,50,782,15.64,10,0,0,0,2,36
37,Cedric Benson,RB,2010,28,CIN,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,1,7,5,16,37
38,DeSean Jackson,WR,2010,24,PHI,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,0,4,1,14,38
39,Vernon Davis,TE,2010,26,SFO,16,16,0,0,0,0,0,0,0,0,0,93,56,914,16.32,7,1,0,0,3,39
