rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
333,Bernie Kosar,QB,1994,31,MIA,2,0,7,12,80,1,1,1,17,17.00,0,0,0,0,0,0,0,0,0,59,0
334,Napoleon McCallum,RB,1994,31,RAI,1,0,0,0,0,0,0,3,5,1.67,1,0,0,0,0,0,0,0,0,109,0
335,Robb Thomas,WR,1994,28,SEA,16,1,0,0,0,0,0,0,0,0,0,13,4,70,17.50,0,0,0,0,111,0
336,Richard Buchanan,WR,1994,25,RAM,3,0,0,0,0,0,0,0,0,0,0,8,5,60,12.00,0,0,0,0,113,0
337,Bob Christian,RB,1994,26,CHI,12,0,0,0,0,0,0,7,29,4.14,0,4,2,30,15.00,0,0,0,0,111,0
338,Rodney Culver,RB,1994,25,SDG,3,0,0,0,0,0,0,8,63,7.88,0,1,0,0,0,0,0,0,0,110,0
339,Brad Johnson,QB,1994,26,MIN,4,0,22,37,150,0,0,2,-2,-1.00,0,0,0,0,0,0,0,0,0,60,0
340,Trey Junkin,TE,1994,33,SEA,16,0,0,0,0,0,0,0,0,0,0,1,1,1,1.00,1,0,0,0,56,0
341,Dave Moore,TE,1994,25,TAM,15,5,0,0,0,0,0,0,0,0,0,8,4,57,14.25,0,0,0,0,58,0
342,Terry Samuels,TE,1994,24,ARI,16,6,0,0,0,0,0,1,1,1.00,0,10,8,57,7.13,0,0,0,0,57,0
343,Rico Smith,WR,1994,25,CLE,5,4,0,0,0,0,0,0,0,0,0,14,2,61,30.50,0,0,0,0,112,0
344,Daryl Hobbs,WR,1994,26,RAI,10,0,0,0,0,0,0,0,0,0,0,14,5,52,10.40,0,0,0,0,114,0
345,Roderick Lewis,TE,1994,23,HOU,3,1,0,0,0,0,0,0,0,0,0,6,4,48,12.00,0,0,0,0,61,0
346,Thomas Lewis,WR,1994,22,NYG,9,0,0,0,0,0,0,0,0,0,0,11,4,46,11.50,0,0,2,3,116,0
347,Mitch Lyons,TE,1994,24,ATL,7,2,0,0,0,0,0,0,0,0,0,7,7,54,7.71,0,0,0,0,60,0
348,Troy Sadowski,TE,1994,29,CIN,15,1,0,0,0,0,0,0,0,0,0,17,11,54,4.91,0,0,0,0,59,0
349,Darryl Spencer,WR,1994,24,ATL,8,0,0,0,0,0,0,0,0,0,0,5,2,51,25.50,0,0,0,0,115,0
350,Ferrell Edmunds,TE,1994,29,SEA,7,7,0,0,0,0,0,0,0,0,0,13,7,43,6.14,0,0,1,0,63,0
351,Anthony Johnson,RB,1994,27,NYJ,15,0,0,0,0,0,0,5,12,2.40,0,10,5,31,6.20,0,0,0,0,112,0
352,Lonnie Johnson,TE,1994,23,BUF,10,1,0,0,0,0,0,0,0,0,0,4,3,42,14.00,0,0,0,0,64,0
353,Vince Marrow,TE,1994,26,BUF,10,0,0,0,0,0,0,0,0,0,0,7,5,44,8.80,0,0,0,0,62,0
354,Jeff Query,WR,1994,27,CIN,10,4,0,0,0,0,0,0,0,0,0,12,5,44,8.80,0,0,0,0,117,0
355,Mazio Royster,RB,1994,24,TAM,14,1,0,0,0,0,0,9,7,0.78,0,11,7,36,5.14,0,0,1,0,113,0
356,Sean Salisbury,QB,1994,31,MIN,1,1,16,34,156,0,1,3,2,0.67,0,0,0,0,0,0,0,0,0,61,0
357,Aaron Bailey,WR,1994,23,IND,13,0,0,0,0,0,0,0,0,0,0,5,2,30,15.00,0,0,0,0,121,0
358,Chris Brantley,WR,1994,24,RAM,15,0,0,0,0,0,0,0,0,0,0,11,4,29,7.25,0,0,0,0,122,0
359,Reggie Brown,WR,1994,24,HOU,4,0,0,0,0,0,0,0,0,0,0,10,4,34,8.50,0,0,0,0,118,0
360,Scott Galbraith,TE,1994,27,DAL,16,2,0,0,0,0,0,0,0,0,0,4,4,31,7.75,0,0,0,0,66,0
361,Cleveland Gary,RB,1994,28,MIA,2,0,0,0,0,0,0,7,11,1.57,0,5,2,19,9.50,0,0,1,0,114,0
362,Terry Mickens,WR,1994,23,GNB,12,0,0,0,0,0,0,0,0,0,0,9,4,31,7.75,0,0,0,0,119,0
363,Greg Primus,WR,1994,24,CHI,3,1,0,0,0,0,0,0,0,0,0,4,3,25,8.33,0,0,0,0,123,0
364,Damon Thomas,WR,1994,24,BUF,3,0,0,0,0,0,0,0,0,0,0,2,2,31,15.50,0,0,0,0,120,0
365,Casey Weldon,QB,1994,25,TAM,2,0,7,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
366,Jamie Williams,TE,1994,34,RAI,16,0,0,0,0,0,0,0,0,0,0,5,3,25,8.33,0,0,1,0,68,0
367,Ronnie Williams,TE,1994,28,MIA,14,0,0,0,0,0,0,0,0,0,0,2,2,26,13.00,0,0,0,0,67,0
368,Jeff Wilner,TE,1994,23,GNB,11,1,0,0,0,0,0,0,0,0,0,6,5,31,6.20,0,0,0,0,65,0
369,Shannon Baker,WR,1994,23,IND,4,0,0,0,0,0,0,0,0,0,0,2,2,15,7.50,0,0,0,0,129,0
370,Tony Carter,RB,1994,22,CHI,14,0,0,0,0,0,0,0,0,0,0,1,1,24,24.00,0,0,0,0,116,0
371,Carlester Crumpler,TE,1994,23,SEA,9,4,0,0,0,0,0,0,0,0,0,4,2,19,9.50,0,0,0,0,71,0
372,Charles Evans,RB,1994,27,MIN,14,0,0,0,0,0,0,6,20,3.33,0,1,1,2,2.00,0,0,0,0,117,0
373,Travis Hannah,WR,1994,24,HOU,9,0,0,0,0,0,0,0,0,0,0,3,3,24,8.00,0,0,1,1,124,0
374,Steve Hawkins,WR,1994,23,NWE,7,0,0,0,0,0,0,0,0,0,0,5,2,22,11.00,0,0,0,0,126,0
375,Steve Jordan,TE,1994,33,MIN,4,1,0,0,0,0,0,0,0,0,0,8,3,23,7.67,0,0,0,0,69,0
376,Tony Kimbrough,WR,1994,24,DEN,12,0,0,0,0,0,0,0,0,0,0,2,2,20,10.00,0,0,0,0,127,0
377,Tim Lester,RB,1994,26,RAM,14,4,0,0,0,0,0,7,14,2.00,0,5,1,1,1.00,0,0,1,1,119,0
378,Dorsey Levens,RB,1994,24,GNB,14,0,0,0,0,0,0,5,15,3.00,0,3,1,9,9.00,0,0,0,0,115,0
379,Eric Lynch,RB,1994,24,DET,12,3,0,0,0,0,0,1,0,0.00,0,3,2,18,9.00,0,0,0,0,118,0
380,Tommy Maddox,QB,1994,23,RAM,5,0,10,19,141,0,2,1,1,1.00,0,0,0,0,0,0,0,0,0,64,0
381,Deems May,TE,1994,25,SDG,5,2,0,0,0,0,0,0,0,0,0,3,2,22,11.00,0,0,0,0,70,0
382,Browning Nagle,QB,1994,26,IND,1,1,8,21,69,0,1,1,12,12.00,0,0,0,0,0,0,0,2,1,63,0
383,Chris Penn,WR,1994,23,KAN,8,0,0,0,0,0,0,0,0,0,0,7,3,24,8.00,0,0,0,0,125,0
384,Terrence Warren,WR,1994,25,SEA,14,0,0,0,0,0,0,3,15,5.00,0,8,0,0,0,0,0,0,0,128,0
385,Tommie Agee,RB,1994,30,DAL,15,0,0,0,0,0,0,5,4,0.80,0,3,1,2,2.00,0,0,0,0,129,0
386,Charles Arbuckle,TE,1994,26,IND,7,1,0,0,0,0,0,0,0,0,0,2,1,7,7.00,0,0,0,0,76,0
387,Steve Avery,RB,1994,28,PIT,14,1,0,0,0,0,0,2,4,2.00,0,3,1,2,2.00,0,0,0,0,127,0
388,Johnnie Barnes,WR,1994,26,SDG,11,0,0,0,0,0,0,0,0,0,0,3,1,6,6.00,0,0,0,0,137,0
389,Wes Bender,RB,1994,24,RAI,9,0,0,0,0,0,0,0,0,0,0,2,2,14,7.00,0,0,0,0,120,0
390,Beno Bryant,RB,1994,23,SEA,2,0,0,0,0,0,0,1,6,6.00,0,0,0,0,0,0,0,0,0,128,0
391,Brett Carolan,TE,1994,23,SFO,4,0,0,0,0,0,0,0,0,0,0,3,2,10,5.00,0,0,0,0,73,0
392,Ron Dickerson,RB,1994,23,KAN,9,0,0,0,0,0,0,1,0,0.00,0,2,2,11,5.50,0,0,1,1,125,0
393,Vaughn Dunbar,RB,1994,26,NOR,8,0,0,0,0,0,0,3,9,3.00,0,0,0,0,0,0,0,0,0,126,0
394,Carlos Etheredge,TE,1994,24,IND,9,0,0,0,0,0,0,0,0,0,0,1,1,6,6.00,0,0,0,0,77,0
395,Ronnie Harris,WR,1994,24,2TM,2,0,0,0,0,0,0,0,0,0,0,1,1,11,11.00,0,0,1,2,133,0
396,Rudy Harris,RB,1994,23,TAM,8,0,0,0,0,0,0,2,0,0.00,0,2,2,11,5.50,0,0,1,1,123,0
397,Jimmie Johnson,TE,1994,28,KAN,7,1,0,0,0,0,0,0,0,0,0,5,2,7,3.50,0,0,0,0,75,0
398,Charles Jordan,WR,1994,25,GNB,10,0,0,0,0,0,0,1,5,5.00,0,3,0,0,0,0,0,1,1,138,0
399,Brian Kozlowski,TE,1994,24,NYG,16,2,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,78,0
400,Le'Shai Maston,RB,1994,24,HOU,5,1,0,0,0,0,0,0,0,0,0,2,2,12,6.00,0,0,0,0,121,0
401,David Mims,WR,1994,24,ATL,2,2,0,0,0,0,0,0,0,0,0,8,3,14,4.67,0,0,0,0,130,0
402,Derrell Mitchell,WR,1994,23,NOR,14,0,0,0,0,0,0,0,0,0,0,2,1,13,13.00,0,0,0,0,132,0
403,Brent Novoselsky,TE,1994,28,MIN,12,0,0,0,0,0,0,0,0,0,0,4,2,7,3.50,0,0,0,0,74,0
404,Orlando Parker,WR,1994,22,NYJ,2,0,0,0,0,0,0,0,0,0,0,3,1,7,7.00,0,0,0,0,136,0
405,Leslie Shepherd,WR,1994,25,WAS,3,0,0,0,0,0,0,0,0,0,0,1,1,8,8.00,0,0,0,0,135,0
406,Kevin Smith,TE,1994,25,RAI,3,0,0,0,0,0,0,1,2,2.00,0,1,1,8,8.00,0,0,0,0,72,0
407,Jeff Sydner,WR,1994,25,PHI,16,0,0,0,0,0,0,0,0,0,0,1,1,10,10.00,0,0,2,3,134,0
408,Spencer Tillman,RB,1994,30,HOU,16,0,0,0,0,0,0,2,12,6.00,0,0,0,0,0,0,0,1,1,122,0
409,Ed Toner,RB,1994,26,IND,9,0,0,0,0,0,0,1,11,11.00,0,0,0,0,0,0,0,0,0,124,0
410,Vernon Turner,WR,1994,27,TAM,12,1,0,0,0,0,0,4,13,3.25,0,0,0,0,0,0,0,1,1,131,0
411,Scott Zolak,QB,1994,27,NWE,16,0,5,8,28,0,0,1,-1,-1.00,0,0,0,0,0,0,0,0,0,65,0
412,Jamal Anderson,RB,1994,22,ATL,3,0,0,0,0,0,0,2,-1,-0.50,0,0,0,0,0,0,0,0,0,146,0
413,Eric Ball,RB,1994,28,CIN,16,0,0,0,0,0,0,2,0,0.00,0,2,1,4,4.00,0,0,1,0,131,0
414,Bradford Banta,0,1994,24,IND,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
415,William Bell,0,1994,23,WAS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
416,Harold Bishop,0,1994,24,TAM,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
417,Kirk Botkin,0,1994,23,NOR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
418,Rickey Brady,0,1994,24,RAM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
419,Derek Brown,0,1994,24,NYG,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
420,Troy Brown,0,1994,23,NWE,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,141,0
421,Butler By'not'e,0,1994,22,DEN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0
422,Rob Carpenter,0,1994,26,NYJ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0
423,Dwayne Carswell,0,1994,22,DEN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
424,Trevor Cobb,0,1994,24,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
425,Andre Coleman,0,1994,22,SDG,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,144,0
426,Corey Croom,0,1994,23,NWE,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,132,0
427,Randy Cuthbert,0,1994,24,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
428,Anthony Daigle,0,1994,24,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0
429,Charles Davenport,0,1994,26,PIT,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
430,Omar Douglas,0,1994,22,NYG,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0
431,John Duff,0,1994,27,RAI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
432,Keith Elias,RB,1994,22,NYG,2,0,0,0,0,0,0,2,4,2.00,0,0,0,0,0,0,0,0,0,130,0
433,Cory Fleming,0,1994,23,DAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
434,Malcolm Floyd,0,1994,22,HOU,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0
435,Glenn Foley,QB,1994,24,NYJ,1,0,5,8,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0
436,David Frisch,0,1994,24,CIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
437,Brad Goebel,0,1994,27,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
438,Frank Harvey,0,1994,23,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0
439,Kurt Haws,0,1994,25,WAS,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
