rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,LaDainian Tomlinson,RB,2006,27,SDG,16,16,2,3,20,2,0,348,1815,5.22,28,80,56,508,9.07,3,0,2,1,1,1
2,Larry Johnson,RB,2006,27,KAN,16,16,0,1,0,0,0,416,1789,4.30,17,66,41,410,10.00,2,0,2,2,2,2
3,Steven Jackson,RB,2006,23,STL,16,16,0,0,0,0,0,346,1528,4.42,13,110,90,806,8.96,3,0,4,2,3,3
4,Peyton Manning,QB,2006,30,IND,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,0,0,0,0,2,1,1,4
5,Frank Gore,RB,2006,23,SFO,16,16,0,0,0,0,0,312,1695,5.43,8,86,61,485,7.95,1,0,6,5,4,5
6,Willie Parker,RB,2006,26,PIT,16,16,0,0,0,0,0,337,1494,4.43,13,42,31,222,7.16,3,0,7,5,5,6
7,Brian Westbrook,RB,2006,27,PHI,15,14,0,0,0,0,0,240,1217,5.07,7,105,77,699,9.08,4,0,2,2,6,7
8,Marvin Harrison,WR,2006,34,IND,16,16,0,0,0,0,0,0,0,0,0,148,95,1366,14.38,12,0,1,1,1,8
9,Tiki Barber,RB,2006,31,NYG,16,16,0,0,0,0,0,327,1662,5.08,5,75,58,465,8.02,0,0,3,1,7,9
10,Terrell Owens,WR,2006,33,DAL,16,15,0,0,0,0,0,0,0,0,0,150,85,1180,13.88,13,1,0,0,2,10
11,Michael Vick,QB,2006,26,ATL,16,16,204,388,2474,20,13,123,1039,8.45,2,1,1,1,1.00,0,0,9,3,2,11
12,Drew Brees,QB,2006,27,NOR,16,16,356,554,4418,26,11,42,32,0.76,0,0,0,0,0,0,0,8,3,3,12
13,Reggie Wayne,WR,2006,28,IND,16,16,0,0,0,0,0,0,0,0,0,137,86,1310,15.23,9,1,1,0,3,13
14,Maurice Jones-Drew,RB,2006,21,JAX,16,1,0,0,0,0,0,166,941,5.67,13,62,46,436,9.48,2,0,1,1,8,14
15,Marc Bulger,QB,2006,29,STL,16,16,370,588,4301,24,8,18,44,2.44,0,0,0,0,0,0,0,6,3,4,15
16,Antonio Gates,TE,2006,26,SDG,16,16,0,0,0,0,0,0,0,0,0,120,71,924,13.01,9,0,0,0,1,16
17,Chad Johnson ,WR,2006,28,CIN,16,16,0,0,0,0,0,6,24,4.00,0,152,87,1369,15.74,7,0,1,1,4,17
18,Donald Driver,WR,2006,31,GNB,16,16,0,0,0,0,0,7,16,2.29,0,173,92,1295,14.08,8,0,1,0,5,18
19,Torry Holt,WR,2006,30,STL,16,16,0,0,0,0,0,0,0,0,0,179,93,1188,12.77,10,0,2,1,6,19
20,Lee Evans,WR,2006,25,BUF,16,15,0,1,0,0,0,0,0,0,0,137,82,1292,15.76,8,0,1,1,7,20
21,Carson Palmer,QB,2006,27,CIN,16,16,324,520,4035,28,13,26,37,1.42,0,0,0,0,0,0,0,15,7,5,21
22,Reggie Bush,WR,2006,21,NOR,16,8,0,1,0,0,1,155,565,3.65,6,121,88,742,8.43,2,0,2,2,8,22
23,Steve Smith,WR,2006,27,CAR,14,14,0,0,0,0,0,8,61,7.63,1,139,83,1166,14.05,8,0,2,0,9,23
24,Javon Walker,WR,2006,28,DEN,16,16,0,0,0,0,0,9,123,13.67,1,126,69,1084,15.71,8,0,0,0,10,24
25,Rudi Johnson,RB,2006,27,CIN,16,15,0,0,0,0,0,341,1309,3.84,12,31,23,124,5.39,0,0,6,2,9,25
26,Roy Williams,WR,2006,25,DET,16,16,0,0,0,0,0,2,2,1.00,0,151,82,1310,15.98,7,0,2,2,11,26
27,T.J. Houshmandzadeh,WR,2006,29,CIN,14,13,0,0,0,0,0,3,6,2.00,0,132,90,1081,12.01,9,0,0,0,12,27
28,Alge Crumpler,TE,2006,29,ATL,16,16,0,0,0,0,0,0,0,0,0,103,56,780,13.93,8,0,0,0,2,28
29,Jon Kitna,QB,2006,34,DET,16,16,372,596,4208,21,22,34,156,4.59,2,0,0,0,0,0,0,11,9,6,29
30,Plaxico Burress,WR,2006,29,NYG,15,15,0,0,0,0,0,0,0,0,0,116,63,988,15.68,10,0,2,1,13,30
31,Tony Gonzalez,TE,2006,30,KAN,15,15,0,0,0,0,0,0,0,0,0,104,73,900,12.33,5,1,1,0,3,31
32,Darrell Jackson,WR,2006,28,SEA,13,13,0,0,0,0,0,0,0,0,0,112,63,956,15.17,10,0,1,0,14,32
33,Tom Brady,QB,2006,29,NWE,16,16,319,516,3529,24,12,49,102,2.08,0,0,0,0,0,0,0,12,4,7,33
34,Marques Colston,WR,2006,23,NOR,14,12,0,0,0,0,0,0,0,0,0,115,70,1038,14.83,8,0,0,0,15,34
35,Ladell Betts,RB,2006,27,WAS,16,9,0,0,0,0,0,245,1154,4.71,4,64,53,445,8.40,1,0,6,3,10,35
36,Todd Heap,TE,2006,26,BAL,16,16,0,0,0,0,0,0,0,0,0,116,73,765,10.48,6,0,0,0,4,36
37,Joey Galloway,WR,2006,35,TAM,16,14,0,0,0,0,0,2,9,4.50,0,143,62,1057,17.05,7,0,0,0,16,37
38,Joseph Addai,RB,2006,23,IND,16,0,0,0,0,0,0,226,1081,4.78,7,50,40,325,8.13,1,0,2,1,11,38
39,Chris Cooley,TE,2006,24,WAS,16,16,0,0,0,0,0,0,0,0,0,95,57,734,12.88,6,1,0,0,5,39
40,Laveranues Coles,WR,2006,29,NYJ,16,16,0,0,0,0,0,2,14,7.00,0,152,91,1098,12.07,6,0,1,0,17,40
41,Anquan Boldin,WR,2006,26,ARI,16,16,0,0,0,0,0,5,28,5.60,0,152,83,1203,14.49,4,0,1,0,18,41
42,Andre Johnson ,WR,2006,25,HOU,16,16,0,0,0,0,0,3,14,4.67,0,163,103,1147,11.14,5,0,1,0,19,42
43,Chester Taylor,RB,2006,27,MIN,15,15,0,0,0,0,0,303,1216,4.01,6,51,42,288,6.86,0,0,5,3,12,43
44,Deuce McAllister,RB,2006,28,NOR,15,13,0,0,0,0,0,244,1057,4.33,10,36,30,198,6.60,0,0,3,1,13,44
45,Mike Furrey,WR,2006,29,DET,16,14,0,0,0,0,0,0,0,0,0,146,98,1086,11.08,6,0,1,1,20,45
46,Terry Glenn,WR,2006,32,DAL,15,14,0,0,0,0,0,3,11,3.67,0,111,70,1047,14.96,6,0,0,0,21,46
47,Kellen Winslow,TE,2006,23,CLE,16,16,0,0,0,0,0,0,0,0,0,120,89,875,9.83,3,0,1,0,6,47
48,Jeremy Shockey,TE,2006,26,NYG,15,15,0,0,0,0,0,0,0,0,0,115,66,623,9.44,7,0,0,0,7,48
49,Marion Barber III,RB,2006,23,DAL,16,1,0,0,0,0,0,135,654,4.84,14,32,23,196,8.52,2,0,0,0,14,49
50,Ahman Green,RB,2006,29,GNB,14,14,0,0,0,0,0,266,1059,3.98,5,63,46,373,8.11,1,0,4,2,15,50
51,Philip Rivers,QB,2006,25,SDG,16,16,284,460,3388,22,9,48,49,1.02,0,0,0,0,0,0,0,8,2,8,51
52,Reggie Brown,WR,2006,25,PHI,16,15,0,0,0,0,0,3,24,8.00,1,88,46,816,17.74,8,0,0,0,22,52
53,Jamal Lewis,RB,2006,27,BAL,16,16,0,0,0,0,0,314,1132,3.61,9,26,18,115,6.39,0,0,4,2,16,53
54,Hines Ward,WR,2006,30,PIT,14,14,0,0,0,0,0,2,30,15.00,0,126,74,975,13.18,6,0,2,0,23,54
55,Vince Young,QB,2006,23,TEN,15,13,184,357,2199,12,13,83,552,6.65,7,0,0,0,0,0,1,12,3,9,55
56,Desmond Clark,TE,2006,29,CHI,16,16,0,0,0,0,0,0,0,0,0,80,45,626,13.91,6,0,0,0,8,56
57,Jerricho Cotchery,WR,2006,24,NYJ,16,16,0,0,0,0,0,5,25,5.00,0,125,82,961,11.72,6,0,0,0,24,57
58,Fred Taylor,RB,2006,30,JAX,15,15,0,0,0,0,0,231,1146,4.96,5,28,23,242,10.52,1,0,3,1,17,58
59,Corey Dillon,RB,2006,32,NWE,16,13,0,0,0,0,0,199,812,4.08,13,16,15,147,9.80,0,0,2,2,18,59
60,Edgerrin James,RB,2006,28,ARI,16,16,0,0,0,0,0,337,1159,3.44,6,61,38,217,5.71,0,0,3,3,19,60
61,Travis Henry,RB,2006,28,TEN,14,13,0,0,0,0,0,270,1211,4.49,7,25,18,78,4.33,0,1,3,1,20,61
62,Thomas Jones,RB,2006,28,CHI,16,16,1,1,-4,0,0,296,1210,4.09,6,47,36,154,4.28,0,0,1,1,21,62
63,Donovan McNabb,QB,2006,30,PHI,10,10,180,316,2647,18,6,32,212,6.63,3,0,0,0,0,0,0,3,2,10,63
64,Larry Fitzgerald,WR,2006,23,ARI,13,13,0,0,0,0,0,0,0,0,0,111,69,946,13.71,6,0,0,0,25,64
65,Isaac Bruce,WR,2006,34,STL,16,13,0,1,0,0,0,0,0,0,0,126,74,1098,14.84,3,1,0,0,26,65
66,L.J. Smith,TE,2006,26,PHI,16,15,0,0,0,0,0,0,0,0,0,75,50,611,12.22,5,1,0,0,9,66
67,Kevin Jones,RB,2006,24,DET,12,12,0,0,0,0,0,181,689,3.81,6,78,61,520,8.52,2,0,5,5,22,67
68,Brett Favre,QB,2006,37,GNB,16,16,343,613,3885,18,18,23,29,1.26,1,0,0,0,0,0,0,8,8,11,68
69,Santana Moss,WR,2006,27,WAS,14,14,0,0,0,0,0,7,82,11.71,0,101,55,790,14.36,6,1,2,0,27,69
70,Braylon Edwards,WR,2006,23,CLE,16,15,0,0,0,0,0,3,7,2.33,0,125,61,884,14.49,6,0,0,0,28,70
71,Mark Clayton,WR,2006,24,BAL,16,12,0,1,0,0,0,7,-30,-4.29,0,113,67,939,14.01,5,0,0,0,29,71
72,Warrick Dunn,RB,2006,31,ATL,16,16,0,0,0,0,0,286,1140,3.99,4,28,22,170,7.73,1,0,1,0,23,72
73,Ben Watson,TE,2006,26,NWE,13,13,0,0,0,0,0,0,0,0,0,91,49,643,13.12,3,0,3,2,10,73
74,Randy McMichael,TE,2006,27,MIA,16,16,0,0,0,0,0,0,0,0,0,96,62,640,10.32,3,0,0,0,11,74
75,Jamar Martin,0,2006,26,NYJ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75
76,Eli Manning,QB,2006,25,NYG,16,16,301,522,3244,24,18,25,21,0.84,0,0,0,0,0,0,0,9,2,12,76
77,Jason Witten,TE,2006,24,DAL,16,15,0,0,0,0,0,0,0,0,0,90,64,754,11.78,1,0,0,0,12,77
78,J.P. Foschi,0,2006,24,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78
79,J.P. Losman,QB,2006,25,BUF,16,16,268,429,3051,19,14,38,140,3.68,1,0,0,0,0,0,0,13,7,13,0
80,Ben Roethlisberger,QB,2006,24,PIT,15,15,280,469,3513,18,23,32,98,3.06,2,0,0,0,0,0,0,5,2,14,0
81,Chad Pennington,QB,2006,30,NYJ,16,16,313,485,3352,17,16,35,109,3.11,0,1,0,7,0,0,0,7,4,15,0
82,Rex Grossman,QB,2006,26,CHI,16,16,262,480,3193,23,20,24,2,0.08,0,1,1,-4,-4.00,0,0,8,5,18,0
83,Steve McNair,QB,2006,33,BAL,16,16,295,468,3050,16,12,45,119,2.64,1,0,0,0,0,0,0,7,1,17,0
84,Tony Romo ,QB,2006,26,DAL,16,10,220,337,2903,19,13,34,102,3.00,0,0,0,0,0,0,1,9,3,16,0
85,Alex Smith,QB,2006,22,SFO,16,16,257,442,2890,16,16,44,147,3.34,2,0,0,0,0,0,0,10,5,19,0
86,David Carr,QB,2006,27,HOU,16,16,302,442,2767,11,12,53,195,3.68,2,0,0,0,0,0,0,16,6,20,0
87,Jake Delhomme,QB,2006,31,CAR,13,13,263,431,2805,17,11,18,12,0.67,0,0,0,0,0,0,0,6,4,21,0
88,Ronnie Brown,RB,2006,25,MIA,13,12,0,1,0,0,0,241,1008,4.18,5,38,33,276,8.36,0,0,4,2,24,0
89,Matt Hasselbeck,QB,2006,31,SEA,12,12,210,371,2442,18,15,18,110,6.11,0,0,0,0,0,0,0,3,2,22,0
90,Willis McGahee,RB,2006,25,BUF,14,14,0,0,0,0,0,259,990,3.82,6,28,18,156,8.67,0,0,4,2,25,0
91,Julius Jones,RB,2006,25,DAL,16,16,0,0,0,0,0,267,1084,4.06,4,15,9,142,15.78,0,0,1,1,26,0
92,Charlie Frye,QB,2006,25,CLE,13,13,252,393,2454,10,17,47,215,4.57,3,0,0,0,0,0,0,8,7,23,0
93,Matt Leinart,QB,2006,23,ARI,12,11,214,377,2547,11,12,22,49,2.23,2,0,0,0,0,0,0,8,2,24,0
94,Shaun Alexander,RB,2006,29,SEA,10,10,0,0,0,0,0,252,896,3.56,7,16,12,48,4.00,0,0,6,3,27,0
95,Laurence Maroney,RB,2006,21,NWE,14,0,0,0,0,0,0,175,745,4.26,6,30,22,194,8.82,1,0,1,1,28,0
96,Mike Bell,RB,2006,23,DEN,15,3,0,0,0,0,0,157,677,4.31,8,27,20,158,7.90,0,0,1,0,29,0
97,Brad Johnson,QB,2006,38,MIN,15,14,270,439,2750,9,15,29,82,2.83,1,0,0,0,0,0,0,9,0,25,0
98,Tatum Bell,RB,2006,25,DEN,13,13,0,0,0,0,0,233,1025,4.40,2,31,24,115,4.79,0,0,5,5,30,0
99,DeShaun Foster,RB,2006,26,CAR,14,14,0,0,0,0,0,227,897,3.95,3,46,32,159,4.97,0,0,4,2,31,0
