rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Jerry Rice ,WR,1987,25,SFO,12,12,0,0,0,0,0,8,51,6.38,1,0,65,1078,16.58,22,0,2,0,1,1
2,Charles White,RB,1987,29,RAM,15,12,0,0,0,0,0,324,1374,4.24,11,0,23,121,5.26,0,0,8,0,1,2
3,Randall Cunningham,QB,1987,24,PHI,12,12,223,406,2786,23,12,76,505,6.64,3,0,1,-3,-3.00,0,0,12,0,1,3
4,Herschel Walker,RB,1987,25,DAL,12,11,0,0,0,0,0,209,891,4.26,7,0,60,715,11.92,1,0,4,0,2,4
5,Joe Montana,QB,1987,31,SFO,13,11,266,398,3054,31,13,35,141,4.03,1,0,0,0,0,0,0,3,0,2,5
6,Mark Bavaro,TE,1987,24,NYG,12,12,0,0,0,0,0,0,0,0,0,0,55,867,15.76,8,0,2,0,1,6
7,John Elway,QB,1987,27,DEN,12,12,224,410,3198,19,12,66,304,4.61,4,0,0,0,0,0,0,2,0,3,7
8,J.T. Smith,WR,1987,32,STL,15,14,0,0,0,0,0,0,0,0,0,0,91,1117,12.27,8,0,2,0,2,8
9,Neil Lomax,QB,1987,28,STL,12,12,275,463,3387,24,12,29,107,3.69,0,0,0,0,0,0,0,7,0,4,9
10,Eric Dickerson,RB,1987,27,2TM,12,10,0,0,0,0,0,283,1288,4.55,6,0,18,171,9.50,0,0,7,0,3,10
11,Dan Marino,QB,1987,26,MIA,12,12,263,444,3245,26,13,12,-5,-0.42,1,0,0,0,0,0,0,5,0,5,11
12,Gary Clark,WR,1987,25,WAS,12,11,0,0,0,0,0,1,0,0.00,0,0,56,1066,19.04,7,0,3,0,3,12
13,Curt Warner,RB,1987,26,SEA,12,12,0,0,0,0,0,234,985,4.21,8,0,17,167,9.82,2,0,4,0,4,13
14,Carlos Carson,WR,1987,29,KAN,12,12,0,0,0,0,0,1,-7,-7.00,0,0,55,1044,18.98,7,0,1,0,4,14
15,Mike Quick,WR,1987,28,PHI,12,12,0,0,0,0,0,0,0,0,0,0,46,790,17.17,11,0,3,0,5,15
16,Steve Largent,WR,1987,33,SEA,13,13,0,2,0,0,0,2,33,16.50,0,0,58,912,15.72,8,0,2,0,6,16
17,Bernie Kosar,QB,1987,24,CLE,12,12,241,389,3033,22,9,15,22,1.47,1,0,0,0,0,0,0,2,0,6,17
18,Albert Bentley,RB,1987,27,IND,12,4,0,0,0,0,0,142,631,4.44,7,0,34,447,13.15,2,0,3,0,5,18
19,Drew Hill,WR,1987,31,HOU,12,12,0,1,0,0,0,0,0,0,0,0,49,989,20.18,6,0,1,0,7,19
20,Anthony Carter ,WR,1987,27,MIN,12,11,0,0,0,0,0,0,0,0,0,0,38,922,24.26,7,0,0,0,8,20
21,Earnest Byner,RB,1987,25,CLE,12,12,0,0,0,0,0,105,432,4.11,8,0,52,552,10.62,2,0,5,0,6,21
22,Robert Awalt,TE,1987,23,STL,12,9,0,0,0,0,0,2,-9,-4.50,0,0,42,526,12.52,6,0,0,0,2,22
23,Warren Moon,QB,1987,31,HOU,12,12,184,368,2806,21,18,34,112,3.29,3,0,0,0,0,0,0,8,0,7,23
24,Ernest Givins,WR,1987,23,HOU,12,12,0,0,0,0,0,1,-13,-13.00,0,0,53,933,17.60,6,0,2,0,9,24
25,Roger Craig,RB,1987,27,SFO,14,14,0,0,0,0,0,215,815,3.79,3,0,66,492,7.45,1,0,5,0,7,25
26,Al Toon,WR,1987,24,NYJ,12,11,0,0,0,0,0,0,0,0,0,0,68,976,14.35,5,0,0,0,10,26
27,Troy Stradford,RB,1987,23,MIA,12,5,1,1,6,0,0,145,619,4.27,6,0,48,457,9.52,1,0,6,0,8,27
28,Webster Slaughter,WR,1987,23,CLE,12,12,0,0,0,0,0,0,0,0,0,0,47,806,17.15,7,0,1,0,11,28
29,Boomer Esiason,QB,1987,26,CIN,12,12,240,440,3321,16,19,52,241,4.63,0,0,0,0,0,0,0,10,0,8,29
