rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Marshall Faulk,RB,2000,27,STL,14,14,0,0,0,0,0,253,1359,5.37,18,113,81,830,10.25,8,2,0,0,1,1
2,Edgerrin James,RB,2000,22,IND,16,16,0,0,0,0,0,387,1709,4.42,13,87,63,594,9.43,5,1,5,4,2,2
3,Daunte Culpepper,QB,2000,23,MIN,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,0,0,0,0,11,6,1,3
4,Jeff Garcia,QB,2000,30,SFO,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,0,0,0,0,7,1,2,4
5,Eddie George,RB,2000,27,TEN,16,16,0,0,0,0,0,403,1509,3.74,14,65,50,453,9.06,2,0,5,4,3,5
6,Randy Moss,WR,2000,23,MIN,16,16,0,0,0,0,0,3,5,1.67,0,129,77,1437,18.66,15,1,2,0,1,6
7,Tony Gonzalez,TE,2000,24,KAN,16,16,0,0,0,0,0,0,0,0,0,150,93,1203,12.94,9,0,0,0,1,7
8,Terrell Owens,WR,2000,27,SFO,14,13,0,0,0,0,0,3,11,3.67,0,146,97,1451,14.96,13,1,3,1,2,8
9,Marvin Harrison,WR,2000,28,IND,16,16,0,0,0,0,0,0,0,0,0,169,102,1413,13.85,14,0,2,0,3,9
10,Rod Smith,WR,2000,30,DEN,16,16,0,0,0,0,0,6,99,16.50,1,173,100,1602,16.02,8,0,1,1,4,10
11,Mike Anderson,RB,2000,27,DEN,16,12,0,0,0,0,0,297,1487,5.01,15,32,23,169,7.35,0,1,4,4,4,11
12,Rich Gannon,QB,2000,35,OAK,16,16,284,473,3430,28,11,89,529,5.94,4,0,0,0,0,0,1,9,5,3,12
13,Ahman Green,RB,2000,23,GNB,16,11,0,1,0,0,0,263,1175,4.47,10,99,73,559,7.66,3,0,6,4,5,13
14,Peyton Manning,QB,2000,24,IND,16,16,357,571,4413,33,15,37,116,3.14,1,0,0,0,0,0,0,5,3,4,14
15,Fred Taylor,RB,2000,24,JAX,13,13,0,0,0,0,0,292,1399,4.79,12,53,36,240,6.67,2,0,4,2,6,15
16,Robert Smith,RB,2000,28,MIN,16,16,0,0,0,0,0,295,1521,5.16,7,44,36,348,9.67,3,0,4,1,7,16
17,Jamal Lewis,WR,2000,21,BAL,16,13,0,0,0,0,0,309,1364,4.41,6,36,27,296,10.96,0,1,6,2,5,17
18,Derrick Alexander,WR,2000,29,KAN,16,16,0,0,0,0,0,3,45,15.00,0,144,78,1391,17.83,10,0,0,0,6,18
19,Donovan McNabb,QB,2000,24,PHI,16,16,330,569,3365,21,13,86,629,7.31,6,4,2,5,2.50,0,0,7,4,5,19
20,Isaac Bruce,WR,2000,28,STL,16,16,0,0,0,0,0,1,11,11.00,0,135,87,1471,16.91,9,0,1,1,7,20
21,Curtis Martin,RB,2000,27,NYJ,16,16,1,1,18,1,0,316,1204,3.81,9,96,70,508,7.26,2,0,2,2,8,21
22,Torry Holt,WR,2000,24,STL,16,15,0,0,0,0,0,2,7,3.50,0,139,82,1635,19.94,6,0,2,2,8,22
23,Ricky Watters,RB,2000,31,SEA,16,16,0,0,0,0,0,278,1242,4.47,7,92,63,613,9.73,2,0,5,2,9,23
24,Charlie Garner,RB,2000,28,SFO,16,15,0,0,0,0,0,258,1142,4.43,7,94,68,647,9.51,3,0,4,3,10,24
25,Lamar Smith,RB,2000,30,MIA,15,15,0,1,0,0,0,309,1139,3.69,14,38,31,201,6.48,2,0,3,3,11,25
26,Ed McCaffrey,WR,2000,32,DEN,16,16,0,0,0,0,0,0,0,0,0,149,101,1317,13.04,9,1,0,0,9,26
27,Stephen Davis ,RB,2000,26,WAS,15,15,0,0,0,0,0,332,1318,3.97,11,49,33,313,9.48,0,0,4,4,12,27
28,Tiki Barber,RB,2000,25,NYG,16,12,0,0,0,0,0,213,1006,4.72,8,95,70,719,10.27,1,0,9,3,13,28
29,Joe Horn,WR,2000,28,NOR,16,16,0,0,0,0,0,6,10,1.67,0,151,94,1340,14.26,8,0,1,0,10,29
30,Cris Carter ,WR,2000,35,MIN,16,16,0,0,0,0,0,0,0,0,0,161,96,1274,13.27,9,0,3,1,11,30
31,Tim Brown,WR,2000,34,OAK,16,16,0,0,0,0,0,3,12,4.00,0,133,76,1128,14.84,11,0,0,0,12,31
32,Elvis Grbac,QB,2000,30,KAN,15,15,326,547,4169,28,14,30,110,3.67,1,0,0,0,0,0,0,7,3,6,32
33,James Stewart,RB,2000,29,DET,16,16,0,0,0,0,0,339,1184,3.49,10,48,32,287,8.97,1,2,4,2,14,33
34,Jimmy Smith,WR,2000,31,JAX,15,14,0,0,0,0,0,0,0,0,0,145,91,1213,13.33,8,0,1,0,13,34
35,Warrick Dunn,RB,2000,25,TAM,16,14,0,0,0,0,0,248,1133,4.57,8,69,44,422,9.59,1,0,1,1,15,35
36,Amani Toomer,WR,2000,26,NYG,16,14,0,0,0,0,0,5,91,18.20,1,124,78,1094,14.03,7,0,1,1,14,36
37,Eric Moulds,WR,2000,27,BUF,16,16,0,0,0,0,0,2,24,12.00,0,164,94,1326,14.11,5,0,1,0,15,37
38,Shannon Sharpe,TE,2000,32,BAL,16,15,0,0,0,0,0,0,0,0,0,105,67,810,12.09,5,0,0,0,2,38
39,Corey Dillon,RB,2000,26,CIN,16,16,0,0,0,0,0,315,1435,4.56,7,26,18,158,8.78,0,0,4,3,16,39
40,Freddie Jones,TE,2000,26,SDG,16,16,0,0,0,0,0,0,0,0,0,126,71,766,10.79,5,0,3,2,3,40
41,David Boston,WR,2000,22,ARI,16,16,0,0,0,0,0,3,9,3.00,0,133,71,1156,16.28,7,0,2,1,16,41
42,Muhsin Muhammad,WR,2000,27,CAR,16,16,0,0,0,0,0,2,12,6.00,0,156,102,1183,11.60,6,0,1,0,17,42
43,Ricky Williams,RB,2000,23,NOR,10,10,1,1,34,0,0,248,1000,4.03,8,55,44,409,9.30,1,0,6,3,17,43
44,Keenan McCardell,WR,2000,30,JAX,16,16,0,0,0,0,0,0,0,0,0,140,94,1207,12.84,5,0,3,3,18,44
45,Jerome Bettis,RB,2000,28,PIT,16,16,0,2,0,0,1,355,1341,3.78,8,19,13,97,7.46,0,0,1,0,18,45
46,Frank Wycheck,TE,2000,29,TEN,16,16,2,2,53,1,0,0,0,0,0,109,70,636,9.09,4,0,2,3,4,46
47,Antonio Freeman,WR,2000,28,GNB,15,15,0,0,0,0,0,2,5,2.50,0,120,62,912,14.71,9,0,1,1,19,47
48,Kyle Brady,TE,2000,28,JAX,16,15,0,0,0,0,0,0,0,0,0,94,64,729,11.39,3,1,0,0,5,48
49,Mark Brunell,QB,2000,30,JAX,16,16,311,512,3640,20,14,48,236,4.92,2,0,0,0,0,0,0,7,4,7,49
50,Chad Lewis,TE,2000,29,PHI,16,16,0,0,0,0,0,0,0,0,0,110,69,735,10.65,3,0,0,0,6,50
51,Wayne Chrebet,WR,2000,27,NYJ,16,16,0,0,0,0,0,3,-3,-1.00,0,143,69,937,13.58,8,0,0,0,20,51
52,Emmitt Smith,RB,2000,31,DAL,16,16,0,0,0,0,0,294,1203,4.09,9,14,11,79,7.18,0,0,6,5,19,52
