rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Jerry Rice ,WR,1993,31,SFO,16,16,0,0,0,0,0,3,69,23.00,1,153,98,1503,15.34,15,0,3,0,1,1
2,Emmitt Smith,RB,1993,24,DAL,14,13,0,0,0,0,0,283,1486,5.25,9,65,57,414,7.26,1,0,4,0,1,2
3,Steve Young,QB,1993,32,SFO,16,16,314,462,4023,29,16,69,407,5.90,2,2,2,2,1.00,0,0,8,0,1,3
4,Andre Rison,WR,1993,26,ATL,16,16,0,0,0,0,0,0,0,0,0,165,86,1242,14.44,15,0,2,0,2,4
5,Shannon Sharpe,TE,1993,25,DEN,16,12,0,0,0,0,0,0,0,0,0,110,81,995,12.28,9,0,1,0,1,5
6,Jerome Bettis,RB,1993,21,RAM,16,12,0,0,0,0,0,294,1429,4.86,7,34,26,244,9.38,0,0,4,0,2,6
7,Thurman Thomas,RB,1993,27,BUF,16,16,0,1,0,0,0,355,1315,3.70,6,71,48,387,8.06,0,0,6,0,3,7
8,Sterling Sharpe,WR,1993,28,GNB,16,16,1,1,1,0,0,4,8,2.00,0,189,112,1274,11.38,11,0,1,0,3,8
9,John Elway,QB,1993,33,DEN,16,16,348,551,4030,25,10,44,153,3.48,0,0,0,0,0,0,0,8,0,2,9
10,Ricky Watters,RB,1993,24,SFO,13,13,0,0,0,0,0,208,950,4.57,10,45,31,326,10.52,1,0,5,0,4,10
11,Marcus Allen,RB,1993,33,KAN,16,10,0,0,0,0,0,206,764,3.71,12,46,34,238,7.00,3,0,4,0,5,11
12,Michael Irvin,WR,1993,27,DAL,16,16,0,0,0,0,0,2,6,3.00,0,143,88,1330,15.11,7,0,0,0,4,12
13,Eric Green,TE,1993,26,PIT,16,16,0,0,0,0,0,0,0,0,0,113,63,942,14.95,5,0,3,0,2,13
14,Leonard Russell,RB,1993,24,NWE,16,15,0,0,0,0,0,300,1088,3.63,7,37,26,245,9.42,0,0,4,0,6,14
15,Gary Brown,RB,1993,24,HOU,16,8,0,0,0,0,0,195,1002,5.14,6,30,21,240,11.43,2,0,4,0,7,15
16,Ben Coates,TE,1993,24,NWE,16,10,0,0,0,0,0,0,0,0,0,93,53,659,12.43,8,0,0,0,3,16
17,Johnny Johnson,RB,1993,25,NYJ,15,9,0,0,0,0,0,198,821,4.15,3,83,67,641,9.57,1,0,5,0,8,17
18,Cris Carter ,WR,1993,28,MIN,16,16,0,0,0,0,0,0,0,0,0,143,86,1071,12.45,9,0,0,0,5,18
19,Tim Brown,WR,1993,27,RAI,16,16,0,0,0,0,0,2,7,3.50,0,127,80,1180,14.75,7,0,1,0,6,19
20,Erric Pegram,RB,1993,24,ATL,16,14,0,0,0,0,0,292,1185,4.06,3,42,33,302,9.15,0,0,6,0,9,20
21,Anthony Miller,WR,1993,28,SDG,16,16,0,0,0,0,0,1,0,0.00,0,162,84,1162,13.83,7,0,0,0,7,21
22,Terry Kirby,RB,1993,23,MIA,16,8,0,0,0,0,0,119,390,3.28,3,95,75,874,11.65,3,0,5,0,10,22
23,Edgar Bennett,RB,1993,24,GNB,16,14,0,0,0,0,0,159,550,3.46,9,74,59,457,7.75,1,0,0,0,11,23
24,Jeff Hostetler,QB,1993,32,RAI,15,15,236,419,3242,14,10,55,202,3.67,5,1,0,0,0,0,0,6,0,3,24
25,Herschel Walker,RB,1993,31,PHI,16,16,0,0,0,0,0,174,746,4.29,1,91,75,610,8.13,3,0,3,0,12,25
26,Chris Warren,RB,1993,25,SEA,14,14,0,0,0,0,0,273,1072,3.93,7,21,15,99,6.60,0,0,3,0,13,26
27,Rodney Hampton ,RB,1993,24,NYG,12,10,0,0,0,0,0,292,1077,3.69,5,23,18,210,11.67,0,0,2,0,14,27
28,Ronald Moore,RB,1993,23,PHO,16,11,0,0,0,0,0,263,1018,3.87,9,7,3,16,5.33,0,0,3,0,15,28
29,Johnny Mitchell,TE,1993,22,NYJ,14,14,0,0,0,0,0,0,0,0,0,73,39,630,16.15,6,0,0,0,4,29
30,Keith Jackson,TE,1993,28,MIA,15,15,0,0,0,0,0,0,0,0,0,73,39,613,15.72,6,0,2,0,5,30
31,Barry Sanders ,RB,1993,25,DET,11,11,0,0,0,0,0,243,1115,4.59,3,48,36,205,5.69,0,0,3,0,16,31
32,Brent Jones,TE,1993,30,SFO,16,16,0,0,0,0,0,0,0,0,0,94,68,735,10.81,3,0,2,0,6,32
33,Barry Foster ,RB,1993,25,PIT,9,9,0,0,0,0,0,177,711,4.02,8,34,27,217,8.04,1,0,3,0,17,33
34,Warren Moon,QB,1993,37,HOU,15,14,303,520,3485,21,21,48,145,3.02,1,0,0,0,0,0,0,13,0,4,34
35,Reggie Brooks,RB,1993,22,WAS,16,11,0,0,0,0,0,223,1063,4.77,3,35,21,186,8.86,0,0,4,0,18,35
36,Rod Bernstine,RB,1993,28,DEN,15,14,0,0,0,0,0,223,816,3.66,4,61,44,372,8.45,0,0,3,0,19,36
37,Ricky Proehl,WR,1993,25,PHO,16,16,0,0,0,0,0,8,47,5.88,0,108,65,877,13.49,7,0,1,0,8,37
38,Pete Metzelaars,TE,1993,33,BUF,16,16,0,0,0,0,0,0,0,0,0,95,68,609,8.96,4,0,1,0,7,38
39,Jackie Harris,TE,1993,25,GNB,12,12,0,0,0,0,0,0,0,0,0,73,42,604,14.38,4,0,0,0,8,39
40,Willie Davis,WR,1993,26,KAN,16,15,0,0,0,0,0,0,0,0,0,101,52,909,17.48,7,0,0,0,9,40
41,Mark Bavaro,TE,1993,30,PHI,16,16,0,0,0,0,0,0,0,0,0,72,43,481,11.19,6,0,0,0,9,41
42,Boomer Esiason,QB,1993,32,NYJ,16,16,288,473,3421,16,11,45,118,2.62,1,1,1,-8,-8.00,0,0,13,0,5,42
43,Calvin Williams,WR,1993,26,PHI,16,14,0,0,0,0,0,0,0,0,0,104,60,725,12.08,10,0,0,0,10,43
44,Irving Fryar,WR,1993,31,MIA,16,16,0,0,0,0,0,3,-4,-1.33,0,118,64,1010,15.78,5,0,0,0,11,44
45,Herman Moore,WR,1993,24,DET,15,15,0,0,0,0,0,0,0,0,0,112,61,935,15.33,6,0,2,0,12,45
46,John Taylor,WR,1993,31,SFO,16,16,1,1,41,0,0,2,17,8.50,0,74,56,940,16.79,5,0,1,0,13,46
47,Eric Metcalf,RB,1993,25,CLE,16,9,0,0,0,0,0,129,611,4.74,1,84,63,539,8.56,2,0,4,0,20,47
48,Michael Jackson,WR,1993,24,CLE,15,11,1,1,25,0,0,1,1,1.00,0,92,41,756,18.44,8,0,1,0,14,48
49,Brett Favre ,QB,1993,24,GNB,16,16,318,522,3303,19,24,58,216,3.72,1,0,0,0,0,0,0,14,0,6,49
50,Andre Reed,WR,1993,29,BUF,15,15,0,0,0,0,0,9,21,2.33,0,87,52,854,16.42,6,0,3,0,15,50
51,Courtney Hawkins,WR,1993,24,TAM,16,12,0,0,0,0,0,0,0,0,0,109,62,933,15.05,5,0,2,0,16,51
52,Bobby Hebert,QB,1993,33,ATL,14,12,263,430,2978,24,17,24,49,2.04,0,0,0,0,0,0,0,11,0,7,52
53,Reggie Langhorne,WR,1993,30,IND,16,16,0,0,0,0,0,0,0,0,0,152,85,1038,12.21,3,0,4,0,17,53
54,Troy Aikman,QB,1993,27,DAL,14,14,271,392,3100,15,6,32,125,3.91,0,0,0,0,0,0,0,7,0,8,54
55,Keith Byars,RB,1993,30,MIA,16,16,1,2,11,1,0,64,269,4.20,3,84,61,613,10.05,3,0,3,0,21,55
56,Webster Slaughter,WR,1993,29,HOU,14,14,0,0,0,0,0,0,0,0,0,122,77,904,11.74,5,0,4,0,18,56
57,Jim Kelly,QB,1993,33,BUF,16,16,288,470,3382,18,18,36,102,2.83,0,1,0,0,0,0,0,7,0,9,57
58,Neil O'Donnell,QB,1993,27,PIT,16,15,270,486,3208,14,7,26,111,4.27,0,0,0,0,0,0,0,5,0,10,58
59,Brian Blades,WR,1993,28,SEA,16,14,0,0,0,0,0,5,52,10.40,0,144,80,945,11.81,3,0,1,0,19,59
60,Rick Mirer,QB,1993,23,SEA,16,16,274,486,2833,12,17,68,343,5.04,3,0,0,0,0,0,0,13,0,11,60
61,Mike Pritchard,WR,1993,24,ATL,15,14,0,0,0,0,0,2,4,2.00,0,102,74,736,9.95,7,0,1,0,20,61
62,Ernest Givins,WR,1993,29,HOU,16,16,0,0,0,0,0,6,19,3.17,0,110,68,887,13.04,4,0,2,0,21,62
63,Eric Martin,WR,1993,32,NOR,16,13,0,0,0,0,0,0,0,0,0,112,66,950,14.39,3,0,0,0,22,63
64,Leroy Thompson,RB,1993,24,PIT,15,6,0,0,0,0,0,205,763,3.72,3,46,38,259,6.82,0,0,7,0,22,64
65,Haywood Jeffires,WR,1993,29,HOU,16,16,0,0,0,0,0,0,0,0,0,122,66,753,11.41,6,0,5,0,23,65
66,Natrone Means,RB,1993,21,SDG,16,0,0,1,0,0,0,160,645,4.03,8,18,10,59,5.90,0,0,1,0,23,66
67,Kelvin Martin,WR,1993,28,SEA,16,14,0,0,0,0,0,1,0,0.00,0,92,57,798,14.00,5,0,1,0,24,67
68,Alvin Harper,WR,1993,25,DAL,16,15,1,1,46,0,0,0,0,0,0,67,36,777,21.58,5,0,1,0,25,68
69,Anthony Carter,WR,1993,33,MIN,15,14,0,0,0,0,0,7,19,2.71,0,107,60,775,12.92,5,0,1,0,26,69
70,Steve Jordan,TE,1993,32,MIN,14,12,0,0,0,0,0,0,0,0,0,73,56,542,9.68,1,0,0,0,10,70
71,Henry Ellard,WR,1993,32,RAM,16,16,0,0,0,0,0,2,18,9.00,0,117,61,945,15.49,2,0,0,0,27,71
72,Kerry Cash,TE,1993,24,IND,16,14,0,0,0,0,0,0,0,0,0,76,43,402,9.35,3,0,2,0,11,72
73,Mark Ingram,WR,1993,28,MIA,16,16,0,0,0,0,0,0,0,0,0,90,44,707,16.07,6,0,3,0,28,73
74,Quinn Early,WR,1993,28,NOR,16,15,0,0,0,0,0,2,32,16.00,0,73,45,670,14.89,6,0,1,0,29,74
75,Dexter McNabb,0,1993,24,GNB,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75
76,Steve Beuerlein,QB,1993,28,PHO,16,14,258,418,3164,18,17,22,45,2.05,0,0,0,0,0,0,0,8,0,12,76
77,Howard Cross,TE,1993,26,NYG,16,16,0,0,0,0,0,0,0,0,0,36,21,272,12.95,5,0,0,0,12,77
78,Richie Anderson,0,1993,22,NYJ,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,78
79,Phil Simms,QB,1993,38,NYG,16,16,247,400,3038,15,9,28,31,1.11,0,1,1,-6,-6.00,0,0,7,0,13,0
80,Craig Erickson,QB,1993,24,TAM,16,15,233,457,3054,18,21,26,96,3.69,0,0,0,0,0,0,0,9,0,14,0
81,Wade Wilson,QB,1993,34,NOR,14,14,221,388,2457,12,15,31,230,7.42,0,0,0,0,0,0,0,9,0,15,0
82,Drew Bledsoe,QB,1993,21,NWE,13,12,214,429,2494,15,15,32,82,2.56,0,0,0,0,0,0,0,8,0,16,0
83,Jim Harbaugh,QB,1993,30,CHI,15,15,200,325,2002,7,11,60,277,4.62,4,1,1,1,1.00,0,0,15,0,17,0
84,Joe Montana,QB,1993,37,KAN,11,11,181,298,2144,13,7,25,64,2.56,0,0,0,0,0,0,0,1,0,18,0
85,Bubby Brister,QB,1993,31,PHI,10,8,181,309,1905,14,5,20,39,1.95,0,0,0,0,0,0,0,3,0,19,0
86,Jeff George,QB,1993,26,IND,13,11,234,407,2526,8,6,13,39,3.00,0,0,0,0,0,0,0,4,0,20,0
87,Vinny Testaverde,QB,1993,30,CLE,10,6,130,230,1797,14,9,18,74,4.11,0,0,0,0,0,0,0,4,0,21,0
88,Brad Baxter,RB,1993,26,NYJ,16,13,0,0,0,0,0,174,559,3.21,7,36,20,158,7.90,0,0,3,0,24,0
89,Robert Delpino,RB,1993,28,DEN,16,4,0,0,0,0,0,131,445,3.40,8,36,26,195,7.50,0,0,1,0,25,0
90,David Klingler,QB,1993,24,CIN,14,13,190,343,1935,6,9,41,282,6.88,0,0,0,0,0,0,0,7,0,23,0
91,Scott Mitchell,QB,1993,25,MIA,13,7,133,233,1773,12,8,21,89,4.24,0,0,0,0,0,0,0,3,0,22,0
92,Stan Humphries,QB,1993,28,SDG,12,10,173,324,1981,12,10,8,37,4.63,0,0,0,0,0,0,0,2,0,24,0
93,Marion Butts,RB,1993,27,SDG,16,16,0,0,0,0,0,185,746,4.03,4,24,15,105,7.00,0,0,0,0,26,0
94,Jim McMahon,QB,1993,34,MIN,12,12,200,331,1968,9,8,33,96,2.91,0,0,0,0,0,0,0,4,0,25,0
95,Derek Brown,RB,1993,22,NOR,13,12,0,0,0,0,0,180,705,3.92,2,32,21,170,8.10,1,0,1,0,28,0
96,Gary Clark,WR,1993,31,PHO,14,10,0,0,0,0,0,0,0,0,0,111,63,818,12.98,4,0,1,0,30,0
97,John Williams,RB,1993,29,SEA,16,9,0,1,0,0,0,82,371,4.52,3,90,58,450,7.76,1,0,2,0,27,0
98,Neal Anderson,RB,1993,29,CHI,15,11,0,1,0,0,0,202,646,3.20,4,48,31,160,5.16,0,0,2,0,30,0
99,Marc Logan,RB,1993,28,SFO,14,12,0,0,0,0,0,58,280,4.83,7,48,37,348,9.41,0,0,2,0,29,0
100,Bill Brooks,WR,1993,29,BUF,16,13,0,0,0,0,0,3,30,10.00,0,84,60,714,11.90,5,0,0,0,31,0
101,Tommy Vardell,RB,1993,24,CLE,16,12,0,0,0,0,0,171,644,3.77,3,23,19,151,7.95,1,0,3,0,31,0
102,Michael Haynes,WR,1993,28,ATL,16,16,0,0,0,0,0,0,0,0,0,135,72,778,10.81,4,0,1,0,32,0
103,Mark Carrier,WR,1993,28,CLE,16,16,0,0,0,0,0,4,26,6.50,1,85,43,746,17.35,3,0,0,0,33,0
104,Ronnie Harmon,RB,1993,29,SDG,16,1,0,0,0,0,0,46,216,4.70,0,103,73,671,9.19,2,0,0,0,32,0
105,Derrick Fenner,RB,1993,26,CIN,15,14,0,0,0,0,0,121,482,3.98,1,64,48,427,8.90,0,0,1,0,33,0
106,Mark Jackson,WR,1993,30,NYG,16,14,0,0,0,0,0,3,25,8.33,0,96,58,708,12.21,4,0,1,0,34,0
107,Reggie Cobb,RB,1993,25,TAM,12,10,0,0,0,0,0,221,658,2.98,3,14,9,61,6.78,1,0,5,0,35,0
108,Darrell Thompson,RB,1993,26,GNB,16,11,0,0,0,0,0,169,654,3.87,3,29,18,129,7.17,0,0,2,0,34,0
109,Mark Higgs,RB,1993,27,MIA,16,8,0,0,0,0,0,186,693,3.73,3,12,10,72,7.20,0,0,1,0,36,0
110,James Jett,WR,1993,23,RAI,16,1,0,0,0,0,0,1,0,0.00,0,78,33,771,23.36,3,0,1,0,35,0
111,Larry Centers,RB,1993,25,PHO,16,9,0,0,0,0,0,25,152,6.08,0,86,66,603,9.14,3,0,1,0,37,0
112,Vince Workman,RB,1993,25,TAM,16,11,0,0,0,0,0,78,284,3.64,2,77,54,411,7.61,2,0,2,0,38,0
113,Carl Pickens,WR,1993,23,CIN,13,12,0,1,0,0,0,0,0,0,0,99,43,565,13.14,6,0,1,0,36,0
114,Horace Copeland,WR,1993,22,TAM,14,8,0,0,0,0,0,3,34,11.33,0,67,30,633,21.10,4,0,0,0,37,0
115,Jeff Query,WR,1993,26,CIN,16,16,0,0,0,0,0,2,13,6.50,0,112,56,654,11.68,4,0,1,0,38,0
116,Jessie Hester,WR,1993,30,IND,16,16,0,0,0,0,0,0,0,0,0,130,64,835,13.05,1,0,1,0,41,0
117,Rob Moore,WR,1993,25,NYJ,13,13,0,0,0,0,0,1,-6,-6.00,0,101,64,843,13.17,1,0,2,0,40,0
118,Roosevelt Potts,RB,1993,22,IND,16,15,0,0,0,0,0,179,711,3.97,0,34,26,189,7.27,0,0,8,0,39,0
