rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Marshall Faulk,RB,1999,26,STL,16,16,0,1,0,0,0,253,1381,5.46,7,103,87,1048,12.05,5,1,2,2,1,1
2,Edgerrin James,RB,1999,21,IND,16,16,0,0,0,0,0,369,1553,4.21,13,82,62,586,9.45,4,0,8,4,2,2
3,Kurt Warner,QB,1999,28,STL,16,16,325,499,4353,41,13,23,92,4.00,1,0,0,0,0,0,0,9,5,1,3
4,Stephen Davis ,RB,1999,25,WAS,14,14,0,0,0,0,0,290,1405,4.84,17,28,23,111,4.83,0,1,4,1,3,4
5,Eddie George,RB,1999,26,TEN,16,16,0,0,0,0,0,320,1304,4.08,9,65,47,458,9.74,4,0,5,4,4,5
6,Steve Beuerlein,QB,1999,34,CAR,16,16,343,571,4436,36,15,27,124,4.59,2,0,0,0,0,0,0,12,8,2,6
7,Marvin Harrison,WR,1999,27,IND,16,16,0,0,0,0,0,1,4,4.00,0,184,115,1663,14.46,12,1,2,1,1,7
8,Wesley Walls,TE,1999,33,CAR,16,16,0,0,0,0,0,0,0,0,0,108,63,822,13.05,12,0,1,1,1,8
9,Emmitt Smith,RB,1999,30,DAL,15,15,0,0,0,0,0,329,1397,4.25,11,32,27,119,4.41,2,0,5,3,5,9
10,Tony Gonzalez,TE,1999,23,KAN,15,15,0,0,0,0,0,0,0,0,0,104,76,849,11.17,11,0,2,1,2,10
11,Randy Moss,WR,1999,22,MIN,16,16,1,1,27,1,0,4,43,10.75,0,137,80,1413,17.66,11,0,3,1,2,11
12,Dorsey Levens,RB,1999,29,GNB,14,14,0,0,0,0,0,279,1034,3.71,9,81,71,573,8.07,1,0,5,5,6,12
13,Charlie Garner,RB,1999,27,SFO,16,15,0,0,0,0,0,241,1229,5.10,4,76,56,535,9.55,2,0,4,2,7,13
14,Cris Carter ,WR,1999,34,MIN,16,16,0,0,0,0,0,0,0,0,0,137,90,1241,13.79,13,0,0,0,3,14
15,Jimmy Smith,WR,1999,30,JAX,16,16,0,0,0,0,0,0,0,0,0,173,116,1636,14.10,6,1,1,1,4,15
16,Marcus Robinson,WR,1999,24,CHI,16,11,0,0,0,0,0,0,0,0,0,149,84,1400,16.67,9,0,0,0,5,16
17,Isaac Bruce,WR,1999,27,STL,16,16,0,0,0,0,0,5,32,6.40,0,120,77,1165,15.13,12,1,0,0,6,17
18,Curtis Martin,RB,1999,26,NYJ,16,16,0,0,0,0,0,367,1464,3.99,5,49,45,259,5.76,0,0,2,0,8,18
19,Ricky Watters,RB,1999,30,SEA,16,16,0,0,0,0,0,325,1210,3.72,5,62,40,387,9.68,2,0,4,4,9,19
20,Rich Gannon,QB,1999,34,OAK,16,16,304,515,3840,24,14,46,298,6.48,2,1,1,-3,-3.00,0,0,8,4,3,20
21,Peyton Manning,QB,1999,23,IND,16,16,331,533,4135,26,15,35,73,2.09,2,0,0,0,0,0,0,6,3,4,21
22,Duce Staley,RB,1999,24,PHI,16,16,0,0,0,0,0,325,1273,3.92,4,66,41,294,7.17,2,0,5,4,10,22
23,Patrick Jeffers,WR,1999,26,CAR,15,10,0,0,0,0,0,2,16,8.00,0,101,63,1082,17.17,12,0,0,0,7,23
24,Germane Crowell,WR,1999,23,DET,16,15,0,0,0,0,0,5,38,7.60,0,148,81,1338,16.52,7,1,1,1,8,24
25,Michael Westbrook,WR,1999,27,WAS,16,16,0,0,0,0,0,7,35,5.00,0,114,65,1191,18.32,9,1,3,1,9,25
26,Rickey Dudley,TE,1999,27,OAK,16,16,0,0,0,0,0,0,0,0,0,59,39,555,14.23,9,0,0,0,3,26
27,Corey Dillon,RB,1999,25,CIN,15,15,0,0,0,0,0,263,1200,4.56,5,49,31,290,9.35,1,0,3,2,11,27
28,Brad Johnson ,QB,1999,31,WAS,16,16,316,519,4005,24,13,26,31,1.19,2,0,0,0,0,0,0,12,6,5,28
29,Muhsin Muhammad,WR,1999,26,CAR,15,15,0,0,0,0,0,0,0,0,0,157,96,1253,13.05,8,0,1,1,10,29
30,James Stewart,RB,1999,28,JAX,14,7,0,0,0,0,0,249,931,3.74,13,24,21,108,5.14,0,0,4,3,12,30
31,Tim Brown,WR,1999,33,OAK,16,16,0,0,0,0,0,1,4,4.00,0,145,90,1344,14.93,6,0,0,0,11,31
32,Tyrone Wheatley,RB,1999,27,OAK,16,9,0,0,0,0,0,242,936,3.87,8,38,21,196,9.33,3,0,3,3,13,32
33,Olandis Gary,RB,1999,24,DEN,12,12,0,0,0,0,0,276,1159,4.20,7,29,21,159,7.57,0,1,2,2,14,33
34,Keyshawn Johnson,WR,1999,27,NYJ,16,16,0,1,0,0,0,5,6,1.20,0,124,89,1170,13.15,8,0,0,0,12,34
35,Mike Alstott ,RB,1999,26,TAM,16,16,0,0,0,0,0,242,949,3.92,7,33,27,239,8.85,2,0,6,6,15,35
36,Rocket Ismail,WR,1999,30,DAL,16,14,0,0,0,0,0,13,110,8.46,1,125,80,1097,13.71,6,0,1,1,13,36
37,Jerome Bettis,RB,1999,27,PIT,16,16,1,1,21,1,0,299,1091,3.65,7,28,21,110,5.24,0,0,2,1,16,37
38,Albert Connell,WR,1999,25,WAS,15,14,0,0,0,0,0,1,8,8.00,0,121,62,1132,18.26,7,0,1,1,14,38
39,Amani Toomer,WR,1999,25,NYG,16,16,0,0,0,0,0,1,4,4.00,0,137,79,1183,14.97,6,0,0,0,15,39
40,Doug Flutie,QB,1999,37,BUF,15,15,264,478,3171,19,16,88,476,5.41,1,0,0,0,0,0,0,6,4,6,40
41,David Sloan,TE,1999,27,DET,16,15,0,0,0,0,0,0,0,0,0,76,47,591,12.57,4,0,0,0,4,41
42,Brett Favre,QB,1999,30,GNB,16,16,341,595,4091,22,23,28,142,5.07,0,0,0,0,0,0,0,9,4,7,42
43,Terry Allen,RB,1999,31,NWE,16,13,0,0,0,0,0,254,896,3.53,8,19,14,125,8.93,1,0,8,4,17,43
44,Qadry Ismail,WR,1999,29,BAL,16,16,0,0,0,0,0,1,4,4.00,0,140,68,1105,16.25,6,0,2,0,16,44
45,Curtis Enis,RB,1999,23,CHI,15,12,0,0,0,0,0,287,916,3.19,3,68,45,340,7.56,2,0,4,4,18,45
