rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Emmitt Smith,RB,1992,23,DAL,16,16,0,0,0,0,0,373,1713,4.59,18,74,59,335,5.68,1,0,4,0,1,1
2,Thurman Thomas,RB,1992,26,BUF,16,16,0,0,0,0,0,312,1487,4.77,9,87,58,626,10.79,3,0,6,0,2,2
3,Barry Foster ,RB,1992,24,PIT,16,15,0,1,0,0,0,390,1690,4.33,11,50,36,344,9.56,0,0,9,0,3,3
4,Terry Allen,RB,1992,24,MIN,16,16,0,0,0,0,0,266,1201,4.52,13,70,49,478,9.76,2,0,9,0,4,4
5,Steve Young,QB,1992,31,SFO,16,16,268,402,3465,25,7,76,537,7.07,4,0,0,0,0,0,0,9,0,1,5
6,Sterling Sharpe,WR,1992,27,GNB,16,16,0,0,0,0,0,4,8,2.00,0,162,108,1461,13.53,13,0,2,0,1,6
7,Lorenzo White,RB,1992,26,HOU,16,16,0,0,0,0,0,265,1226,4.63,7,77,57,641,11.25,1,0,2,0,5,7
8,Rodney Hampton ,RB,1992,23,NYG,16,16,0,0,0,0,0,257,1141,4.44,14,38,28,215,7.68,0,0,1,0,6,8
9,Barry Sanders ,RB,1992,24,DET,16,16,0,1,0,0,0,312,1352,4.33,9,40,29,225,7.76,1,0,6,0,7,9
10,Jerry Rice ,WR,1992,30,SFO,16,16,0,0,0,0,0,9,58,6.44,1,139,84,1201,14.30,10,0,2,0,2,10
11,Ricky Watters,RB,1992,23,SFO,14,13,0,1,0,0,0,206,1013,4.92,9,52,43,405,9.42,2,0,2,0,8,11
12,Cleveland Gary,RB,1992,26,RAM,16,16,0,0,0,0,0,279,1125,4.03,7,55,52,293,5.63,3,0,9,0,9,12
13,Michael Irvin,WR,1992,26,DAL,16,14,0,0,0,0,0,1,-9,-9.00,0,122,78,1396,17.90,7,0,1,0,3,13
14,Andre Rison,WR,1992,25,ATL,15,13,0,0,0,0,0,0,0,0,0,144,93,1119,12.03,11,0,2,0,4,14
15,Herschel Walker,RB,1992,30,PHI,16,16,0,1,0,0,0,267,1070,4.01,8,47,38,278,7.32,2,0,6,0,10,15
16,Randall Cunningham,QB,1992,29,PHI,15,15,233,384,2775,19,11,87,549,6.31,5,1,0,0,0,0,0,13,0,2,16
17,Reggie Cobb,RB,1992,24,TAM,16,13,0,0,0,0,0,310,1171,3.78,9,25,21,156,7.43,0,0,3,0,11,17
18,Earnest Byner,RB,1992,30,WAS,16,16,1,3,41,1,0,262,998,3.81,6,49,39,338,8.67,1,0,1,0,12,18
19,Dan Marino,QB,1992,31,MIA,16,16,330,554,4116,24,16,20,66,3.30,0,0,0,0,0,0,0,5,0,3,19
20,Anthony Miller,WR,1992,27,SDG,16,16,0,0,0,0,0,1,-1,-1.00,0,137,72,1060,14.72,7,0,0,0,5,20
21,Neal Anderson,RB,1992,28,CHI,16,11,0,0,0,0,0,156,582,3.73,5,65,42,399,9.50,6,0,6,0,13,21
22,Ernest Givins,WR,1992,28,HOU,16,16,0,0,0,0,0,7,75,10.71,0,111,67,787,11.75,10,0,3,0,6,22
23,Haywood Jeffires,WR,1992,28,HOU,16,16,0,0,0,0,0,0,0,0,0,138,90,913,10.14,9,0,1,0,7,23
24,Troy Aikman,QB,1992,26,DAL,16,16,302,473,3445,23,14,37,105,2.84,1,0,0,0,0,0,0,4,0,4,24
25,Fred Barnett,WR,1992,26,PHI,16,16,0,0,0,0,0,1,-15,-15.00,0,118,67,1083,16.16,6,0,1,0,8,25
26,Michael Haynes,WR,1992,27,ATL,14,14,0,0,0,0,0,0,0,0,0,83,48,808,16.83,10,0,0,0,9,26
27,Jay Novacek,TE,1992,30,DAL,16,16,0,0,0,0,0,0,0,0,0,99,68,630,9.26,6,0,0,0,1,27
28,Eric Martin,WR,1992,31,NOR,16,11,0,0,0,0,0,0,0,0,0,100,68,1041,15.31,5,0,1,0,10,28
29,Harold Green,RB,1992,24,CIN,16,15,0,0,0,0,0,265,1170,4.42,2,48,41,214,5.22,0,0,1,0,14,29
30,Mark Higgs,RB,1992,26,MIA,16,15,0,0,0,0,0,256,915,3.57,7,20,16,142,8.88,0,0,5,0,15,30
31,Jim Kelly,QB,1992,32,BUF,16,16,269,462,3457,23,19,31,53,1.71,1,0,0,0,0,0,0,8,0,5,31
32,Keith Jackson ,TE,1992,27,MIA,13,11,0,0,0,0,0,0,0,0,0,69,48,594,12.38,5,0,2,0,2,32
33,Brett Favre ,QB,1992,23,GNB,15,13,302,471,3227,18,13,47,198,4.21,1,1,1,-7,-7.00,0,0,12,0,6,33
34,Brent Jones,TE,1992,29,SFO,15,15,0,0,0,0,0,0,0,0,0,64,45,628,13.96,4,0,1,0,3,34
35,Keith Byars,TE,1992,29,PHI,15,15,0,1,0,0,0,41,176,4.29,1,81,56,502,8.96,2,0,1,0,4,35
36,Jim Everett,QB,1992,29,RAM,16,16,281,475,3323,22,18,32,133,4.16,0,0,0,0,0,0,0,5,0,7,36
37,Gary Clark,WR,1992,30,WAS,16,14,0,0,0,0,0,2,18,9.00,0,131,64,912,14.25,5,0,1,0,11,37
38,Mark Jackson,WR,1992,29,DEN,16,13,0,0,0,0,0,3,-1,-0.33,0,117,48,745,15.52,8,0,0,0,12,38
39,Ronnie Harmon ,RB,1992,28,SDG,16,2,0,0,0,0,0,55,235,4.27,3,102,79,914,11.57,1,0,4,0,16,39
40,Herman Moore,WR,1992,23,DET,12,11,0,0,0,0,0,0,0,0,0,89,51,966,18.94,4,0,0,0,13,40
41,Stan Humphries,QB,1992,27,SDG,16,15,263,454,3356,16,18,28,79,2.82,4,0,0,0,0,0,0,9,0,8,41
42,Michael Jackson,WR,1992,23,CLE,16,14,0,0,0,0,0,1,21,21.00,0,82,47,755,16.06,7,0,0,0,14,42
43,Mark Duper,WR,1992,33,MIA,16,16,0,0,0,0,0,0,0,0,0,96,44,762,17.32,7,0,2,0,15,43
44,Mike Pritchard,WR,1992,23,ATL,16,15,0,0,0,0,0,5,37,7.40,0,116,77,827,10.74,5,0,3,0,16,44
45,Andre Reed,WR,1992,28,BUF,16,16,0,0,0,0,0,8,65,8.13,0,104,65,913,14.05,3,0,4,0,17,45
46,Chris Warren,RB,1992,24,SEA,16,16,0,0,0,0,0,223,1017,4.56,3,28,16,134,8.38,0,0,2,0,17,46
47,Dalton Hilliard,RB,1992,28,NOR,16,4,0,0,0,0,0,115,445,3.87,3,59,48,465,9.69,4,0,6,0,18,47
48,Shannon Sharpe,TE,1992,24,DEN,16,11,0,0,0,0,0,2,-6,-3.00,0,77,53,640,12.08,2,0,1,0,5,48
49,James Lofton,WR,1992,36,BUF,16,15,0,0,0,0,0,0,0,0,0,110,51,786,15.41,6,0,0,0,18,49
50,Anthony Johnson,RB,1992,25,IND,15,13,0,1,0,0,0,178,592,3.33,0,60,49,517,10.55,3,0,6,0,19,50
51,Bobby Hebert,QB,1992,32,NOR,16,16,249,422,3287,19,16,32,95,2.97,0,0,0,0,0,0,0,3,0,9,51
52,Jackie Harris,TE,1992,24,GNB,16,11,0,0,0,0,0,0,0,0,0,82,55,595,10.82,2,0,1,0,6,52
53,Tim Brown,WR,1992,26,RAI,15,12,0,0,0,0,0,3,-4,-1.33,0,95,49,693,14.14,7,0,6,0,19,53
54,Eric Metcalf,RB,1992,24,CLE,16,5,0,1,0,0,0,73,301,4.12,1,69,47,614,13.06,5,0,6,0,20,54
55,Kerry Cash,TE,1992,23,IND,16,16,0,0,0,0,0,0,0,0,0,75,43,521,12.12,3,0,0,0,7,55
56,Flipper Anderson,WR,1992,27,RAM,15,9,0,0,0,0,0,0,0,0,0,79,38,657,17.29,7,0,1,0,20,56
57,Dave Krieg,QB,1992,34,KAN,16,16,230,413,3115,15,12,37,74,2.00,2,0,0,0,0,0,0,10,0,10,57
58,Cris Carter,WR,1992,27,MIN,12,12,0,0,0,0,0,5,15,3.00,0,92,53,681,12.85,6,0,1,0,21,58
59,Pete Metzelaars,TE,1992,32,BUF,16,7,0,0,0,0,0,0,0,0,0,43,30,298,9.93,6,0,0,0,8,59
60,Brett Perriman,WR,1992,27,DET,16,16,0,0,0,0,0,0,0,0,0,107,69,810,11.74,4,0,1,0,22,60
61,Randal Hill,WR,1992,23,PHO,16,14,0,0,0,0,0,1,4,4.00,0,117,58,861,14.84,3,0,2,0,23,61
62,Irving Fryar,WR,1992,30,NWE,15,14,0,0,0,0,0,1,6,6.00,0,106,55,791,14.38,4,0,0,0,24,62
63,Johnny Johnson,RB,1992,24,PHO,12,8,0,0,0,0,0,178,734,4.12,6,19,14,103,7.36,0,0,2,0,21,63
64,Calvin Williams,WR,1992,25,PHI,16,15,0,0,0,0,0,0,0,0,0,73,42,598,14.24,7,0,0,0,25,64
65,Curtis Duncan,WR,1992,27,HOU,16,16,0,0,0,0,0,0,0,0,0,110,82,954,11.63,1,0,0,0,26,65
66,Heath Sherman,RB,1992,25,PHI,16,7,0,0,0,0,0,112,583,5.21,5,23,18,219,12.17,1,0,3,0,22,66
67,Rob Moore,WR,1992,24,NYJ,16,15,0,0,0,0,0,1,21,21.00,0,115,50,726,14.52,4,0,0,0,27,67
68,Ron Hall,TE,1992,28,TAM,12,11,0,0,0,0,0,0,0,0,0,54,39,351,9.00,4,0,0,0,9,68
69,Warren Moon,QB,1992,36,HOU,11,10,224,346,2521,18,12,27,147,5.44,1,0,0,0,0,0,0,7,0,11,69
70,Marion Butts,RB,1992,26,SDG,15,15,0,0,0,0,0,218,809,3.71,4,11,9,73,8.11,0,0,4,0,23,70
71,Terry Orr,TE,1992,31,WAS,16,7,0,0,0,0,0,0,0,0,0,33,22,356,16.18,3,0,1,0,10,71
72,Mark Carrier,WR,1992,27,TAM,14,12,0,0,0,0,0,0,0,0,0,102,56,692,12.36,4,0,1,0,28,72
73,Marv Cook,TE,1992,26,NWE,16,15,0,0,0,0,0,0,0,0,0,75,52,413,7.94,2,0,3,0,11,73
74,Ricky Proehl,WR,1992,24,PHO,16,15,0,1,0,0,1,3,23,7.67,0,107,60,744,12.40,3,0,5,0,29,74
75,Ethan Horton,TE,1992,30,RAI,16,16,0,0,0,0,0,0,0,0,0,68,33,409,12.39,2,0,1,0,12,75
76,Mark Rypien,QB,1992,30,WAS,16,16,269,479,3282,13,17,36,50,1.39,2,0,0,0,0,0,0,4,0,12,76
77,Willie Davis,WR,1992,25,KAN,16,14,0,0,0,0,0,1,-11,-11.00,0,66,36,756,21.00,3,0,0,0,30,77
78,Bob Christian,0,1992,24,CHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78
79,Chris Chandler,QB,1992,27,PHO,15,13,245,413,2832,15,15,36,149,4.14,1,0,0,0,0,0,0,9,0,13,0
80,Jim Harbaugh,QB,1992,29,CHI,16,13,202,358,2486,13,12,47,272,5.79,1,0,0,0,0,0,0,6,0,14,0
81,Vinny Testaverde,QB,1992,29,TAM,14,14,206,358,2554,14,16,36,197,5.47,2,0,0,0,0,0,0,4,0,15,0
82,Neil O'Donnell,QB,1992,26,PIT,12,12,185,313,2283,13,9,27,5,0.19,1,0,0,0,0,0,0,6,0,16,0
