rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Shaun Alexander ,RB,2004,27,SEA,16,16,0,0,0,0,0,353,1696,4.80,16,38,23,170,7.39,4,0,5,3,1,1
2,Daunte Culpepper,QB,2004,27,MIN,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,0,0,0,1,9,5,1,2
3,Tiki Barber,RB,2004,29,NYG,16,14,0,0,0,0,0,322,1518,4.71,13,79,52,578,11.12,2,0,5,2,2,3
4,LaDainian Tomlinson,RB,2004,25,SDG,15,15,1,2,38,0,0,339,1335,3.94,17,66,53,441,8.32,1,0,6,2,3,4
5,Peyton Manning,QB,2004,28,IND,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,0,0,0,0,5,1,2,5
6,Curtis Martin ,RB,2004,31,NYJ,16,16,0,0,0,0,0,371,1697,4.57,12,49,41,245,5.98,2,0,2,0,4,6
7,Muhsin Muhammad,WR,2004,31,CAR,16,16,0,0,0,0,0,3,15,5.00,0,160,93,1405,15.11,16,0,3,1,1,7
8,Antonio Gates,TE,2004,24,SDG,15,15,0,0,0,0,0,0,0,0,0,114,81,964,11.90,13,0,0,0,1,8
9,Domanick Williams,RB,2004,24,HOU,15,15,0,0,0,0,0,302,1188,3.93,13,84,68,588,8.65,1,0,4,3,5,9
10,Edgerrin James,RB,2004,26,IND,16,16,0,0,0,0,0,334,1548,4.63,9,60,51,483,9.47,0,1,6,2,6,10
11,Tony Gonzalez,TE,2004,28,KAN,16,16,0,0,0,0,0,1,5,5.00,0,148,102,1258,12.33,7,0,0,0,2,11
12,Corey Dillon,RB,2004,30,NWE,15,14,0,0,0,0,0,345,1635,4.74,12,21,15,103,6.87,1,1,5,4,7,12
13,Javon Walker,WR,2004,26,GNB,16,12,0,0,0,0,0,0,0,0,0,144,89,1382,15.53,12,0,2,2,2,13
14,Joe Horn,WR,2004,32,NOR,16,16,0,0,0,0,0,0,0,0,0,153,94,1399,14.88,11,1,0,0,3,14
15,Terrell Owens,WR,2004,31,PHI,14,14,0,0,0,0,0,3,-5,-1.67,0,127,77,1200,15.58,14,0,2,1,4,15
16,Marvin Harrison,WR,2004,32,IND,16,16,0,0,0,0,0,0,0,0,0,139,86,1113,12.94,15,0,1,1,5,16
17,Donovan McNabb,QB,2004,28,PHI,15,15,300,469,3875,31,8,41,220,5.37,3,0,0,0,0,0,0,8,6,3,17
18,Torry Holt,WR,2004,28,STL,16,16,0,0,0,0,0,0,0,0,0,135,94,1372,14.60,10,0,3,0,6,18
19,Drew Bennett,WR,2004,26,TEN,16,16,1,1,26,1,0,1,12,12.00,0,144,80,1247,15.59,11,0,3,0,7,19
20,Rudi Johnson,RB,2004,25,CIN,16,16,0,0,0,0,0,361,1454,4.03,12,28,15,84,5.60,0,0,4,4,8,20
21,Jason Witten,TE,2004,22,DAL,16,15,0,0,0,0,0,0,0,0,0,122,87,980,11.26,6,1,2,1,3,21
22,Reggie Wayne,WR,2004,26,IND,16,16,0,0,0,0,0,1,-4,-4.00,0,115,77,1210,15.71,12,0,0,0,8,22
23,Chad Johnson ,WR,2004,26,CIN,16,16,0,0,0,0,0,4,39,9.75,0,170,95,1274,13.41,9,0,1,0,9,23
24,Willis McGahee,RB,2004,23,BUF,16,11,0,0,0,0,0,284,1128,3.97,13,36,22,169,7.68,0,0,4,2,9,24
25,Donald Driver,WR,2004,29,GNB,16,11,0,0,0,0,0,3,4,1.33,0,137,84,1208,14.38,9,1,2,2,10,25
26,Brian Westbrook ,RB,2004,25,PHI,13,12,0,0,0,0,0,177,812,4.59,3,87,73,703,9.63,6,0,1,1,10,26
27,Alge Crumpler,TE,2004,27,ATL,14,14,0,0,0,0,0,0,0,0,0,74,48,774,16.13,6,0,1,1,4,27
28,Clinton Portis,RB,2004,23,WAS,15,15,1,2,15,1,0,343,1315,3.83,5,57,40,235,5.88,2,0,5,3,11,28
29,Priest Holmes,RB,2004,31,KAN,8,8,0,0,0,0,0,196,892,4.55,14,25,19,187,9.84,1,0,4,2,12,29
30,Brandon Stokley,WR,2004,28,IND,16,3,0,0,0,0,0,0,0,0,0,102,68,1077,15.84,10,0,1,1,11,30
31,Ahman Green,RB,2004,27,GNB,15,15,1,1,20,1,0,259,1163,4.49,7,51,40,275,6.88,1,0,7,4,13,31
32,Reuben Droughns,RB,2004,26,DEN,16,15,0,0,0,0,0,275,1240,4.51,6,44,32,241,7.53,2,0,5,3,14,32
33,Isaac Bruce,WR,2004,32,STL,16,16,0,2,0,0,0,0,0,0,0,148,89,1292,14.52,6,0,5,4,12,33
34,Randy McMichael,TE,2004,25,MIA,16,16,0,0,0,0,0,0,0,0,0,118,73,791,10.84,4,1,2,0,5,34
35,Michael Clayton,WR,2004,22,TAM,16,13,0,0,0,0,0,5,30,6.00,0,122,80,1193,14.91,7,0,1,0,13,35
