rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Eric Dickerson,RB,1988,28,IND,16,16,0,0,0,0,0,388,1659,4.28,14,0,36,377,10.47,1,0,5,0,1,1
2,Randall Cunningham,QB,1988,25,PHI,16,16,301,560,3808,24,16,93,624,6.71,6,0,0,0,0,0,0,12,0,1,2
3,Roger Craig,RB,1988,28,SFO,16,15,0,0,0,0,0,310,1502,4.85,9,0,76,534,7.03,1,0,8,0,2,3
4,Herschel Walker,RB,1988,26,DAL,16,16,0,0,0,0,0,361,1514,4.19,5,0,53,505,9.53,2,0,6,0,3,4
5,Greg Bell,RB,1988,26,RAM,16,13,0,0,0,0,0,288,1212,4.21,16,0,24,124,5.17,2,0,6,0,4,5
6,Henry Ellard,WR,1988,27,RAM,16,15,0,0,0,0,0,1,7,7.00,0,0,86,1414,16.44,10,0,3,0,1,6
7,Jerry Rice ,WR,1988,26,SFO,16,16,1,3,14,0,1,13,107,8.23,1,0,64,1306,20.41,9,0,2,0,2,7
8,Mark Clayton,WR,1988,27,MIA,16,16,0,0,0,0,0,1,4,4.00,0,0,86,1129,13.13,14,0,0,0,3,8
9,Neal Anderson ,RB,1988,24,CHI,16,16,0,1,0,0,0,249,1106,4.44,12,0,39,371,9.51,0,0,8,0,5,9
10,Ricky Sanders,WR,1988,28,WAS,16,4,0,0,0,0,0,2,14,7.00,0,0,73,1148,15.73,12,0,0,0,4,10
11,Boomer Esiason,QB,1988,27,CIN,16,16,223,388,3572,28,14,43,248,5.77,1,0,0,0,0,0,0,5,0,2,11
12,Jim Everett,QB,1988,25,RAM,16,16,308,517,3964,31,18,34,104,3.06,0,0,0,0,0,0,0,7,0,3,12
13,Ickey Woods,RB,1988,22,CIN,16,10,0,0,0,0,0,203,1066,5.25,15,0,21,199,9.48,0,0,8,0,6,13
14,Eddie Brown,WR,1988,26,CIN,16,16,0,0,0,0,0,1,-5,-5.00,0,0,53,1273,24.02,9,0,1,0,5,14
15,John Settle,RB,1988,23,ATL,16,13,0,0,0,0,0,232,1024,4.41,7,0,68,570,8.38,1,0,3,0,7,15
