rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,David Johnson,RB,2016,25,ARI,16,16,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,1,5,3,1,1
2,Ezekiel Elliott,RB,2016,21,DAL,15,15,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,0,5,1,2,2
3,LeSean McCoy,RB,2016,28,BUF,15,15,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,1,3,0,3,3
4,Aaron Rodgers ,QB,2016,33,GNB,16,16,401,610,4428,40,7,67,369,5.51,4,0,0,0,0,0,1,8,4,1,4
5,DeMarco Murray,RB,2016,28,TEN,16,16,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,0,3,1,4,5
6,Le'Veon Bell,RB,2016,24,PIT,12,12,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,1,4,1,5,6
7,Devonta Freeman ,RB,2016,24,ATL,16,16,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,0,1,1,6,7
8,LeGarrette Blount,RB,2016,30,NWE,16,8,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,0,2,1,7,8
9,Matt Ryan,QB,2016,31,ATL,16,16,373,534,4944,38,7,35,117,3.34,0,0,0,0,0,0,1,4,2,2,9
10,Mike Evans,WR,2016,23,TAM,16,16,0,0,0,0,0,0,0,0,0,173,96,1321,13.76,12,2,0,0,1,10
11,Jordy Nelson,WR,2016,31,GNB,16,16,0,0,0,0,0,0,0,0,0,152,97,1257,12.96,14,0,1,1,2,11
12,Antonio Brown ,WR,2016,28,PIT,15,15,0,0,0,0,0,3,9,3.00,0,154,106,1284,12.11,12,0,0,0,3,12
13,Melvin Gordon,RB,2016,23,SDG,13,11,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,0,2,2,8,13
14,Jordan Howard,RB,2016,22,CHI,15,13,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,0,2,1,9,14
15,Odell Beckham Jr.,WR,2016,24,NYG,16,16,0,0,0,0,0,1,9,9.00,0,169,101,1367,13.53,10,0,3,1,4,15
16,Drew Brees,QB,2016,37,NOR,16,16,471,673,5208,37,15,23,20,0.87,2,0,0,0,0,0,0,5,4,3,16
17,Mark Ingram,RB,2016,27,NOR,16,14,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2,2,2,10,17
18,T.Y. Hilton,WR,2016,27,IND,16,16,0,0,0,0,0,0,0,0,0,155,91,1448,15.91,6,1,0,0,5,18
19,Jay Ajayi,RB,2016,23,MIA,15,12,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,0,4,1,11,19
20,Julio Jones ,WR,2016,27,ATL,14,14,0,0,0,0,0,0,0,0,0,129,83,1409,16.98,6,0,0,0,6,20
21,Travis Kelce,TE,2016,27,KAN,16,15,0,0,0,0,0,1,-5,-5.00,0,117,85,1125,13.24,4,1,0,0,1,21
22,Davante Adams,WR,2016,24,GNB,16,15,0,0,0,0,0,0,0,0,0,121,75,997,13.29,12,1,2,1,7,22
23,Frank Gore,RB,2016,33,IND,16,16,0,0,0,0,0,263,1025,3.90,4,47,38,277,7.29,4,0,2,1,12,23
24,Latavius Murray,RB,2016,26,OAK,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.00,0,0,2,1,13,24
25,Brandin Cooks,WR,2016,23,NOR,16,12,0,0,0,0,0,6,30,5.00,0,117,78,1173,15.04,8,0,1,0,8,25
26,Greg Olsen,TE,2016,31,CAR,16,16,0,0,0,0,0,0,0,0,0,129,80,1073,13.41,3,1,0,0,2,26
27,Andrew Luck,QB,2016,27,IND,15,15,346,545,4240,31,13,64,341,5.33,2,0,0,0,0,0,0,6,5,4,27
28,Kyle Rudolph,TE,2016,27,MIN,16,16,0,0,0,0,0,0,0,0,0,132,83,840,10.12,7,0,0,0,3,28
29,Kirk Cousins ,QB,2016,28,WAS,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,0,0,0,9,3,5,29
30,Michael Thomas,WR,2016,23,NOR,15,12,0,0,0,0,0,0,0,0,0,121,92,1137,12.36,9,0,2,2,9,30
31,Doug Baldwin ,WR,2016,28,SEA,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.00,7,0,1,0,10,31
32,Jimmy Graham,TE,2016,30,SEA,16,15,0,0,0,0,0,1,0,0.00,0,95,65,923,14.20,6,0,2,2,4,32
33,Delanie Walker,TE,2016,32,TEN,15,9,0,0,0,0,0,2,11,5.50,0,102,65,800,12.31,7,0,1,0,5,33
34,Isaiah Crowell,RB,2016,23,CLE,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,0,2,2,14,34
35,Carlos Hyde,RB,2016,26,SFO,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,1,5,3,15,35
36,Spencer Ware,RB,2016,25,KAN,14,14,0,0,0,0,0,214,921,4.30,3,42,33,447,13.55,2,0,4,3,16,36
37,Lamar Miller,RB,2016,25,HOU,14,14,0,0,0,0,0,268,1073,4.00,5,39,31,188,6.06,1,0,2,1,18,37
38,Tevin Coleman,RB,2016,23,ATL,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,0,1,0,17,38
39,Michael Crabtree,WR,2016,29,OAK,16,16,0,0,0,0,0,0,0,0,0,145,89,1003,11.27,8,1,2,0,11,39
40,Amari Cooper,WR,2016,22,OAK,16,14,0,0,0,0,0,1,0,0.00,0,132,83,1153,13.89,5,2,2,0,12,40
41,Dak Prescott ,QB,2016,23,DAL,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,0,0,0,9,4,6,41
42,Cameron Brate,TE,2016,25,TAM,15,10,0,0,0,0,0,0,0,0,0,81,57,660,11.58,8,0,1,0,6,42
43,Martellus Bennett,TE,2016,29,NWE,16,12,0,0,0,0,0,2,10,5.00,0,73,55,701,12.75,7,0,0,0,7,43
44,Jeremy Hill,RB,2016,24,CIN,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0,0,0,19,44
45,Todd Gurley,RB,2016,22,LAR,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,0,2,1,20,45
46,Rishard Matthews,WR,2016,27,TEN,16,9,0,0,0,0,0,0,0,0,0,108,65,945,14.54,9,0,1,1,13,46
47,Matt Forte,RB,2016,31,NYJ,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,0,1,1,21,47
48,Tyrell Williams,WR,2016,24,SDG,16,12,0,0,0,0,0,0,0,0,0,119,69,1059,15.35,7,0,0,0,14,48
49,Zach Ertz,TE,2016,26,PHI,14,12,0,0,0,0,0,0,0,0,0,106,78,816,10.46,4,0,0,0,8,49
50,Jordan Reed,TE,2016,26,WAS,12,8,0,0,0,0,0,0,0,0,0,89,66,686,10.39,6,0,1,1,9,50
51,Matthew Stafford,QB,2016,28,DET,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,0,0,0,3,2,7,51
