rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Priest Holmes,RB,2002,29,KAN,14,14,0,1,0,0,0,313,1615,5.16,21,81,70,672,9.60,3,0,1,1,1,1
2,Ricky Williams,RB,2002,25,MIA,16,16,0,0,0,0,0,383,1853,4.84,16,59,47,363,7.72,1,0,7,4,2,2
3,LaDainian Tomlinson,RB,2002,23,SDG,16,16,0,0,0,0,0,372,1683,4.52,14,101,79,489,6.19,1,0,3,1,3,3
4,Clinton Portis,RB,2002,21,DEN,16,12,0,0,0,0,0,273,1508,5.52,15,49,33,364,11.03,2,0,5,3,4,4
5,Shaun Alexander,RB,2002,25,SEA,16,16,0,0,0,0,0,295,1175,3.98,16,78,59,460,7.80,2,0,3,1,5,5
6,Deuce McAllister,RB,2002,24,NOR,15,15,0,0,0,0,0,325,1388,4.27,13,74,47,352,7.49,3,0,4,3,6,6
7,Marvin Harrison,WR,2002,30,IND,16,16,0,0,0,0,0,2,10,5.00,0,205,143,1722,12.04,11,1,0,0,1,7
8,Charlie Garner,RB,2002,30,OAK,16,15,0,0,0,0,0,182,962,5.29,7,111,91,941,10.34,4,0,0,0,7,8
9,Tiki Barber,RB,2002,27,NYG,16,15,0,0,0,0,0,304,1387,4.56,11,95,69,597,8.65,0,0,9,6,8,9
10,Travis Henry ,RB,2002,24,BUF,16,16,0,0,0,0,0,325,1438,4.42,13,59,43,309,7.19,1,0,11,9,9,10
11,Hines Ward ,WR,2002,26,PIT,16,16,0,0,0,0,0,12,142,11.83,0,160,112,1329,11.87,12,3,1,1,2,11
12,Terrell Owens,WR,2002,29,SFO,14,14,0,0,0,0,0,7,79,11.29,1,159,100,1300,13.00,13,0,0,0,3,12
13,Eddie George,RB,2002,29,TEN,16,16,0,0,0,0,0,343,1165,3.40,12,46,36,255,7.08,2,0,1,1,10,13
14,Rich Gannon,QB,2002,37,OAK,16,16,418,618,4689,26,10,50,156,3.12,3,0,0,0,0,0,0,9,3,1,14
15,Fred Taylor,RB,2002,26,JAX,16,16,0,0,0,0,0,287,1314,4.58,8,57,49,408,8.33,0,1,3,2,11,15
16,Ahman Green,RB,2002,25,GNB,14,14,0,0,0,0,0,286,1240,4.34,7,74,57,393,6.89,2,0,4,3,12,16
17,Jamal Lewis,RB,2002,23,BAL,16,15,0,0,0,0,0,308,1327,4.31,6,60,47,442,9.40,1,0,8,7,13,17
18,Eric Moulds,WR,2002,29,BUF,16,15,0,0,0,0,0,1,7,7.00,0,180,100,1292,12.92,10,0,1,0,4,18
19,Marshall Faulk,RB,2002,29,STL,14,10,0,0,0,0,0,212,953,4.50,8,102,80,537,6.71,2,0,4,3,14,19
20,Randy Moss,WR,2002,25,MIN,16,16,1,3,13,1,0,6,51,8.50,0,185,106,1347,12.71,7,0,1,1,5,20
