rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Marshall Faulk,RB,2001,28,STL,14,14,0,1,0,0,0,260,1382,5.32,12,104,83,765,9.22,9,1,3,3,1,1
2,Priest Holmes,RB,2001,28,KAN,16,16,0,0,0,0,0,327,1555,4.76,8,75,62,614,9.90,2,0,4,3,2,2
3,Ahman Green,RB,2001,24,GNB,16,16,0,0,0,0,0,304,1387,4.56,9,82,62,594,9.58,2,0,5,4,3,3
4,Shaun Alexander,RB,2001,24,SEA,16,12,0,0,0,0,0,309,1318,4.27,14,59,44,343,7.80,2,0,4,4,4,4
5,Marvin Harrison,WR,2001,29,IND,16,16,0,0,0,0,0,1,3,3.00,0,164,109,1524,13.98,15,0,0,0,1,5
6,Curtis Martin ,RB,2001,28,NYJ,16,16,1,1,18,1,0,333,1513,4.54,10,63,53,320,6.04,0,0,2,2,5,6
7,Terrell Owens,WR,2001,28,SFO,16,16,0,0,0,0,0,4,21,5.25,0,155,93,1412,15.18,16,0,0,0,2,7
8,Corey Dillon,RB,2001,27,CIN,16,16,0,1,0,0,1,340,1315,3.87,10,61,34,228,6.71,3,0,5,3,6,8
9,Jeff Garcia,QB,2001,31,SFO,16,16,316,504,3538,32,12,72,254,3.53,5,0,0,0,0,0,0,9,3,1,9
10,Kurt Warner,QB,2001,30,STL,16,16,375,546,4830,36,22,28,60,2.14,0,0,0,0,0,0,0,10,4,2,10
11,LaDainian Tomlinson,RB,2001,22,SDG,16,16,0,0,0,0,0,339,1236,3.65,10,74,59,367,6.22,0,0,8,5,7,11
12,Ricky Williams,RB,2001,24,NOR,16,16,0,0,0,0,0,313,1245,3.98,6,88,60,511,8.52,1,0,8,6,8,12
13,David Boston,WR,2001,23,ARI,16,15,0,0,0,0,0,5,35,7.00,0,175,98,1598,16.31,8,0,1,1,3,13
14,Antowain Smith,RB,2001,29,NWE,16,15,0,0,0,0,0,287,1157,4.03,12,28,19,192,10.11,1,0,4,4,9,14
15,Rod Smith,WR,2001,31,DEN,15,14,0,0,0,0,0,3,27,9.00,0,172,113,1343,11.88,11,1,1,0,4,15
16,Rich Gannon,QB,2001,36,OAK,16,16,361,549,3828,27,9,63,231,3.67,2,0,0,0,0,0,1,13,7,3,16
17,Steve McNair,QB,2001,28,TEN,15,15,264,431,3350,21,12,75,414,5.52,5,0,0,0,0,0,0,5,3,4,17
18,Stephen Davis,RB,2001,27,WAS,16,16,0,0,0,0,0,356,1432,4.02,5,37,28,205,7.32,0,1,6,3,10,18
19,Randy Moss,WR,2001,24,MIN,16,16,1,1,29,0,0,3,38,12.67,0,154,82,1233,15.04,10,0,0,0,5,19
20,Brett Favre ,QB,2001,32,GNB,16,16,314,510,3921,32,15,38,56,1.47,1,0,0,0,0,0,0,16,6,5,20
21,Tony Gonzalez,TE,2001,25,KAN,16,16,1,1,40,0,0,1,9,9.00,0,118,73,917,12.56,6,1,0,0,1,21
22,Peyton Manning,QB,2001,25,IND,16,16,343,547,4131,26,23,35,157,4.49,4,0,0,0,0,0,0,7,3,6,22
23,Jimmy Smith,WR,2001,32,JAX,16,16,0,0,0,0,0,1,-3,-3.00,0,176,112,1373,12.26,8,0,1,0,6,23
24,Donovan McNabb,QB,2001,25,PHI,16,16,285,493,3233,25,12,82,482,5.88,2,0,0,0,0,0,0,8,3,7,24
25,Dominic Rhodes,RB,2001,22,IND,15,10,0,0,0,0,0,233,1104,4.74,9,55,34,224,6.59,0,0,6,6,11,25
26,Joe Horn,WR,2001,29,NOR,16,16,0,1,0,0,0,1,4,4.00,0,156,83,1265,15.24,9,0,1,0,7,26
27,Garrison Hearst,RB,2001,30,SFO,16,16,0,0,0,0,0,252,1206,4.79,4,55,41,347,8.46,1,0,1,1,12,27
28,Torry Holt,WR,2001,25,STL,16,14,0,0,0,0,0,2,0,0.00,0,133,81,1363,16.83,7,0,2,0,8,28
29,Aaron Brooks,QB,2001,25,NOR,16,16,312,558,3832,26,22,80,358,4.48,1,1,0,0,0,0,0,13,2,8,29
30,Marcus Pollard,TE,2001,29,IND,16,16,0,0,0,0,0,0,0,0,0,73,47,739,15.72,8,0,0,0,2,30
31,Tim Brown,WR,2001,35,OAK,16,16,0,0,0,0,0,4,39,9.75,0,140,91,1165,12.80,9,0,1,1,9,31
32,Anthony Thomas,RB,2001,24,CHI,14,10,0,0,0,0,0,278,1183,4.26,7,30,22,178,8.09,0,1,0,0,13,32
33,Derrick Mason,WR,2001,27,TEN,15,15,0,0,0,0,0,0,0,0,0,113,73,1128,15.45,9,1,2,1,10,33
