rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Chris Johnson ,RB,2009,24,TEN,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,1,3,3,1,1
2,Adrian Peterson,RB,2009,24,MIN,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,0,7,6,2,2
3,Maurice Jones-Drew,RB,2009,24,JAX,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,0,2,1,3,3
4,Aaron Rodgers ,QB,2009,26,GNB,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,0,0,0,10,4,1,4
5,Ray Rice,RB,2009,22,BAL,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,0,3,2,4,5
6,Andre Johnson ,WR,2009,28,HOU,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,1,0,1,6
7,Randy Moss,WR,2009,32,NWE,16,16,0,0,0,0,0,0,0,0,0,137,83,1264,15.23,13,1,2,1,2,7
8,Frank Gore,RB,2009,26,SFO,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,0,4,2,5,8
9,Thomas Jones,RB,2009,31,NYJ,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,0,2,0,6,9
10,Miles Austin,WR,2009,25,DAL,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,0,1,0,3,10
11,Vernon Davis ,TE,2009,25,SFO,16,16,0,0,0,0,0,0,0,0,0,128,78,965,12.37,13,0,0,0,1,11
12,DeSean Jackson,WR,2009,23,PHI,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,0,3,1,4,12
