rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Tom Brady ,QB,2007,30,NWE,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,0,0,0,0,6,4,1,1
2,LaDainian Tomlinson,RB,2007,28,SDG,16,16,1,1,17,1,0,315,1474,4.68,15,86,60,475,7.92,3,0,0,0,1,2
3,Randy Moss,WR,2007,30,NWE,16,16,0,0,0,0,0,0,0,0,0,160,98,1493,15.23,23,0,0,0,1,3
4,Brian Westbrook ,RB,2007,28,PHI,15,15,0,0,0,0,0,278,1333,4.79,7,118,90,771,8.57,5,0,2,2,2,4
5,Adrian Peterson,RB,2007,22,MIN,14,9,0,0,0,0,0,238,1341,5.63,12,28,19,268,14.11,1,0,4,3,3,5
6,Terrell Owens,WR,2007,34,DAL,15,15,0,0,0,0,0,1,5,5.00,0,141,81,1355,16.73,15,0,0,0,2,6
7,Braylon Edwards,WR,2007,24,CLE,16,16,0,0,0,0,0,0,0,0,0,154,80,1289,16.11,16,0,3,2,3,7
8,Clinton Portis,RB,2007,26,WAS,16,16,1,1,15,1,0,325,1262,3.88,11,60,47,389,8.28,0,0,6,5,4,8
9,Joseph Addai,RB,2007,24,IND,15,15,0,0,0,0,0,261,1072,4.11,12,48,41,364,8.88,3,1,0,0,5,9
10,Reggie Wayne,WR,2007,29,IND,16,16,0,0,0,0,0,1,4,4.00,0,156,104,1510,14.52,10,0,3,3,4,10
11,Jamal Lewis,RB,2007,28,CLE,15,15,0,0,0,0,0,298,1304,4.38,9,39,30,248,8.27,2,0,4,2,6,11
12,Tony Romo ,QB,2007,27,DAL,16,16,335,520,4211,36,19,31,129,4.16,2,0,0,0,0,0,0,10,2,2,12
13,Larry Fitzgerald,WR,2007,24,ARI,15,15,0,0,0,0,0,0,0,0,0,167,100,1409,14.09,10,0,3,3,5,13
14,Jason Witten,TE,2007,25,DAL,16,16,0,0,0,0,0,0,0,0,0,141,96,1145,11.93,7,0,1,1,1,14
15,Chad Johnson ,WR,2007,29,CIN,16,16,0,0,0,0,0,6,47,7.83,0,161,93,1440,15.48,8,0,2,1,6,15
16,Antonio Gates,TE,2007,27,SDG,16,16,0,0,0,0,0,0,0,0,0,117,75,984,13.12,9,0,0,0,2,16
17,Tony Gonzalez,TE,2007,31,KAN,16,16,0,0,0,0,0,0,0,0,0,153,99,1172,11.84,5,0,0,0,3,17
18,T.J. Houshmandzadeh,WR,2007,30,CIN,16,15,0,0,0,0,0,5,14,2.80,0,169,112,1143,10.21,12,0,2,1,7,18
19,Marion Barber III,RB,2007,24,DAL,16,0,0,0,0,0,0,204,975,4.78,10,54,44,282,6.41,2,0,3,0,7,19
20,Kellen Winslow,TE,2007,24,CLE,16,14,0,0,0,0,0,0,0,0,0,148,82,1106,13.49,5,1,2,1,4,20
21,Marques Colston,WR,2007,24,NOR,16,14,0,0,0,0,0,0,0,0,0,143,98,1202,12.27,11,0,1,1,8,21
22,Peyton Manning,QB,2007,31,IND,16,16,337,515,4040,31,14,20,-5,-0.25,3,0,0,0,0,0,0,6,1,3,22
23,Willis McGahee,RB,2007,26,BAL,15,15,0,0,0,0,0,294,1207,4.11,7,49,43,231,5.37,1,0,4,3,8,23
24,Brandon Marshall,WR,2007,23,DEN,16,16,0,0,0,0,0,5,57,11.40,0,170,102,1325,12.99,7,0,3,1,9,24
25,Frank Gore,RB,2007,24,SFO,15,15,0,0,0,0,0,260,1102,4.24,5,69,53,436,8.23,1,0,4,3,9,25
26,Plaxico Burress,WR,2007,30,NYG,16,16,0,0,0,0,0,0,0,0,0,141,70,1025,14.64,12,0,0,0,10,26
27,Dallas Clark,TE,2007,28,IND,15,15,0,0,0,0,0,2,29,14.50,0,101,58,616,10.62,11,0,0,0,5,27
28,Edgerrin James,RB,2007,29,ARI,16,16,0,0,0,0,0,324,1222,3.77,7,39,24,204,8.50,0,0,5,0,10,28
29,Chris Cooley,TE,2007,25,WAS,16,16,0,0,0,0,0,0,0,0,0,110,66,786,11.91,8,1,1,0,6,29
30,Earnest Graham,RB,2007,27,TAM,15,10,0,0,0,0,0,222,898,4.05,10,69,49,324,6.61,0,0,1,1,11,30
31,Ben Roethlisberger,QB,2007,25,PIT,15,15,264,404,3154,32,11,35,204,5.83,2,0,0,0,0,0,0,9,3,4,31
32,Drew Brees,QB,2007,28,NOR,16,16,440,652,4423,28,18,23,52,2.26,1,2,2,10,5.00,0,0,9,4,5,32
33,Wes Welker,WR,2007,26,NWE,16,13,0,0,0,0,0,4,34,8.50,0,145,112,1175,10.49,8,0,3,0,11,33
34,Marshawn Lynch,RB,2007,21,BUF,13,13,1,1,8,1,0,280,1115,3.98,7,26,18,184,10.22,0,1,2,1,12,34
35,Greg Jennings,WR,2007,24,GNB,13,13,0,0,0,0,0,0,0,0,0,84,53,920,17.36,12,0,1,0,12,35
36,Torry Holt,WR,2007,31,STL,16,16,0,0,0,0,0,0,0,0,0,149,93,1189,12.78,7,1,2,0,13,36
37,Matt Hasselbeck ,QB,2007,32,SEA,16,16,352,562,3966,28,12,39,89,2.28,0,0,0,0,0,0,0,9,4,6,37
38,Maurice Jones-Drew,RB,2007,22,JAX,15,0,0,0,0,0,0,167,768,4.60,9,55,40,407,10.18,0,0,2,2,13,38
39,Derek Anderson ,QB,2007,24,CLE,16,15,298,527,3787,29,19,32,70,2.19,3,0,0,0,0,0,0,5,2,7,39
40,Steven Jackson,RB,2007,24,STL,12,12,1,1,2,1,0,237,1002,4.23,5,52,38,271,7.13,1,0,5,2,14,40
41,Roddy White,WR,2007,26,ATL,16,15,0,0,0,0,0,1,-2,-2.00,0,137,83,1202,14.48,6,0,3,2,14,41
42,LenDale White,RB,2007,23,TEN,16,16,0,0,0,0,0,303,1110,3.66,7,31,20,114,5.70,0,0,5,5,15,42
43,Brett Favre ,QB,2007,38,GNB,16,16,356,535,4155,28,15,29,12,0.41,0,0,0,0,0,0,0,9,3,8,43
44,Bobby Engram,WR,2007,34,SEA,16,13,0,0,0,0,0,0,0,0,0,134,94,1147,12.20,6,0,1,1,15,44
45,Willie Parker,RB,2007,27,PIT,15,15,0,1,0,0,0,321,1316,4.10,2,31,23,164,7.13,0,0,4,3,16,45
46,Steve Smith,WR,2007,28,CAR,15,15,0,0,0,0,0,9,66,7.33,0,148,87,1002,11.52,7,0,1,0,16,46
47,Ryan Grant,RB,2007,25,GNB,15,7,0,0,0,0,0,188,956,5.09,8,37,30,145,4.83,0,0,1,1,17,47
48,Kevin Curtis,WR,2007,29,PHI,16,16,0,0,0,0,0,0,0,0,0,135,77,1110,14.42,6,0,0,0,17,48
