rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Shaun Alexander ,RB,2005,28,SEA,16,16,0,0,0,0,0,370,1880,5.08,27,29,15,78,5.20,1,0,5,1,1,1
2,Larry Johnson,RB,2005,26,KAN,16,9,0,0,0,0,0,336,1750,5.21,20,49,33,343,10.39,1,0,5,4,2,2
3,LaDainian Tomlinson,RB,2005,26,SDG,16,16,3,4,47,3,0,339,1462,4.31,18,77,51,370,7.25,2,0,3,1,3,3
4,Tiki Barber,RB,2005,30,NYG,16,16,0,1,0,0,0,357,1860,5.21,9,70,54,530,9.81,2,1,1,1,4,4
5,Edgerrin James,RB,2005,27,IND,15,15,0,0,0,0,0,360,1506,4.18,13,50,44,337,7.66,1,0,2,1,5,5
6,Steve Smith,WR,2005,26,CAR,16,16,0,0,0,0,0,4,25,6.25,1,150,103,1563,15.17,12,0,2,1,1,6
7,Clinton Portis,RB,2005,24,WAS,16,16,1,2,17,1,0,352,1516,4.31,11,41,30,216,7.20,0,1,3,2,6,7
8,Antonio Gates,TE,2005,25,SDG,15,15,0,0,0,0,0,0,0,0,0,140,89,1101,12.37,10,0,0,0,1,8
9,Larry Fitzgerald,WR,2005,22,ARI,16,16,0,0,0,0,0,8,41,5.13,0,165,103,1409,13.68,10,0,0,0,2,9
10,Santana Moss,WR,2005,26,WAS,16,16,0,0,0,0,0,3,-3,-1.00,0,134,84,1483,17.65,9,0,3,1,3,10
11,Chad Johnson ,WR,2005,27,CIN,16,16,0,0,0,0,0,5,33,6.60,0,155,97,1432,14.76,9,0,1,0,4,11
12,LaMont Jordan,RB,2005,27,OAK,14,14,0,0,0,0,0,272,1025,3.77,9,103,70,563,8.04,2,1,2,1,8,12
13,Rudi Johnson,RB,2005,26,CIN,16,14,0,0,0,0,0,337,1458,4.33,12,30,23,90,3.91,0,0,1,0,7,13
14,Joey Galloway,WR,2005,34,TAM,16,16,0,0,0,0,0,2,4,2.00,0,152,83,1287,15.51,10,0,0,0,5,14
15,Anquan Boldin,WR,2005,25,ARI,14,14,0,1,0,0,0,12,45,3.75,0,171,102,1402,13.75,7,1,2,1,6,15
16,Torry Holt,WR,2005,29,STL,14,14,0,0,0,0,0,1,2,2.00,0,163,102,1331,13.05,9,0,2,0,7,16
17,Chris Chambers,WR,2005,27,MIA,16,16,0,0,0,0,0,12,92,7.67,0,166,82,1118,13.63,11,0,5,2,8,17
18,Marvin Harrison,WR,2005,33,IND,15,15,0,0,0,0,0,0,0,0,0,134,82,1146,13.98,12,0,0,0,9,18
19,Jeremy Shockey,TE,2005,25,NYG,15,15,0,0,0,0,0,0,0,0,0,121,65,891,13.71,7,1,0,0,2,19
20,Carson Palmer,QB,2005,26,CIN,16,16,345,509,3836,32,12,34,41,1.21,1,0,0,0,0,0,0,5,2,1,20
21,Thomas Jones,RB,2005,27,CHI,15,15,0,0,0,0,0,314,1335,4.25,9,39,26,143,5.50,0,0,2,2,9,21
22,Mike Anderson,0,2005,32,DEN,15,15,0,0,0,0,0,239,1014,4.24,12,21,18,212,11.78,1,0,2,2,10,22
23,Todd Heap,TE,2005,25,BAL,16,16,0,0,0,0,0,0,0,0,0,114,75,855,11.40,7,0,2,1,3,23
24,Steven Jackson,RB,2005,22,STL,15,15,0,0,0,0,0,254,1046,4.12,8,55,43,320,7.44,2,0,3,3,11,24
25,Hines Ward,WR,2005,29,PIT,15,15,0,0,0,0,0,3,10,3.33,0,114,69,975,14.13,11,0,1,1,10,25
26,Alge Crumpler,TE,2005,28,ATL,16,16,0,0,0,0,0,0,0,0,0,118,65,877,13.49,5,1,1,1,4,26
27,Plaxico Burress,WR,2005,28,NYG,16,15,0,0,0,0,0,0,0,0,0,166,76,1214,15.97,7,0,1,1,11,27
28,Tom Brady ,QB,2005,28,NWE,16,16,334,530,4110,26,14,27,89,3.30,1,0,0,0,0,0,0,4,3,2,28
29,Warrick Dunn,RB,2005,30,ATL,16,16,0,0,0,0,0,280,1416,5.06,3,37,29,220,7.59,1,0,3,1,12,29
30,Terry Glenn,WR,2005,31,DAL,16,16,0,0,0,0,0,2,-4,-2.00,1,119,62,1136,18.32,7,0,0,0,12,30
31,Jason Witten,TE,2005,23,DAL,16,16,0,0,0,0,0,0,0,0,0,89,66,757,11.47,6,0,0,0,5,31
32,Peyton Manning,QB,2005,29,IND,16,16,305,453,3747,28,10,33,45,1.36,0,0,0,0,0,0,0,5,1,3,32
33,Donald Driver,WR,2005,30,GNB,16,16,0,0,0,0,0,2,13,6.50,0,146,86,1221,14.20,5,0,0,0,13,33
34,T.J. Houshmandzadeh,WR,2005,28,CIN,14,12,0,0,0,0,0,8,62,7.75,1,115,78,956,12.26,7,0,1,1,14,34
35,Randy Moss,WR,2005,28,OAK,16,15,0,0,0,0,0,0,0,0,0,123,60,1005,16.75,8,0,0,0,15,35
36,Rod Smith,WR,2005,35,DEN,16,16,0,1,0,0,0,1,7,7.00,0,126,85,1105,13.00,6,0,2,2,16,36
37,Tony Gonzalez,TE,2005,29,KAN,16,16,0,0,0,0,0,0,0,0,0,116,78,905,11.60,2,0,0,0,6,37
38,Keenan McCardell,WR,2005,35,SDG,16,16,0,0,0,0,0,2,6,3.00,0,108,70,917,13.10,9,0,0,0,17,38
