rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Emmitt Smith,RB,1995,26,DAL,16,16,0,0,0,0,0,377,1773,4.70,25,78,62,375,6.05,0,0,7,6,1,1
2,Jerry Rice ,WR,1995,33,SFO,16,16,1,1,41,1,0,5,36,7.20,1,176,122,1848,15.15,15,1,3,3,1,2
3,Isaac Bruce,WR,1995,23,STL,16,16,0,0,0,0,0,3,17,5.67,0,199,119,1781,14.97,13,1,2,1,2,3
4,Herman Moore,WR,1995,26,DET,16,16,0,0,0,0,0,0,0,0,0,206,123,1686,13.71,14,0,2,2,3,4
5,Brett Favre ,QB,1995,26,GNB,16,16,359,570,4413,38,13,39,181,4.64,3,0,0,0,0,0,0,8,4,1,5
6,Curtis Martin ,RB,1995,22,NWE,16,15,0,0,0,0,0,368,1487,4.04,14,50,30,261,8.70,1,1,5,3,2,6
7,Barry Sanders ,RB,1995,27,DET,16,16,1,2,11,0,0,314,1500,4.78,11,70,48,398,8.29,1,0,3,3,3,7
8,Cris Carter ,WR,1995,30,MIN,16,16,0,0,0,0,0,1,0,0.00,0,197,122,1371,11.24,17,0,0,0,4,8
9,Chris Warren,RB,1995,27,SEA,16,16,0,0,0,0,0,310,1346,4.34,15,50,35,247,7.06,1,0,5,3,4,9
10,Robert Brooks,WR,1995,25,GNB,16,16,0,0,0,0,0,4,21,5.25,0,167,102,1497,14.68,13,0,0,0,5,10
11,Scott Mitchell,QB,1995,27,DET,16,16,346,583,4338,32,12,36,104,2.89,4,0,0,0,0,0,0,8,3,2,11
12,Carl Pickens,WR,1995,25,CIN,16,16,0,0,0,0,0,1,6,6.00,0,168,99,1234,12.46,17,0,1,0,6,12
13,Ricky Watters,RB,1995,26,PHI,16,16,0,0,0,0,0,337,1273,3.78,11,93,62,434,7.00,1,0,6,3,5,13
14,Michael Irvin,WR,1995,29,DAL,16,16,0,0,0,0,0,0,0,0,0,165,111,1603,14.44,10,0,1,1,7,14
15,Marshall Faulk,RB,1995,22,IND,16,16,0,0,0,0,0,289,1078,3.73,11,74,56,475,8.48,3,0,8,4,6,15
16,Brett Perriman,WR,1995,30,DET,16,16,0,0,0,0,0,5,48,9.60,0,179,108,1488,13.78,9,1,1,1,8,16
17,Terry Allen,RB,1995,27,WAS,16,16,0,0,0,0,0,338,1309,3.87,10,40,31,232,7.48,1,0,6,3,7,17
18,Derek Loville,RB,1995,27,SFO,16,16,0,0,0,0,0,218,723,3.32,10,110,87,662,7.61,3,1,1,1,8,18
19,Warren Moon,QB,1995,39,MIN,16,16,377,606,4228,33,14,33,82,2.48,0,0,0,0,0,0,0,13,4,3,19
20,Tim Brown,WR,1995,29,OAK,16,16,0,0,0,0,0,0,0,0,0,148,89,1342,15.08,10,0,0,0,9,20
21,Edgar Bennett,RB,1995,26,GNB,16,16,0,0,0,0,0,316,1067,3.38,3,79,61,648,10.62,4,0,2,0,9,21
22,Anthony Miller,WR,1995,30,DEN,14,14,0,0,0,0,0,1,5,5.00,0,108,59,1079,18.29,14,0,1,1,10,22
23,Jeff Blake,QB,1995,25,CIN,16,16,326,567,3822,28,17,53,309,5.83,2,0,0,0,0,0,1,10,5,4,23
24,Harvey Williams,RB,1995,28,OAK,16,16,1,1,13,1,0,255,1114,4.37,9,60,54,375,6.94,0,0,5,3,10,24
25,Eric Metcalf,WR,1995,27,ATL,16,15,0,1,0,0,0,28,133,4.75,1,153,104,1189,11.43,8,0,4,3,11,25
26,Curtis Conway,WR,1995,24,CHI,16,16,0,1,0,0,0,5,77,15.40,0,117,62,1037,16.73,12,0,0,0,12,26
27,Ben Coates,TE,1995,26,NWE,16,15,0,0,0,0,0,0,0,0,0,137,84,915,10.89,6,0,4,4,1,27
