rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
634,Cassius Marsh,DE,28.075,2020-09-20,NFL,JAX,Away,TEN,L 30-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
635,Jacob Martin,DE,24.284,2020-09-20,NFL,HOU,Home,BAL,L 16-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
636,Sam Martin,P,30.206,2020-09-20,NFL,DEN,Away,PIT,L 21-26,2,2,Sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
637,Blake Martinez,LB,26.255,2020-09-20,NFL,NYG,Away,CHI,L 13-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
638,Bobby Massie,OL,31.05,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,1.0,1.0,4.0,4.0,0.0,4.0
639,Tyrann Mathieu,S,28.13,2020-09-20,NFL,KAN,Away,LAC,W 23-20,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
640,Arthur Maulet,CB,27.069,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
641,Marcus Maye,S,27.195,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
642,Benson Mayowa,DE,29.048,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
643,Bobby McCain,S,27.033,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
644,Ray-Ray McCloud,WR,23.341,2020-09-20,NFL,PIT,Home,DEN,W 26-21,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
645,Devin McCourty,DB,33.038,2020-09-20,NFL,NWE,Away,SEA,L 30-35,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
646,Jason McCourty,CB,33.038,2020-09-20,NFL,NWE,Away,SEA,L 30-35,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
647,Vance McDonald,TE,30.099,2020-09-20,NFL,PIT,Home,DEN,W 26-21,2,2,Sun,0.0,0.0,,0.0,2.0,1.0,3.0,3.0,0.0,1.5
648,Bradley McDougald,S,29.31,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
649,Isaiah McKenzie,WR,25.164,2020-09-20,NFL,BUF,Away,MIA,W 31-28,2,2,Sun,0.0,0.0,,0.0,2.0,2.0,47.0,23.5,0.0,23.5
650,Takkarist McKinley,DE,24.323,2020-09-20,NFL,ATL,Away,DAL,L 39-40,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
651,Benardrick McKinney,LB,27.306,2020-09-20,NFL,HOU,Home,BAL,L 16-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
652,Terry McLaurin,WR,25.005,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,10.0,7.0,125.0,17.86,1.0,12.5
653,Steve McLendon,DL,34.261,2020-09-20,NFL,NYJ,Home,SFO,L 13-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
654,Rodney McLeod,S,30.089,2020-09-20,NFL,PHI,Home,LAR,L 19-37,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
655,Brandon McManus,K,29.057,2020-09-20,NFL,DEN,Away,PIT,L 21-26,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
656,Pernell McPhee,LB,31.278,2020-09-20,NFL,BAL,Away,HOU,W 33-16,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
657,Steven Means,DE,30.004,2020-09-20,NFL,ATL,Away,DAL,L 39-40,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
658,D.K. Metcalf,WR,22.281,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,6.0,4.0,92.0,23.0,1.0,15.33
659,Jakobi Meyers,WR,23.316,2020-09-20,NFL,NWE,Away,SEA,L 30-35,2,2,Sun,0.0,0.0,,0.0,1.0,1.0,7.0,7.0,0.0,7.0
660,Jaydon Mickens,WR,26.152,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
661,Anthony Miller,WR,25.347,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,3.0,0.0,0.0,,0.0,0.0
662,Bruce Miller,FB,33.045,2020-09-20,NFL,JAX,Away,TEN,L 30-33,2,2,Sun,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0
663,Jalen Mills,S,26.167,2020-09-20,NFL,PHI,Home,LAR,L 19-37,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
664,Barkevious Mingo,LB,29.352,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
665,Terrance Mitchell,CB,28.123,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
666,Bryan Mone,DT,24.336,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
667,Ty Montgomery,RB,27.243,2020-09-21,NFL,NOR,Away,LVR,L 24-34,2,2,Mon,0.0,0.0,,0.0,3.0,2.0,25.0,12.5,0.0,8.33
668,Darnell Mooney,WR,22.327,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,3.0,3.0,36.0,12.0,1.0,12.0
669,A.J. Moore,DB,24.28,2020-09-20,NFL,HOU,Home,BAL,L 16-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
670,D.J. Moore,WR,23.159,2020-09-20,NFL,CAR,Away,TAM,L 17-31,2,2,Sun,0.0,0.0,,0.0,13.0,8.0,120.0,15.0,0.0,9.23
671,Damontre Moore,DE,28.009,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
672,David Moore,WR,25.249,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,3.0,3.0,48.0,16.0,1.0,16.0
673,Kenny Moore,DB,25.028,2020-09-20,NFL,IND,Home,MIN,W 28-11,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
674,Tarvarius Moore,DB,24.035,2020-09-20,NFL,SFO,Away,NYJ,W 31-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
675,Fabian Moreau,CB,26.164,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
676,Foster Moreau,TE,23.138,2020-09-21,NFL,LVR,Home,NOR,W 34-24,2,2,Mon,0.0,0.0,,0.0,1.0,1.0,31.0,31.0,0.0,31.0
677,Jimmy Moreland,CB,25.025,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
678,Nicholas Morrow,MLB,25.073,2020-09-21,NFL,LVR,Home,NOR,W 34-24,2,2,Mon,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
679,Thomas Morstead,P,34.197,2020-09-21,NFL,NOR,Away,LVR,L 24-34,2,2,Mon,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
680,Emmanuel Moseley,CB,24.179,2020-09-20,NFL,SFO,Away,NYJ,W 31-13,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
681,Morgan Moses,T,29.201,2020-09-20,NFL,WAS,Away,ARI,L 15-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
682,Al-Quadin Muhammad,DE,25.176,2020-09-20,NFL,IND,Home,MIN,W 28-11,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
683,Trayvon Mullen,CB,23.001,2020-09-21,NFL,LVR,Home,NOR,W 34-24,2,2,Mon,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
684,Calvin Munson,LB,25.268,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
685,Larrell Murchison,DT,23.149,2020-09-20,NFL,TEN,Home,JAX,W 33-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
686,Byron Murphy,CB,22.246,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
687,Trent Murphy,DE,29.273,2020-09-20,NFL,BUF,Away,MIA,W 31-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
688,Sean Murphy-Bunting,DB,23.093,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
689,Eric Murray,DB,26.257,2020-09-20,NFL,HOU,Home,BAL,L 16-33,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
690,Kenneth Murray,LB,21.309,2020-09-20,NFL,LAC,Home,KAN,L 20-23,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
691,Jason Myers,K,29.131,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
692,Ryan Nall,RB,24.268,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,0.0,0.0,,0.0,1.0,1.0,2.0,2.0,0.0,2.0
693,Carl Nassib,DE,27.162,2020-09-21,NFL,LVR,Home,NOR,W 34-24,2,2,Mon,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
694,Jojo Natson,WR,26.229,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
695,Keanu Neal,S,25.056,2020-09-20,NFL,ATL,Away,DAL,L 39-40,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
696,Siran Neal,S,26.047,2020-09-20,NFL,BUF,Away,MIA,W 31-28,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
697,Nik Needham,CB,23.321,2020-09-20,NFL,MIA,Home,BUF,L 28-31,2,2,Sun,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,
