rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
1,Clyde Edwards-Helaire,RB,21.152,2020-09-10,NFL,KAN,Home,HOU,W 34-20,1,1,Thu,25.0,138.0,5.52,1.0,2.0,0.0,0.0,,0.0,0.0
2,Derrick Henry,RB,26.254,2020-09-14,NFL,TEN,Away,DEN,W 16-14,1,1,Mon,31.0,116.0,3.74,0.0,3.0,3.0,15.0,5.0,0.0,5.0
3,Benny Snell Jr.,RB,22.2,2020-09-14,NFL,PIT,Away,NYG,W 26-16,1,1,Mon,19.0,113.0,5.95,0.0,1.0,0.0,0.0,,0.0,0.0
4,Christian McCaffrey,RB,24.098,2020-09-13,NFL,CAR,Home,LVR,L 30-34,1,1,Sun,23.0,97.0,4.22,2.0,4.0,3.0,38.0,12.67,0.0,9.5
5,Ezekiel Elliott,RB,25.053,2020-09-13,NFL,DAL,Away,LAR,L 17-20,1,1,Sun,22.0,96.0,4.36,1.0,4.0,3.0,31.0,10.33,1.0,7.75
6,Josh Jacobs,RB,22.215,2020-09-13,NFL,LVR,Away,CAR,W 34-30,1,1,Sun,25.0,93.0,3.72,3.0,6.0,4.0,46.0,11.5,0.0,7.67
7,Adrian Peterson,RB,35.176,2020-09-13,NFL,DET,Home,CHI,L 23-27,1,1,Sun,14.0,93.0,6.64,0.0,3.0,3.0,21.0,7.0,0.0,7.0
8,Kyler Murray,QB,23.037,2020-09-13,NFL,ARI,Away,SFO,W 24-20,1,1,Sun,13.0,91.0,7.0,1.0,0.0,0.0,0.0,,0.0,
9,Austin Ekeler,RB,25.119,2020-09-13,NFL,LAC,Away,CIN,W 16-13,1,1,Sun,19.0,84.0,4.42,0.0,1.0,1.0,3.0,3.0,0.0,3.0
10,Malcolm Brown,RB,27.121,2020-09-13,NFL,LAR,Home,DAL,W 20-17,1,1,Sun,18.0,79.0,4.39,2.0,4.0,3.0,31.0,10.33,0.0,7.75
11,Melvin Gordon,RB,27.154,2020-09-14,NFL,DEN,Home,TEN,L 14-16,1,1,Mon,15.0,78.0,5.2,1.0,3.0,3.0,8.0,2.67,0.0,2.67
12,David Johnson,RB,28.269,2020-09-10,NFL,HOU,Away,KAN,L 20-34,1,1,Thu,11.0,77.0,7.0,1.0,4.0,3.0,32.0,10.67,0.0,8.0
13,Cam Newton,QB,31.125,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,15.0,75.0,5.0,2.0,0.0,0.0,0.0,,0.0,
14,Kareem Hunt,RB,25.038,2020-09-13,NFL,CLE,Away,BAL,L 6-38,1,1,Sun,13.0,72.0,5.54,0.0,6.0,4.0,9.0,2.25,0.0,1.5
15,Joe Mixon,HB,24.051,2020-09-13,NFL,CIN,Home,LAC,L 13-16,1,1,Sun,19.0,69.0,3.63,0.0,2.0,1.0,2.0,2.0,0.0,1.0
16,Aaron Jones,RB,25.286,2020-09-13,NFL,GNB,Away,MIN,W 43-34,1,1,Sun,16.0,66.0,4.13,1.0,6.0,4.0,10.0,2.5,0.0,1.67
17,Ronald Jones II,RB,23.041,2020-09-13,NFL,TAM,Away,NOR,L 23-34,1,1,Sun,17.0,66.0,3.88,0.0,3.0,2.0,16.0,8.0,0.0,5.33
18,David Montgomery,RB,23.098,2020-09-13,NFL,CHI,Away,DET,W 27-23,1,1,Sun,13.0,64.0,4.92,0.0,3.0,1.0,10.0,10.0,0.0,3.33
19,James Robinson,RB,22.035,2020-09-13,NFL,JAX,Home,IND,W 27-20,1,1,Sun,16.0,62.0,3.88,0.0,1.0,1.0,28.0,28.0,0.0,28.0
20,Nick Chubb,RB,24.261,2020-09-13,NFL,CLE,Away,BAL,L 6-38,1,1,Sun,10.0,60.0,6.0,0.0,1.0,1.0,6.0,6.0,0.0,6.0
21,Kenyan Drake,RB,26.231,2020-09-13,NFL,ARI,Away,SFO,W 24-20,1,1,Sun,16.0,60.0,3.75,1.0,2.0,2.0,5.0,2.5,0.0,2.5
22,Joshua Kelley,RB,22.298,2020-09-13,NFL,LAC,Away,CIN,W 16-13,1,1,Sun,12.0,60.0,5.0,1.0,0.0,0.0,0.0,,0.0,
23,Josh Allen,QB,24.115,2020-09-13,NFL,BUF,Home,NYJ,W 27-17,1,1,Sun,14.0,57.0,4.07,1.0,0.0,0.0,0.0,,0.0,
24,Todd Gurley,RB,26.041,2020-09-13,NFL,ATL,Home,SEA,L 25-38,1,1,Sun,14.0,56.0,4.0,1.0,5.0,2.0,1.0,0.5,0.0,0.2
25,Raheem Mostert,RB,28.157,2020-09-13,NFL,SFO,Home,ARI,L 20-24,1,1,Sun,15.0,56.0,3.73,0.0,5.0,4.0,95.0,23.75,1.0,19.0
26,Dalvin Cook,RB,25.034,2020-09-13,NFL,MIN,Home,GNB,L 34-43,1,1,Sun,12.0,50.0,4.17,2.0,2.0,1.0,-2.0,-2.0,0.0,-1.0
27,Alexander Mattison,RB,22.086,2020-09-13,NFL,MIN,Home,GNB,L 34-43,1,1,Sun,6.0,50.0,8.33,0.0,4.0,4.0,30.0,7.5,0.0,7.5
28,Latavius Murray,RB,30.239,2020-09-13,NFL,NOR,Home,TAM,W 34-23,1,1,Sun,15.0,48.0,3.2,0.0,1.0,0.0,0.0,,0.0,0.0
29,Joe Burrow,QB,23.278,2020-09-13,NFL,CIN,Home,LAC,L 13-16,1,1,Sun,8.0,46.0,5.75,1.0,0.0,0.0,0.0,,0.0,
30,Lamar Jackson,QB,23.25,2020-09-13,NFL,BAL,Home,CLE,W 38-6,1,1,Sun,7.0,45.0,6.43,0.0,0.0,0.0,0.0,,0.0,
31,Tarik Cohen,RB,25.049,2020-09-13,NFL,CHI,Away,DET,W 27-23,1,1,Sun,7.0,41.0,5.86,0.0,2.0,2.0,6.0,3.0,0.0,3.0
32,Myles Gaskin,RB,23.211,2020-09-13,NFL,MIA,Away,NWE,L 11-21,1,1,Sun,9.0,40.0,4.44,0.0,4.0,4.0,26.0,6.5,0.0,6.5
33,Cam Akers,RB,21.083,2020-09-13,NFL,LAR,Home,DAL,W 20-17,1,1,Sun,14.0,39.0,2.79,0.0,1.0,1.0,4.0,4.0,0.0,4.0
34,Tyler Ervin,RB,26.342,2020-09-13,NFL,GNB,Away,MIN,W 43-34,1,1,Sun,3.0,38.0,12.67,0.0,1.0,1.0,6.0,6.0,0.0,6.0
35,Sony Michel,RB,25.209,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,10.0,37.0,3.7,1.0,0.0,0.0,0.0,,0.0,
36,Antonio Gibson,RB,22.082,2020-09-13,NFL,WAS,Home,PHI,W 27-17,1,1,Sun,9.0,36.0,4.0,0.0,2.0,2.0,8.0,4.0,0.0,4.0
37,Boston Scott,RB,25.139,2020-09-13,NFL,PHI,Away,WAS,L 17-27,1,1,Sun,9.0,35.0,3.89,0.0,2.0,2.0,19.0,9.5,0.0,9.5
38,Kirk Cousins,QB,32.025,2020-09-13,NFL,MIN,Home,GNB,L 34-43,1,1,Sun,4.0,34.0,8.5,0.0,0.0,0.0,0.0,,0.0,
39,Rex Burkhead,RB,30.073,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,7.0,32.0,4.57,0.0,0.0,0.0,0.0,,0.0,
40,Dak Prescott,QB,27.046,2020-09-13,NFL,DAL,Away,LAR,L 17-20,1,1,Sun,3.0,30.0,10.0,0.0,0.0,0.0,0.0,,0.0,
41,Devin Singletary,RB,23.01,2020-09-13,NFL,BUF,Home,NYJ,W 27-17,1,1,Sun,9.0,30.0,3.33,0.0,7.0,5.0,23.0,4.6,0.0,3.29
42,Peyton Barber,RB,26.199,2020-09-13,NFL,WAS,Home,PHI,W 27-17,1,1,Sun,17.0,29.0,1.71,2.0,0.0,0.0,0.0,,0.0,
43,Devontae Booker,RB,28.109,2020-09-13,NFL,LVR,Away,CAR,W 34-30,1,1,Sun,4.0,29.0,7.25,0.0,3.0,3.0,23.0,7.67,0.0,7.67
44,Mark Ingram,RB,30.267,2020-09-13,NFL,BAL,Home,CLE,W 38-6,1,1,Sun,10.0,29.0,2.9,0.0,0.0,0.0,0.0,,0.0,
45,Russell Wilson,QB,31.289,2020-09-13,NFL,SEA,Away,ATL,W 38-25,1,1,Sun,3.0,29.0,9.67,0.0,0.0,0.0,0.0,,0.0,
46,Nyheim Hines,RB,23.306,2020-09-13,NFL,IND,Away,JAX,L 20-27,1,1,Sun,7.0,28.0,4.0,1.0,8.0,8.0,45.0,5.63,1.0,5.63
47,J.J. Taylor,RB,22.253,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,4.0,28.0,7.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0
48,Deshaun Watson,QB,24.362,2020-09-10,NFL,HOU,Away,KAN,L 20-34,1,1,Thu,6.0,27.0,4.5,1.0,0.0,0.0,0.0,,0.0,
49,Teddy Bridgewater,QB,27.308,2020-09-13,NFL,CAR,Home,LVR,L 30-34,1,1,Sun,4.0,26.0,6.5,0.0,0.0,0.0,0.0,,0.0,
50,Chase Edmonds,RB,24.153,2020-09-13,NFL,ARI,Away,SFO,W 24-20,1,1,Sun,6.0,26.0,4.33,0.0,5.0,3.0,19.0,6.33,1.0,3.8
51,Marlon Mack,RB,24.19,2020-09-13,NFL,IND,Away,JAX,L 20-27,1,1,Sun,4.0,26.0,6.5,0.0,3.0,3.0,30.0,10.0,0.0,10.0
52,Mitchell Trubisky,QB,26.024,2020-09-13,NFL,CHI,Away,DET,W 27-23,1,1,Sun,3.0,26.0,8.67,0.0,0.0,0.0,0.0,,0.0,
53,Frank Gore,RB,37.122,2020-09-13,NFL,NYJ,Away,BUF,L 17-27,1,1,Sun,6.0,24.0,4.0,0.0,0.0,0.0,0.0,,0.0,
54,Phillip Lindsay,RB,26.052,2020-09-14,NFL,DEN,Home,TEN,L 14-16,1,1,Mon,7.0,24.0,3.43,0.0,1.0,1.0,11.0,11.0,0.0,11.0
55,Jerick McKinnon,RB,28.133,2020-09-13,NFL,SFO,Home,ARI,L 20-24,1,1,Sun,3.0,24.0,8.0,0.0,5.0,3.0,20.0,6.67,1.0,4.0
56,Julian Edelman,WR,34.114,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,1.0,23.0,23.0,0.0,7.0,5.0,57.0,11.4,0.0,8.14
57,Carlos Hyde,RB,29.359,2020-09-13,NFL,SEA,Away,ATL,W 38-25,1,1,Sun,7.0,23.0,3.29,1.0,0.0,0.0,0.0,,0.0,
58,Matthew Stafford,QB,32.219,2020-09-13,NFL,DET,Home,CHI,L 23-27,1,1,Sun,5.0,23.0,4.6,0.0,0.0,0.0,0.0,,0.0,
59,Darrel Williams,RB,25.148,2020-09-10,NFL,KAN,Home,HOU,W 34-20,1,1,Thu,7.0,23.0,3.29,0.0,2.0,2.0,7.0,3.5,0.0,3.5
60,Matt Breida,RB,25.198,2020-09-13,NFL,MIA,Away,NWE,L 11-21,1,1,Sun,5.0,22.0,4.4,0.0,0.0,0.0,0.0,,0.0,
61,J.K. Dobbins,RB,21.271,2020-09-13,NFL,BAL,Home,CLE,W 38-6,1,1,Sun,7.0,22.0,3.14,2.0,0.0,0.0,0.0,,0.0,
62,Daniel Jones,QB,23.11,2020-09-14,NFL,NYG,Home,PIT,L 16-26,1,1,Mon,4.0,22.0,5.5,0.0,0.0,0.0,0.0,,0.0,
63,Jonathan Taylor,RB,21.238,2020-09-13,NFL,IND,Away,JAX,L 20-27,1,1,Sun,9.0,22.0,2.44,0.0,6.0,6.0,67.0,11.17,0.0,11.17
64,James White,RB,28.223,2020-09-13,NFL,NWE,Home,MIA,W 21-11,1,1,Sun,5.0,22.0,4.4,0.0,3.0,3.0,30.0,10.0,0.0,10.0
65,Chris Carson,RB,25.363,2020-09-13,NFL,SEA,Away,ATL,W 38-25,1,1,Sun,6.0,21.0,3.5,0.0,6.0,6.0,45.0,7.5,2.0,7.5
66,Jamaal Williams,RB,25.163,2020-09-13,NFL,GNB,Away,MIN,W 43-34,1,1,Sun,7.0,21.0,3.0,0.0,4.0,4.0,21.0,5.25,0.0,5.25
67,Corey Clement,RB,25.316,2020-09-13,NFL,PHI,Away,WAS,L 17-27,1,1,Sun,6.0,19.0,3.17,0.0,2.0,2.0,2.0,1.0,0.0,1.0
68,Allen Lazard,WR,24.277,2020-09-13,NFL,GNB,Away,MIN,W 43-34,1,1,Sun,1.0,19.0,19.0,0.0,4.0,4.0,63.0,15.75,1.0,15.75
69,Gardner Minshew II,QB,24.12,2020-09-13,NFL,JAX,Home,IND,W 27-20,1,1,Sun,5.0,19.0,3.8,0.0,0.0,0.0,0.0,,0.0,
70,Cordarrelle Patterson,WR,29.18,2020-09-13,NFL,CHI,Away,DET,W 27-23,1,1,Sun,4.0,19.0,4.75,0.0,1.0,1.0,12.0,12.0,0.0,12.0
71,Tevin Coleman,RB,27.15,2020-09-13,NFL,SFO,Home,ARI,L 20-24,1,1,Sun,4.0,18.0,4.5,0.0,2.0,1.0,6.0,6.0,0.0,3.0
72,Ryan Fitzpatrick,QB,37.294,2020-09-13,NFL,MIA,Away,NWE,L 11-21,1,1,Sun,5.0,18.0,3.6,0.0,0.0,0.0,0.0,,0.0,
73,Gus Edwards,RB,25.153,2020-09-13,NFL,BAL,Home,CLE,W 38-6,1,1,Sun,4.0,17.0,4.25,0.0,0.0,0.0,0.0,,0.0,
74,Dwayne Haskins,QB,23.133,2020-09-13,NFL,WAS,Home,PHI,W 27-17,1,1,Sun,7.0,17.0,2.43,0.0,0.0,0.0,0.0,,0.0,
75,Alvin Kamara,RB,25.05,2020-09-13,NFL,NOR,Home,TAM,W 34-23,1,1,Sun,12.0,16.0,1.33,1.0,8.0,5.0,51.0,10.2,1.0,6.38
76,Jared Goff,QB,25.335,2020-09-13,NFL,LAR,Home,DAL,W 20-17,1,1,Sun,4.0,15.0,3.75,0.0,0.0,0.0,0.0,,0.0,
77,Le'Veon Bell,RB,28.208,2020-09-13,NFL,NYJ,Away,BUF,L 17-27,1,1,Sun,6.0,14.0,2.33,0.0,2.0,2.0,32.0,16.0,0.0,16.0
78,AJ Dillon,RB,22.134,2020-09-13,NFL,GNB,Away,MIN,W 43-34,1,1,Sun,2.0,14.0,7.0,0.0,0.0,0.0,0.0,,0.0,
79,Duke Johnson,RB,26.353,2020-09-10,NFL,HOU,Away,KAN,L 20-34,1,1,Thu,5.0,14.0,2.8,0.0,1.0,0.0,0.0,,0.0,0.0
80,Kerryon Johnson,RB,23.075,2020-09-13,NFL,DET,Home,CHI,L 23-27,1,1,Sun,7.0,14.0,2.0,0.0,0.0,0.0,0.0,,0.0,
81,Ryan Tannehill,QB,32.049,2020-09-14,NFL,TEN,Away,DEN,W 16-14,1,1,Mon,3.0,14.0,4.67,0.0,0.0,0.0,0.0,,0.0,
82,Robert Woods,WR,28.156,2020-09-13,NFL,LAR,Home,DAL,W 20-17,1,1,Sun,1.0,14.0,14.0,0.0,8.0,6.0,105.0,17.5,0.0,13.13
83,Taysom Hill,QB,30.021,2020-09-13,NFL,NOR,Home,TAM,W 34-23,1,1,Sun,3.0,13.0,4.33,0.0,1.0,1.0,14.0,14.0,0.0,14.0
