rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
1,Dalvin Cook,RB,25.048,2020-09-27,NFL,MIN,Home,TEN,L 30-31,3,3,Sun,22.0,181.0,8.23,1.0,5.0,2.0,18.0,9.0,0.0,3.6
2,Derrick Henry,RB,26.267,2020-09-27,NFL,TEN,Away,MIN,W 31-30,3,3,Sun,26.0,119.0,4.58,2.0,3.0,2.0,11.0,5.5,0.0,3.67
3,Sony Michel,RB,25.223,2020-09-27,NFL,NWE,Home,LVR,W 36-20,3,3,Sun,9.0,117.0,13.0,0.0,2.0,2.0,23.0,11.5,0.0,11.5
4,Darrell Henderson,RB,23.039,2020-09-27,NFL,LAR,Away,BUF,L 32-35,3,3,Sun,20.0,114.0,5.7,1.0,3.0,1.0,6.0,6.0,0.0,2.0
5,James Conner,RB,25.145,2020-09-27,NFL,PIT,Home,HOU,W 28-21,3,3,Sun,18.0,109.0,6.06,1.0,5.0,4.0,40.0,10.0,0.0,8.0
6,Nick Chubb,RB,24.275,2020-09-27,NFL,CLE,Home,WAS,W 34-20,3,3,Sun,19.0,108.0,5.68,2.0,1.0,1.0,2.0,2.0,0.0,2.0
7,Miles Sanders,RB,23.149,2020-09-27,NFL,PHI,Home,CIN,T 23-23,3,3,Sun,18.0,95.0,5.28,0.0,8.0,4.0,12.0,3.0,0.0,1.5
8,Lamar Jackson,QB,23.265,2020-09-28,NFL,BAL,Home,KAN,L 20-34,3,3,Mon,9.0,83.0,9.22,0.0,0.0,0.0,0.0,,0.0,
9,Todd Gurley,RB,26.055,2020-09-27,NFL,ATL,Home,CHI,L 26-30,3,3,Sun,14.0,80.0,5.71,1.0,2.0,1.0,2.0,2.0,0.0,1.0
10,Adrian Peterson,RB,35.19,2020-09-27,NFL,DET,Away,ARI,W 26-23,3,3,Sun,22.0,75.0,3.41,0.0,1.0,1.0,10.0,10.0,0.0,10.0
11,Kenyan Drake,RB,26.245,2020-09-27,NFL,ARI,Home,DET,L 23-26,3,3,Sun,18.0,73.0,4.06,0.0,1.0,1.0,6.0,6.0,0.0,6.0
12,Josh Jacobs,RB,22.229,2020-09-27,NFL,LVR,Away,NWE,L 20-36,3,3,Sun,16.0,71.0,4.44,0.0,4.0,3.0,12.0,4.0,0.0,3.0
13,Devin Singletary,RB,23.024,2020-09-27,NFL,BUF,Home,LAR,W 35-32,3,3,Sun,13.0,71.0,5.46,0.0,5.0,4.0,50.0,12.5,0.0,10.0
14,Aaron Jones,RB,25.3,2020-09-27,NFL,GNB,Away,NOR,W 37-30,3,3,Sun,16.0,69.0,4.31,1.0,4.0,2.0,17.0,8.5,0.0,4.25
15,Myles Gaskin,RB,23.222,2020-09-24,NFL,MIA,Away,JAX,W 31-13,3,3,Thu,22.0,66.0,3.0,0.0,5.0,5.0,29.0,5.8,0.0,5.8
16,Carson Wentz,QB,27.272,2020-09-27,NFL,PHI,Home,CIN,T 23-23,3,3,Sun,9.0,65.0,7.22,1.0,0.0,0.0,0.0,,0.0,
17,Chris Carson,RB,26.011,2020-09-27,NFL,SEA,Home,DAL,W 38-31,3,3,Sun,14.0,64.0,4.57,0.0,3.0,3.0,12.0,4.0,0.0,4.0
18,Clyde Edwards-Helaire,RB,21.17,2020-09-28,NFL,KAN,Away,BAL,W 34-20,3,3,Mon,20.0,64.0,3.2,0.0,6.0,5.0,70.0,14.0,0.0,11.67
19,Austin Ekeler,RB,25.133,2020-09-27,NFL,LAC,Home,CAR,L 16-21,3,3,Sun,12.0,59.0,4.92,1.0,11.0,11.0,84.0,7.64,0.0,7.64
20,Jonathan Taylor,RB,21.252,2020-09-27,NFL,IND,Home,NYJ,W 36-7,3,3,Sun,13.0,59.0,4.54,1.0,1.0,1.0,3.0,3.0,0.0,3.0
