rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,start_sit_grade,pos_map,tiers
1,Derrick Henry,at CIN,1.0,2.0,1.12,0.32,23.4,FLEX,RB1,TEN,,RB,1
2,Alvin Kamara,at CHI,1.0,7.0,3.08,1.24,21.1,FLEX,RB2,NO,,RB,1
3,Kareem Hunt,vs. LV,2.0,10.0,3.46,0.57,20.8,FLEX,RB3,CLE,,RB,1
4,Jonathan Taylor,at DET,2.0,17.0,3.81,2.43,18.2,FLEX,RB4,IND,,RB,1
5,Davante Adams,vs. MIN,3.0,12.0,5.0,0.0,23.6,FLEX,WR1,GB,,WR,1
6,Dalvin Cook,at GB,2.0,10.0,5.62,1.36,20.1,FLEX,RB5,MIN,,RB,1
7,Mike Davis,vs. ATL,6.0,13.0,7.31,1.56,19.2,FLEX,RB6,CAR,,RB,1
8,Josh Jacobs,at CLE,2.0,23.0,9.0,2.87,14.4,FLEX,RB7,LV,,RB,2
9,Todd Gurley II,at CAR,6.0,18.0,9.15,1.2,16.9,FLEX,RB8,ATL,,RB,2
10,Ezekiel Elliott,at PHI,6.0,40.0,10.69,3.07,16.5,FLEX,RB9,DAL,,RB,2
11,Clyde Edwards-Helaire,vs. NYJ,6.0,32.0,12.5,3.76,15.7,FLEX,RB10,KC,,RB,2
12,Tyreek Hill,vs. NYJ,11.0,20.0,12.62,1.08,19.2,FLEX,WR2,KC,,WR,2
13,James Conner,at BAL,11.0,28.0,15.0,4.07,15.6,FLEX,RB11,PIT,,RB,2
14,D.K. Metcalf,vs. SF,13.0,20.0,15.27,1.77,18.7,FLEX,WR3,SEA,,WR,2
15,A.J. Brown,at CIN,9.0,20.0,16.46,2.1,18.0,FLEX,WR4,TEN,,WR,2
16,Tyler Lockett,vs. SF,5.0,31.0,16.62,2.94,18.3,FLEX,WR5,SEA,,WR,2
17,Boston Scott,vs. DAL,6.0,54.0,17.31,3.69,17.0,FLEX,RB12,PHI,,RB,3
18,Calvin Ridley,at CAR,4.0,24.0,18.15,3.05,18.1,FLEX,WR6,ATL,,WR,2
19,Julio Jones,at CAR,11.0,36.0,19.27,3.45,18.7,FLEX,WR7,ATL,,WR,2
20,Kenny Golladay,vs. IND,6.0,25.0,20.92,1.54,16.5,FLEX,WR8,DET,,WR,2
21,Adam Thielen,at GB,15.0,30.0,21.69,2.41,17.7,FLEX,WR9,MIN,,WR,2
22,Mike Evans,at NYG,21.0,47.0,24.92,2.56,16.0,FLEX,WR10,TB,,WR,4
23,Travis Kelce,vs. NYJ,19.0,53.0,26.23,0.64,18.3,FLEX,TE1,KC,,TE,4
24,George Kittle,at SEA,11.0,27.0,26.35,0.73,17.4,FLEX,TE2,SF,,TE,2
25,Robby Anderson,vs. ATL,14.0,31.0,26.96,4.45,17.6,FLEX,WR11,CAR,,WR,4
26,Stefon Diggs,vs. NE,19.0,37.0,26.96,3.56,17.2,FLEX,WR12,BUF,,WR,4
27,Jamaal Williams,vs. MIN,7.0,73.0,28.46,23.03,16.3,FLEX,RB13,GB,,RB,3
28,Myles Gaskin,vs. LAR,16.0,35.0,28.69,6.98,14.2,FLEX,RB14,MIA,,RB,4
29,Keenan Allen,at DEN,15.0,37.0,28.81,5.08,17.8,FLEX,WR13,LAC,,WR,4
30,Giovani Bernard,vs. TEN,23.0,50.0,29.42,5.05,17.1,FLEX,RB15,CIN,,RB,4
31,Darrell Henderson,at MIA,13.0,42.0,29.58,6.28,13.9,FLEX,RB16,LAR,,RB,4
32,Ronald Jones II,at NYG,15.0,54.0,30.27,9.38,13.6,FLEX,RB17,TB,,RB,4
33,D.J. Moore,vs. ATL,19.0,37.0,33.42,1.94,17.6,FLEX,WR14,CAR,,WR,4
34,David Montgomery,vs. NO,10.0,65.0,33.62,10.06,12.3,FLEX,RB18,CHI,,RB,3
35,Justin Jefferson,at GB,29.0,42.0,34.5,2.85,17.5,FLEX,WR15,MIN,,WR,5
36,D'Andre Swift,vs. IND,28.0,54.0,36.5,5.44,13.6,FLEX,RB19,DET,,RB,5
37,Cooper Kupp,at MIA,33.0,48.0,38.96,2.49,15.4,FLEX,WR16,LAR,,WR,5
38,Melvin Gordon III,vs. LAC,13.0,61.0,39.0,7.41,13.3,FLEX,RB20,DEN,,RB,3
39,Robert Woods,at MIA,35.0,49.0,39.88,2.19,14.8,FLEX,WR17,LAR,,WR,5
40,Brandon Aiyuk,at SEA,34.0,46.0,39.92,2.77,14.7,FLEX,WR18,SF,,WR,5
41,Travis Fulgham,vs. DAL,31.0,58.0,40.31,2.88,16.1,FLEX,WR19,PHI,,WR,5
42,Tyler Boyd,vs. TEN,38.0,48.0,42.85,1.87,17.0,FLEX,WR20,CIN,,WR,5
43,Amari Cooper,at PHI,35.0,68.0,45.31,6.07,14.4,FLEX,WR21,DAL,,WR,5
44,Tee Higgins,vs. TEN,29.0,60.0,45.5,2.61,14.5,FLEX,WR22,CIN,,WR,5
45,Marquise Brown,vs. PIT,35.0,72.0,46.77,8.71,13.7,FLEX,WR23,BAL,,WR,5
46,Mark Andrews,vs. PIT,35.0,58.0,46.81,3.58,13.6,FLEX,TE3,BAL,,TE,5
47,Darren Waller,at CLE,34.0,55.0,47.73,1.77,16.5,FLEX,TE4,LV,,TE,5
48,Leonard Fournette,at NYG,21.0,64.0,48.96,8.55,11.3,FLEX,RB21,TB,,RB,5
49,Jarvis Landry,vs. LV,44.0,84.0,50.65,4.07,13.8,FLEX,WR24,CLE,,WR,6
50,Diontae Johnson,at BAL,40.0,76.0,52.81,7.19,14.5,FLEX,WR25,PIT,,WR,6
51,JaMycal Hasty,at SEA,20.0,130.0,54.15,11.65,9.1,FLEX,RB22,SF,,RB,7
52,Chase Claypool,at BAL,46.0,72.0,55.88,5.74,12.8,FLEX,WR26,PIT,,WR,6
53,DeVante Parker,vs. LAR,44.0,69.0,57.0,5.79,12.3,FLEX,WR27,MIA,,WR,6
54,Le'Veon Bell,vs. NYJ,29.0,85.0,57.15,10.56,11.8,FLEX,RB23,KC,,RB,6
55,Rob Gronkowski,at NYG,25.0,64.0,57.23,5.75,12.5,FLEX,TE5,TB,,TE,5
56,Jonnu Smith,at CIN,41.0,83.0,59.08,7.22,13.2,FLEX,TE6,TEN,,TE,6
57,Justin Jackson,at DEN,52.0,79.0,59.31,4.62,10.3,FLEX,RB24,LAC,,RB,6
58,A.J. Green,vs. TEN,42.0,75.0,59.58,7.49,11.8,FLEX,WR28,CIN,,WR,6
59,JuJu Smith-Schuster,at BAL,47.0,74.0,59.96,5.63,13.4,FLEX,WR29,PIT,,WR,6
60,Joshua Kelley,at DEN,50.0,101.0,60.46,10.63,10.1,FLEX,RB25,LAC,,RB,7
61,Darius Slayton,vs. TB,49.0,75.0,60.58,7.76,11.4,FLEX,WR30,NYG,,WR,6
62,Devin Singletary,vs. NE,42.0,89.0,61.04,7.73,10.7,FLEX,RB26,BUF,,RB,6
63,Hunter Henry,at DEN,55.0,90.0,63.12,6.3,11.8,FLEX,TE7,LAC,,TE,7
64,Allen Robinson II,vs. NO,33.0,72.0,44.25,12.85,12.6,FLEX,WR31,CHI,,WR,5
65,J.K. Dobbins,vs. PIT,50.0,101.0,66.31,7.64,9.7,FLEX,RB27,BAL,,RB,7
66,Mike Williams,at DEN,44.0,104.0,66.38,9.1,10.8,FLEX,WR32,LAC,,WR,7
67,Corey Davis,at CIN,51.0,93.0,67.96,6.55,11.5,FLEX,WR33,TEN,,WR,7
68,CeeDee Lamb,at PHI,49.0,102.0,69.35,6.59,10.8,FLEX,WR34,DAL,,WR,7
69,Cole Beasley,vs. NE,63.0,102.0,72.46,5.51,11.8,FLEX,WR35,BUF,,WR,8
70,Rashard Higgins,vs. LV,60.0,105.0,73.65,6.86,10.7,FLEX,WR36,CLE,,WR,8
71,T.Y. Hilton,at DET,43.0,91.0,76.0,8.87,10.3,FLEX,WR37,IND,,WR,7
72,Jared Cook,at CHI,60.0,87.0,76.19,10.56,10.4,FLEX,TE8,NO,,TE,7
73,Damien Harris,at BUF,56.0,115.0,76.62,10.61,8.7,FLEX,RB28,NE,,RB,7
74,T.J. Hockenson,vs. IND,62.0,104.0,78.5,12.19,11.1,FLEX,TE9,DET,,TE,8
75,Jerry Jeudy,vs. LAC,71.0,101.0,78.54,4.15,10.6,FLEX,WR38,DEN,,WR,8
76,Scotty Miller,at NYG,41.0,118.0,78.96,12.14,10.3,FLEX,WR39,TB,,WR,7
77,Gus Edwards,vs. PIT,52.0,133.0,79.15,9.55,7.3,FLEX,RB29,BAL,,RB,9
78,Henry Ruggs III,at CLE,69.0,112.0,79.46,8.81,10.2,FLEX,WR40,LV,,WR,8
79,Malcolm Brown,at MIA,67.0,94.0,80.69,3.72,8.0,FLEX,RB30,LAR,,RB,8
80,Tre'Quan Smith,at CHI,69.0,105.0,80.96,7.78,10.2,FLEX,WR41,NO,,WR,8
81,Zack Moss,vs. NE,64.0,100.0,81.92,11.59,8.2,FLEX,RB31,BUF,,RB,8
82,Jerick McKinnon,at SEA,59.0,163.0,83.31,16.93,9.8,FLEX,RB32,SF,,RB,10
83,Latavius Murray,at CHI,67.0,126.0,83.31,9.82,8.9,FLEX,RB33,NO,,RB,9
